VELOCITY,TIME_START
38,-72000
57,-71333
51,-70667
69,-70000
47,-69333
51,-68667
34,-68000
46,-67333
50,-66667
45,-66000
69,-65333
59,-64667
51,-64000
51,-63333
50,-62667
45,-62000
61,-61333
57,-60667
63,-60000
39,-59333
68,-58667
61,-58000
68,-57333
40,-56667
38,-56000
32,-55333
58,-54667
40,-54000
68,-53333
69,-52667
43,-52000
49,-51333
54,-50667
46,-50000
49,-49333
46,-48667
33,-48000
51,-47333
44,-46667
58,-46000
36,-45333
58,-44667
36,-44000
58,-43333
46,-42667
51,-42000
65,-41333
38,-40667
31,-40000
64,-39333
44,-38667
45,-38000
34,-37333
56,-36667
61,-36000
44,-35333
32,-34667
34,-34000
65,-33333
45,-32667
43,-32000
44,-31333
66,-30667
37,-30000
41,-29333
38,-28667
61,-28000
60,-27333
56,-26667
56,-26000
45,-25333
34,-24667
48,-24000
42,-23333
54,-22667
51,-22000
54,-21333
55,-20667
58,-20000
61,-19333
54,-18667
65,-18000
33,-17333
56,-16667
61,-16000
50,-15333
51,-14667
41,-14000
46,-13333
53,-12667
65,-12000
48,-11333
55,-10667
47,-10000
54,-9333
60,-8667
57,-8000
64,-7333
50,-6667
30,-6000
47,-5333
66,-4667
61,-4000
53,-3333
43,-2667
52,-2000
49,-1333
68,-667
67,0
66,667
47,1333
40,2000
58,2667
52,3333
55,4000
47,4667
47,5333
65,6000
47,6667
66,7333
40,8000
35,8667
60,9333
61,10000
32,10667
34,11333
60,12000
52,12667
60,13333
53,14000
33,14667
44,15333
39,16000
49,16667
53,17333
61,18000
54,18667
36,19333
63,20000
59,20667
60,21333
31,22000
53,22667
57,23333
62,24000
44,24667
43,25333
60,26000
39,26667
68,27333
65,28000
52,28667
58,29333
66,30000
67,30667
57,31333
35,32000
50,32667
67,33333
48,34000
42,34667
41,35333
58,36000
39,36667
56,37333
52,38000
65,38667
63,39333
51,40000
37,40667
66,41333
44,42000
48,42667
50,43333
51,44000
44,44667
43,45333
58,46000
33,46667
39,47333
65,48000
54,48667
52,49333
53,50000
37,50667
57,51333
32,52000
59,52667
49,53333
67,54000
40,54667
61,55333
54,56000
45,56667
56,57333
63,58000
65,58667
30,59333
30,60000
39,60667
58,61333
32,62000
48,62667
49,63333
50,64000
56,64667
42,65333
37,66000
52,66667
54,67333
49,68000
44,68667
43,69333
52,70000
57,70667
40,71333
53,72000
62,72667
44,73333
62,74000
32,74667
63,75333
33,76000
59,76667
59,77333
66,78000
50,78667
49,79333
68,80000
34,80667
55,81333
57,82000
46,82667
58,83333
54,84000
56,84667
54,85333
64,86000
56,86667
48,87333
50,88000
31,88667
37,89333
53,90000
50,90667
51,91333
48,92000
39,92667
68,93333
40,94000
58,94667
53,95333
50,96000
56,96667
51,97333
41,98000
35,98667
41,99333
52,100000
48,100667
34,101333
64,102000
67,102667
63,103333
57,104000
42,104667
49,105333
46,106000
50,106667
44,107333
54,108000
60,108667
48,109333
34,110000
38,110667
34,111333
45,112000
57,112667
43,113333
63,114000
41,114667
59,115333
45,116000
44,116667
41,117333
61,118000
55,118667
58,119333
34,120000
62,120667
40,121333
31,122000
41,122667
32,123333
42,124000
32,124667
57,125333
43,126000
32,126667
55,127333
43,128000
50,128667
69,129333
44,130000
48,130667
60,131333
37,132000
49,132667
54,133333
55,134000
61,134667
56,135333
66,136000
44,136667
39,137333
57,138000
34,138667
46,139333
45,140000
67,140667
30,141333
42,142000
36,142667
49,143333
55,144000
38,144667
50,145333
53,146000
53,146667
56,147333
50,148000
30,148667
52,149333
64,150000
47,150667
49,151333
65,152000
39,152667
45,153333
31,154000
44,154667
57,155333
69,156000
69,156667
47,157333
51,158000
36,158667
50,159333
34,160000
39,160667
50,161333
41,162000
45,162667
34,163333
64,164000
47,164667
56,165333
65,166000
34,166667
56,167333
40,168000
53,168667
40,169333
34,170000
67,170667
44,171333
50,172000
50,172667
68,173333
38,174000
55,174667
35,175333
32,176000
35,176667
54,177333
31,178000
31,178667
45,179333
47,180000
68,180667
44,181333
33,182000
46,182667
41,183333
37,184000
46,184667
47,185333
65,186000
49,186667
53,187333
65,188000
38,188667
42,189333
51,190000
57,190667
35,191333
39,192000
53,192667
42,193333
59,194000
62,194667
42,195333
37,196000
45,196667
69,197333
42,198000
57,198667
43,199333
38,200000
68,200667
50,201333
46,202000
41,202667
61,203333
55,204000
37,204667
35,205333
44,206000
64,206667
50,207333
50,208000
34,208667
55,209333
63,210000
60,210667
33,211333
61,212000
40,212667
59,213333
65,214000
46,214667
56,215333
32,216000
64,216667
69,217333
37,218000
46,218667
56,219333
44,220000
62,220667
