VELOCITY,TIME_START
50,-72000
57,-70077
62,-68154
42,-66231
44,-64308
65,-62385
50,-60462
30,-58538
45,-56615
31,-54692
45,-52769
46,-50846
47,-48923
36,-47000
53,-45077
56,-43154
36,-41231
67,-39308
62,-37385
49,-35462
62,-33538
63,-31615
53,-29692
33,-27769
61,-25846
63,-23923
55,-22000
49,-20077
58,-18154
37,-16231
41,-14308
42,-12385
65,-10462
53,-8538
57,-6615
37,-4692
67,-2769
56,-846
33,1077
66,3000
65,4923
35,6846
38,8769
62,10692
51,12615
46,14538
43,16462
42,18385
35,20308
53,22231
45,24154
47,26077
62,28000
36,29923
60,31846
55,33769
35,35692
58,37615
35,39538
66,41462
65,43385
39,45308
40,47231
35,49154
36,51077
40,53000
58,54923
55,56846
54,58769
63,60692
65,62615
44,64538
60,66462
64,68385
67,70308
31,72231
35,74154
48,76077
39,78000
42,79923
41,81846
51,83769
51,85692
39,87615
63,89538
63,91462
50,93385
63,95308
47,97231
53,99154
33,101077
68,103000
53,104923
65,106846
52,108769
50,110692
62,112615
52,114538
60,116462
65,118385
60,120308
34,122231
42,124154
33,126077
48,128000
43,129923
52,131846
40,133769
53,135692
50,137615
47,139538
47,141462
41,143385
55,145308
52,147231
52,149154
39,151077
60,153000
64,154923
62,156846
55,158769
60,160692
45,162615
61,164538
45,166462
46,168385
34,170308
49,172231
59,174154
62,176077
34,178000
30,179923
43,181846
44,183769
42,185692
53,187615
40,189538
42,191462
54,193385
63,195308
57,197231
61,199154
30,201077
53,203000
36,204923
35,206846
53,208769
66,210692
59,212615
53,214538
48,216462
46,218385
43,220308
44,222231
62,224154
40,226077
62,228000
34,229923
49,231846
43,233769
35,235692
61,237615
32,239538
53,241462
47,243385
35,245308
34,247231
56,249154
49,251077
69,253000
39,254923
38,256846
60,258769
30,260692
55,262615
52,264538
50,266462
48,268385
66,270308
67,272231
50,274154
60,276077
33,278000
45,279923
58,281846
42,283769
44,285692
58,287615
38,289538
68,291462
58,293385
63,295308
44,297231
51,299154
64,301077
48,303000
58,304923
54,306846
41,308769
61,310692
63,312615
37,314538
33,316462
38,318385
48,320308
58,322231
41,324154
41,326077
36,328000
47,329923
51,331846
66,333769
66,335692
