NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA
4,0,23.1108719997406,[0;0;0;0],0,8,1024
4,35,27.391303998947144,[0.006;0.012;0.009;0.008],0.00875,8,1024
4,73,22.966075000762938,[0.016;0.025;0.018;0.013],0.018,8,1024
4,111,24.436884998321535,[0.025;0.035;0.029;0.019],0.027000000000000003,8,1024
4,146,22.772557998657227,[0.034;0.041;0.04;0.027],0.035500000000000004,8,1024
4,198,28.677241998672486,[0.046;0.052;0.056;0.04],0.0485,8,1024
4,231,37.530918001174925,[0.054;0.06;0.058;0.055],0.056749999999999995,8,1024
4,280,25.299023000717163,[0.064;0.072;0.068;0.068],0.068,8,1024
4,315,27.205129001617433,[0.074;0.083;0.08;0.07],0.07675,8,1024
4,350,26.223045000076294,[0.082;0.092;0.091;0.077],0.0855,8,1024
4,392,26.957179998397827,[0.093;0.105;0.102;0.083],0.09575,8,1024
4,436,27.252842000961305,[0.1;0.115;0.113;0.098],0.10650000000000001,8,1024
4,487,31.21191500091553,[0.118;0.124;0.127;0.106],0.11875,8,1024
4,522,28.940456998825073,[0.125;0.131;0.14;0.114],0.1275,8,1024
4,577,33.68834100151062,[0.138;0.146;0.147;0.133],0.14100000000000001,8,1024
4,623,30.60532099914551,[0.145;0.164;0.152;0.147],0.152,8,1024
4,663,34.591584999084475,[0.157;0.17;0.163;0.157],0.16175,8,1024
4,712,35.47946999931335,[0.17;0.18;0.183;0.163],0.174,8,1024
4,749,36.05762299919128,[0.18;0.189;0.191;0.171],0.18275000000000002,8,1024
4,787,31.69023800086975,[0.188;0.196;0.203;0.182],0.19224999999999998,8,1024
4,832,34.78286100006103,[0.197;0.212;0.21;0.193],0.203,8,1024
4,877,51.873033000946045,[0.211;0.22;0.216;0.21],0.21425,8,1024
4,911,40.83831900024414,[0.222;0.224;0.228;0.217],0.22275,8,1024
4,957,41.439669000625614,[0.235;0.234;0.238;0.227],0.23349999999999999,8,1024
4,992,45.60112299919128,[0.241;0.244;0.248;0.235],0.242,8,1024
4,1037,39.45929300117493,[0.254;0.258;0.254;0.247],0.25325,8,1024
4,1069,43.7602469997406,[0.263;0.265;0.264;0.253],0.26125,8,1024
4,1119,42.837285999298096,[0.272;0.277;0.279;0.264],0.273,8,1024
4,1155,108.37309099960328,[0.284;0.287;0.287;0.27],0.282,8,1024
4,1202,42.4502289981842,[0.293;0.297;0.299;0.285],0.2935,8,1024
4,1242,47.150442001342775,[0.307;0.302;0.307;0.298],0.3035,8,1024
4,1280,49.9933390007019,[0.313;0.311;0.321;0.306],0.31275000000000003,8,1024
4,1323,46.998222999572754,[0.325;0.322;0.327;0.317],0.32275,8,1024
4,1364,48.662551000595094,[0.339;0.333;0.333;0.327],0.333,8,1024
4,1403,49.92330599975586,[0.346;0.34;0.342;0.343],0.34275,8,1024
4,1451,48.1706730003357,[0.356;0.35;0.36;0.351],0.35424999999999995,8,1024
4,1487,56.32975599861145,[0.368;0.359;0.364;0.36],0.36275,8,1024
4,1529,60.45403300094605,[0.378;0.371;0.377;0.367],0.37324999999999997,8,1024
4,1577,56.56008699989319,[0.388;0.383;0.385;0.385],0.38525000000000004,8,1024
4,1624,55.79217099952698,[0.398;0.392;0.402;0.394],0.3965000000000001,8,1024
4,1661,60.6896129989624,[0.405;0.399;0.414;0.403],0.40525,8,1024
4,1706,59.27666300010681,[0.414;0.413;0.427;0.412],0.4165,8,1024
