NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA
1,4,249.84962800598146,[0.124],0.124,8,32
1,10,45.99213999938965,[0.311],0.311,8,32
1,22,17.015490005493163,[0.684],0.684,8,32
1,28,12.953809997558594,[0.87],0.87,8,32
1,35,14.266845993041992,[1.088],1.088,8,32
1,38,11.528332992553711,[1.181],1.181,8,32
1,42,12.221140991210937,[1.306],1.306,8,32
1,48,13.612880996704101,[1.493],1.493,8,32
1,51,16.788947998046876,[1.586],1.586,8,32
1,52,11.280785003662109,[1.617],1.617,8,32
1,55,15.652541000366211,[1.71],1.71,8,32
1,49,14.824063995361328,[1.523],1.523,8,32
1,44,14.882987991333009,[1.368],1.368,8,32
1,42,18.3019580078125,[1.306],1.306,8,32
1,37,17.065425994873046,[1.15],1.15,8,32
1,41,18.528677001953124,[1.274],1.274,8,32
1,44,18.154531997680664,[1.368],1.368,8,32
1,49,16.170233001708983,[1.524],1.524,8,32
1,43,17.0488330078125,[1.337],1.337,8,32
1,46,17.322015991210936,[1.43],1.43,8,32
1,48,20.152401000976564,[1.493],1.493,8,32
1,40,17.65960900878906,[1.244],1.244,8,32
1,41,21.760692993164064,[1.274],1.274,8,32
1,43,19.06553300476074,[1.337],1.337,8,32
1,41,15.546033004760742,[1.275],1.275,8,32
1,47,23.316942993164062,[1.461],1.461,8,32
1,48,20.659543991088867,[1.492],1.492,8,32
1,47,17.21121600341797,[1.461],1.461,8,32
1,46,29.589914993286133,[1.424],1.424,8,32
1,46,20.475996994018555,[1.43],1.43,8,32
1,46,21.83128500366211,[1.43],1.43,8,32
1,41,32.24670700073242,[1.271],1.271,8,32
1,45,32.44405299377441,[1.383],1.383,8,32
1,41,20.849612991333007,[1.267],1.267,8,32
1,45,20.515484008789063,[1.399],1.399,8,32
1,55,28.550861999511717,[1.71],1.71,8,32
1,50,21.638426986694334,[1.555],1.555,8,32
1,46,24.030824996948244,[1.43],1.43,8,32
1,45,20.81787599182129,[1.399],1.399,8,32
1,47,29.576189987182616,[1.447],1.447,8,32
1,42,825.7302830047607,[1.306],1.306,8,32
1,48,34.36126100158691,[1.492],1.492,8,32
1,52,30.341565002441406,[1.617],1.617,8,32
1,47,29.470684005737304,[1.461],1.461,8,32
1,42,38.676050994873044,[1.306],1.306,8,32
1,50,42.561218994140624,[1.541],1.541,8,32
1,48,276.59883099365237,[1.493],1.493,8,32
1,44,31.031869995117187,[1.368],1.368,8,32
1,50,36.795341995239255,[1.555],1.555,8,32
1,40,28.128537002563476,[1.244],1.244,8,32
1,41,32.43417300415039,[1.241],1.241,8,32
1,48,31.06464599609375,[1.492],1.492,8,32
1,47,30.38185499572754,[1.461],1.461,8,32
1,51,30.075744995117187,[1.552],1.552,8,32
1,49,29.865018997192383,[1.523],1.523,8,32
1,47,32.321136001586915,[1.461],1.461,8,32
1,48,53.45067100524902,[1.457],1.457,8,32
1,49,31.989609008789063,[1.505],1.505,8,32
1,45,28.234845993041993,[1.399],1.399,8,32
1,39,30.022411010742186,[1.212],1.212,8,32
1,41,32.03197900390625,[1.25],1.25,8,32
1,41,29.18021499633789,[1.275],1.275,8,32
1,41,28.686706008911134,[1.275],1.275,8,32
1,51,39.26188301086426,[1.585],1.585,8,32
2,9,507.63412298583984,[0.186;0.093],0.1395,8,32
2,36,16.346998001098633,[0.745;0.373],0.5589999999999999,8,32
2,56,25.70233299255371,[1.181;0.56],0.8705,8,32
2,84,29.944442993164063,[1.707;0.9],1.3035,8,32
2,86,40.87736199951172,[1.561;1.071],1.3159999999999998,8,32
2,86,26.461431991577147,[1.461;1.212],1.3365,8,32
2,92,38.33423999023437,[1.382;1.443],1.4125,8,32
2,93,29.753205993652344,[1.286;1.561],1.4235,8,32
2,101,33.99928401184082,[1.488;1.643],1.5655000000000001,8,32
