NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+REAL_CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE+MINIMUM_TIME+MAXIMUM_TIME
4+0+18,492223999023437+[0;0;0;0]+0+0,5438755555555553+0,014073195833333333+8+1800+1+20+1605042400972+1605040600972+50+100
4+10+20,8598330078125+[0,001;0,004;0,001;0]+0,0015+0,5532561111111108+0,01589895462962963+8+1800+1+40+1605042408972+1605040608972+50+100
4+24+20,57300701904297+[0,004;0,006;0,004;0]+0,0035+0,4901511111111108+0,019277071141975303+8+1800+1+80+1605042416972+1605040616972+50+100
4+37+21,188009002685547+[0,006;0,006;0,006;0,002]+0,005000000000000001+0,49833333333333335+0,02092808317901235+8+1800+1+100+1605042424972+1605040624972+50+100
4+52+21,631153991699218+[0,007;0,008;0,008;0,006]+0,0072499999999999995+0,5141666666666667+0,022607367746913576+8+1800+1+120+1605042432972+1605040632972+50+100
4+71+28,45990899658203+[0,01;0,011;0,011;0,007]+0,00975+0,49333333333333357+0,02593635864197531+8+1800+1+160+1605042440972+1605040640972+50+100
4+86+21,491196990966795+[0,013;0,012;0,013;0,009]+0,01175+0,48296833333333344+0,027589750308641983+8+1800+1+180+1605042448972+1605040648972+50+100
4+93+28,417799011230468+[0,014;0,012;0,014;0,011]+0,012750000000000001+0,4843722222222222+0,029179268827160498+8+1800+1+200+1605042456972+1605040656972+50+100
4+113+25,104210998535155+[0,017;0,017;0,016;0,014]+0,016+0,5330408333333336+0,032624472839506174+8+1800+1+240+1605042464972+1605040664972+50+100
4+123+30,878273010253906+[0,018;0,019;0,016;0,015]+0,017+0,5369444444444444+0,034384058333333335+8+1800+1+260+1605042472972+1605040672972+50+100
4+137+22,467661987304687+[0,022;0,02;0,018;0,016]+0,019+0,5622222222222224+0,03623924969135803+8+1800+1+280+1605042480972+1605040680972+50+100
4+154+24,527531005859377+[0,024;0,021;0,023;0,018]+0,021500000000000002+0,5148333333333331+0,0398066924382716+8+1800+1+320+1605042488972+1605040688972+50+100
4+164+23,74032501220703+[0,024;0,024;0,023;0,02]+0,022750000000000003+0,5208688888888892+0,041478807098765426+8+1800+1+340+1605042496972+1605040696972+50+100
4+178+25,409531005859375+[0,026;0,028;0,023;0,022]+0,02475+0,5517533333333331+0,04327811959876543+8+1800+1+360+1605042504972+1605040704972+50+100
4+194+27,362369995117188+[0,028;0,028;0,026;0,025]+0,026750000000000003+0,5121974999999998+0,046895073456790115+8+1800+1+400+1605042512972+1605040712972+50+100
4+211+28,088417022705077+[0,031;0,029;0,03;0,027]+0,029249999999999998+0,525555555555556+0,04859381959876541+8+1800+1+420+1605042520972+1605040720972+50+100
4+223+28,4035419921875+[0,032;0,032;0,031;0,029]+0,031+0,5433333333333332+0,050373099845679004+8+1800+1+440+1605042528972+1605040728972+50+100
4+237+28,73025601196289+[0,034;0,034;0,032;0,031]+0,03275+0,5472222222222222+0,054054491666666676+8+1800+1+480+1605042536972+1605040736972+50+100
4+246+27,49057000732422+[0,035;0,037;0,034;0,031]+0,03425+0,5105938888888888+0,05576172947530868+8+1800+1+500+1605042544972+1605040744972+50+100
4+265+32,32049200439453+[0,037;0,039;0,037;0,034]+0,03675+0,549851388888889+0,05756360617283951+8+1800+1+520+1605042552972+1605040752972+50+100
4+279+40,395567993164065+[0,039;0,039;0,039;0,037]+0,0385+0,49444444444444435+0,06109060061728394+8+1800+1+560+1605042560972+1605040760972+50+100
4+292+27,99526599121094+[0,042;0,04;0,042;0,039]+0,04075+0,4777777777777778+0,06268121466049383+8+1800+1+580+1605042568972+1605040768972+50+100
4+305+38,957808013916015+[0,043;0,042;0,042;0,042]+0,04225+0,4686111111111113+0,06422461543209879+8+1800+1+600+1605042576972+1605040776972+50+100
4+317+27,55819302368164+[0,044;0,046;0,042;0,044]+0,044+0,5458333333333333+0,06758784336419753+8+1800+1+640+1605042584972+1605040784972+50+100
4+333+34,15130499267578+[0,047;0,048;0,045;0,046]+0,0465+0,5451833333333332+0,06945617623456789+8+1800+1+660+1605042592972+1605040792972+50+100
4+343+29,37943798828125+[0,048;0,049;0,047;0,046]+0,0475+0,5598672222222225+0,07132003703703706+8+1800+1+680+1605042600972+1605040800972+50+100
4+358+33,08292001342773+[0,05;0,051;0,051;0,047]+0,04975+0,4908533333333333+0,07468288179012346+8+1800+1+720+1605042608972+1605040808972+50+100
4+374+30,170789978027344+[0,053;0,053;0,053;0,049]+0,052000000000000005+0,4944444444444448+0,0762664902777778+8+1800+1+740+1605042616972+1605040816972+50+100
4+383+36,34199700927734+[0,053;0,053;0,055;0,052]+0,05325+0,5086111111111106+0,07790852530864203+8+1800+1+760+1605042624972+1605040824972+50+100
4+400+34,226100006103515+[0,055;0,057;0,057;0,053]+0,0555+0,5019444444444441+0,08123703101851856+8+1800+1+800+1605042632972+1605040832972+50+100
4+414+32,85076998901367+[0,058;0,06;0,057;0,055]+0,057499999999999996+0,5211811111111111+0,08293597438271606+8+1800+1+820+1605042640972+1605040840972+50+100
4+428+34,23940200805664+[0,06;0,061;0,061;0,056]+0,0595+0,5136833333333335+0,08462910339506173+8+1800+1+840+1605042648972+1605040848972+50+100
4+440+32,671833984375+[0,062;0,063;0,062;0,058]+0,06125+0,5306961111111114+0,08802119382716046+8+1800+1+880+1605042656972+1605040856972+50+100
4+455+40,94831100463867+[0,064;0,065;0,064;0,059]+0,063+0,54+0,08976696975308647+8+1800+1+900+1605042664972+1605040864972+50+100
4+467+38,16410400390625+[0,066;0,067;0,066;0,061]+0,065+0,5136111111111114+0,09151413641975308+8+1800+1+920+1605042672972+1605040872972+50+100
4+480+37,16357000732422+[0,068;0,067;0,067;0,064]+0,0665+0,5449694444444444+0,09496375123456788+8+1800+1+960+1605042680972+1605040880972+50+100
4+496+38,45012399291992+[0,071;0,069;0,069;0,066]+0,06875+0,5537622222222222+0,09677987469135808+8+1800+1+980+1605042688972+1605040888972+50+100
4+507+37,723455993652344+[0,073;0,07;0,072;0,067]+0,07050000000000001+0,537395555555556+0,09864479984567896+8+1800+1+1000+1605042696972+1605040896972+50+100
