NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+0+21,741496002197266+[0;0;0;0]+0+0,5427138888888889+8+1800+1+20+1604878293046+1604876493046
4+10+21,236225006103517+[0,001;0,004;0,001;0]+0,0015+0,517863888888889+8+1800+1+60+1604878301046+1604876501046
4+24+26,37652600097656+[0,004;0,006;0,004;0]+0,0035+0,4902511111111113+8+1800+1+80+1604878309046+1604876509046
4+37+23,64919400024414+[0,006;0,006;0,006;0,002]+0,005000000000000001+0,49833333333333324+8+1800+1+100+1604878317046+1604876517046
4+52+20,430341995239257+[0,007;0,008;0,008;0,006]+0,0072499999999999995+0,5141666666666667+8+1800+1+120+1604878325046+1604876525046
4+71+26,63670100402832+[0,01;0,011;0,011;0,007]+0,00975+0,4933333333333336+8+1800+1+160+1604878333046+1604876533046
4+86+26,87364599609375+[0,013;0,012;0,013;0,009]+0,01175+0,48170833333333285+8+1800+1+180+1604878341046+1604876541046
4+93+25,886975006103516+[0,014;0,012;0,014;0,011]+0,012750000000000001+0,5186594444444443+8+1800+1+220+1604878349046+1604876549046
4+113+22,929913009643556+[0,017;0,017;0,016;0,014]+0,016+0,5320224999999995+8+1800+1+240+1604878357046+1604876557046
4+123+28,15095799255371+[0,018;0,019;0,016;0,015]+0,017+0,5369444444444443+8+1800+1+260+1604878365046+1604876565046
4+137+23,450479995727537+[0,022;0,02;0,018;0,016]+0,019+0,556666666666667+8+1800+1+300+1604878373046+1604876573046
4+154+22,37922200012207+[0,024;0,021;0,023;0,018]+0,021500000000000002+0,5138888888888888+8+1800+1+320+1604878381046+1604876581046
4+164+27,687688995361327+[0,024;0,024;0,023;0,02]+0,022750000000000003+0,5184566666666666+8+1800+1+340+1604878389046+1604876589046
4+178+25,086955001831054+[0,026;0,028;0,023;0,022]+0,02475+0,5525444444444445+8+1800+1+380+1604878397046+1604876597046
4+194+28,185323989868163+[0,028;0,028;0,026;0,025]+0,026750000000000003+0,5105475000000002+8+1800+1+400+1604878405046+1604876605046
4+211+29,339746002197266+[0,031;0,029;0,03;0,027]+0,029249999999999998+0,5255555555555556+8+1800+1+420+1604878413046+1604876613046
4+223+30,209382003784178+[0,032;0,032;0,031;0,029]+0,031+0,5502777777777776+8+1800+1+460+1604878421046+1604876621046
