NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+REAL_CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE+MINIMUM_TIME+MAXIMUM_TIME
4+0+25,339864990234375+[0;0;0;0]+0+1,4761897222222224+0,0416305947530864+8+1800+1+20+1605055417455+1605053617455+50+100
4+35+19,63569598388672+[0,003;0,007;0,005;0,004]+0,00475+1,6006594444444453+0,051881646296296303+8+1800+1+60+1605055425455+1605053625455+50+100
4+73+22,207037994384766+[0,009;0,014;0,01;0,007]+0,01+1,5677044444444452+0,0570483600308642+8+1800+1+80+1605055433455+1605053633455+50+100
4+110+22,062850982666017+[0,014;0,02;0,016;0,011]+0,01525+1,4901625000000005+0,0620662813271605+8+1800+1+100+1605055441455+1605053641455+50+100
4+145+21,295010009765626+[0,019;0,023;0,022;0,016]+0,02+1,4907899999999992+0,07212371697530862+8+1800+1+140+1605055449455+1605053649455+50+100
4+197+25,538924987792967+[0,026;0,029;0,031;0,023]+0,027249999999999996+1,4058861111111105+0,0769540074074074+8+1800+1+160+1605055457455+1605053657455+50+100
4+230+24,682811981201173+[0,031;0,034;0,032;0,031]+0,032+1,5177522222222213+0,08179489675925929+8+1800+1+180+1605055465455+1605053665455+50+100
4+280+23,024622985839844+[0,037;0,042;0,038;0,039]+0,039+1,6106758333333333+0,09234674120370373+8+1800+1+220+1605055473455+1605053673455+50+100
4+315+24,44117398071289+[0,042;0,048;0,045;0,04]+0,043750000000000004+1,6508502777777767+0,09762147530864197+8+1800+1+240+1605055481455+1605053681455+50+100
4+352+29,573175994873047+[0,047;0,053;0,052;0,044]+0,049+1,6294513888888893+0,10314835200617284+8+1800+1+260+1605055489455+1605053689455+50+100
4+394+24,433373992919922+[0,053;0,061;0,058;0,047]+0,05474999999999999+1,623949444444444+0,1139813674382716+8+1800+1+300+1605055497455+1605053697455+50+100
4+437+33,444661987304684+[0,056;0,067;0,064;0,056]+0,06075+1,6561011111111112+0,11949841265432098+8+1800+1+320+1605055505455+1605053705455+50+100
4+488+28,160914001464842+[0,067;0,072;0,071;0,061]+0,06775+1,5983397222222215+0,12484184629629633+8+1800+1+340+1605055513455+1605053713455+50+100
4+524+27,36554800415039+[0,071;0,076;0,078;0,066]+0,07275+1,5949616666666662+0,13022546296296295+8+1800+1+360+1605055521455+1605053721455+50+100
4+578+29,077927001953125+[0,078;0,084;0,083;0,076]+0,08025+1,55681611111111+0,14030707422839506+8+1800+1+400+1605055529455+1605053729455+50+100
4+623+34,948901977539066+[0,082;0,094;0,086;0,084]+0,08650000000000001+1,6231755555555558+0,14563104922839512+8+1800+1+420+1605055537455+1605053737455+50+100
4+664+26,19873699951172+[0,089;0,098;0,092;0,09]+0,09225+1,5771222222222216+0,15632112546296295+8+1800+1+460+1605055545455+1605053745455+50+100
4+712+28,206996002197265+[0,096;0,104;0,103;0,093]+0,099+1,561658333333333+0,16155986851851856+8+1800+1+480+1605055553455+1605053753455+50+100
4+750+26,459477996826173+[0,102;0,109;0,108;0,098]+0,10425000000000001+1,5149469444444454+0,1665786296296297+8+1800+1+500+1605055561455+1605053761455+50+100
4+788+27,310217987060547+[0,106;0,113;0,114;0,104]+0,10925+1,4642244444444448+0,176488987345679+8+1800+1+540+1605055569455+1605053769455+50+100
4+832+31,697050994873045+[0,112;0,122;0,118;0,11]+0,11549999999999999+1,4791022222222232+0,18126683456790113+8+1800+1+560+1605055577455+1605053777455+50+100
4+877+30,12246499633789+[0,119;0,127;0,122;0,119]+0,12175+1,5027938888888888+0,18620864953703695+8+1800+1+580+1605055585455+1605053785455+50+100
4+913+37,56473098754883+[0,126;0,129;0,129;0,123]+0,12675+1,5141063888888882+0,1964741615740742+8+1800+1+620+1605055593455+1605053793455+50+100
4+957+30,05680798339844+[0,133;0,134;0,136;0,129]+0,133+1,5016766666666663+0,2013453353395062+8+1800+1+640+1605055601455+1605053801455+50+100
4+987+40,441141998291016+[0,136;0,139;0,141;0,132]+0,137+1,5780749999999997+0,2066015158950617+8+1800+1+660+1605055609455+1605053809455+50+100
4+1030+34,07814199829102+[0,142;0,146;0,144;0,139]+0,14275+1,5757763888888887+0,211879486882716+8+1800+1+680+1605055617455+1605053817455+50+100
4+1062+32,175664001464845+[0,147;0,15;0,15;0,143]+0,1475+1,6549638888888882+0,222473575+8+1800+1+720+1605055625455+1605053825455+50+100
4+1111+34,15966400146485+[0,152;0,156;0,159;0,149]+0,154+1,6033047222222205+0,2278299200617284+8+1800+1+740+1605055633455+1605053833455+50+100
4+1146+32,20699502563477+[0,159;0,161;0,164;0,152]+0,159+1,593877777777777+0,23312082793209862+8+1800+1+760+1605055641455+1605053841455+50+100
4+1191+31,352885009765625+[0,164;0,166;0,171;0,161]+0,1655+1,5666119444444437+0,24366381018518532+8+1800+1+800+1605055649455+1605053849455+50+100
4+1228+35,3620119934082+[0,171;0,168;0,176;0,167]+0,1705+1,5917402777777776+0,24889531111111104+8+1800+1+820+1605055657455+1605053857455+50+100
4+1267+41,12776501464844+[0,174;0,173;0,184;0,173]+0,176+1,600703055555556+0,25413487916666677+8+1800+1+840+1605055665455+1605053865455+50+100
4+1305+35,57205001831055+[0,181;0,178;0,187;0,179]+0,18125000000000002+1,557033055555556+0,2645964783950617+8+1800+1+880+1605055673455+1605053873455+50+100
4+1349+32,30411798095703+[0,19;0,185;0,191;0,183]+0,18725000000000003+1,621653611111111+0,2699532950617283+8+1800+1+900+1605055681455+1605053881455+50+100
4+1394+46,492007019042966+[0,194;0,19;0,197;0,193]+0,1935+1,6082777777777786+0,27558393179012364+8+1800+1+920+1605055689455+1605053889455+50+100
4+1439+33,025360992431644+[0,2;0,195;0,208;0,197]+0,2+1,6472961111111106+0,2861542419753085+8+1800+1+960+1605055697455+1605053897455+50+100
4+1475+34,751828002929685+[0,207;0,201;0,211;0,201]+0,20500000000000002+1,6179577777777774+0,2915854675925926+8+1800+1+980+1605055705455+1605053905455+50+100
4+1523+43,81979299926758+[0,212;0,209;0,219;0,206]+0,2115+1,5741416666666657+0,2967628902777778+8+1800+1+1000+1605055713455+1605053913455+50+100
4+1561+35,979627990722655+[0,217;0,215;0,222;0,213]+0,21675+1,6507444444444446+0,30749120910493827+8+1800+1+1040+1605055721455+1605053921455+50+100
4+1608+38,358726989746096+[0,223;0,22;0,229;0,221]+0,22325+1,6262436111111105+0,31295155509259254+8+1800+1+1060+1605055729455+1605053929455+50+100
4+1651+42,23575198364258+[0,227;0,225;0,239;0,226]+0,22925+1,556644444444445+0,31826579922839526+8+1800+1+1080+1605055737455+1605053937455+50+100
4+1697+36,39803500366211+[0,232;0,234;0,246;0,232]+0,236+1,4506791666666667+0,32810994814814776+8+1800+1+1120+1605055745455+1605053945455+50+100
4+1739+36,22888000488281+[0,24;0,238;0,248;0,24]+0,2415+1,479017777777778+0,333162890740741+8+1800+1+1140+1605055753455+1605053953455+50+100
4+1794+37,40863900756836+[0,246;0,246;0,256;0,248]+0,249+1,4788575000000002+0,33802421959876544+8+1800+1+1160+1605055761455+1605053961455+50+100
