NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+REAL_CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE+MINIMUM_TIME+MAXIMUM_TIME
4+0+54,71730499267578+[0;0;0;0]+0+1,4786311111111117+0,04178478317901231+8+1800+1+20+1605059251771+1605057451771+50+100
4+35+27,891161987304688+[0,003;0,007;0,005;0,004]+0,00475+1,5427783333333331+0,04665758811728396+8+1800+1+40+1605059259771+1605057459771+50+100
4+73+22,61284600830078+[0,009;0,014;0,01;0,007]+0,01+1,570705555555557+0,05719682978395064+8+1800+1+80+1605059267771+1605057467771+50+100
4+110+22,034007019042967+[0,014;0,02;0,016;0,011]+0,01525+1,4918675000000006+0,06219267546296292+8+1800+1+100+1605059275771+1605057475771+50+100
4+145+24,8439580078125+[0,019;0,023;0,022;0,016]+0,02+1,5404386111111106+0,06720273132716052+8+1800+1+120+1605059283771+1605057483771+50+100
4+197+23,652151977539063+[0,026;0,029;0,031;0,023]+0,027249999999999996+1,4112883333333326+0,07710083703703703+8+1800+1+160+1605059291771+1605057491771+50+100
4+230+20,815137023925782+[0,031;0,034;0,032;0,031]+0,032+1,5206699999999997+0,08188066882716043+8+1800+1+180+1605059299771+1605057499771+50+100
4+279+21,97561297607422+[0,037;0,041;0,038;0,039]+0,03875+1,545320833333333+0,08708007083333331+8+1800+1+200+1605059307771+1605057507771+50+100
4+314+23,539280975341796+[0,042;0,047;0,045;0,04]+0,043500000000000004+1,653024999999999+0,09770106913580248+8+1800+1+240+1605059315771+1605057515771+50+100
4+351+22,319722991943358+[0,047;0,053;0,052;0,044]+0,049+1,629276388888889+0,10314380648148146+8+1800+1+260+1605059323771+1605057523771+50+100
4+393+25,963845001220704+[0,053;0,061;0,058;0,047]+0,05474999999999999+1,6318499999999994+0,10857518765432102+8+1800+1+280+1605059331771+1605057531771+50+100
4+437+25,985384979248046+[0,057;0,066;0,064;0,056]+0,06075+1,6567080555555556+0,11951949598765424+8+1800+1+320+1605059339771+1605057539771+50+100
4+487+31,883921997070313+[0,067;0,071;0,072;0,061]+0,06775+1,5998880555555557+0,12489957638888902+8+1800+1+340+1605059347771+1605057547771+50+100
4+523+27,392597015380858+[0,071;0,075;0,079;0,066]+0,07275+1,602637777777777+0,1301581330246913+8+1800+1+360+1605059355771+1605057555771+50+100
4+578+30,467071990966797+[0,078;0,083;0,083;0,076]+0,08+1,5604055555555556+0,14045521882716053+8+1800+1+400+1605059363771+1605057563771+50+100
4+623+30,225375+[0,082;0,094;0,086;0,084]+0,08650000000000001+1,6246866666666662+0,14568386882716047+8+1800+1+420+1605059371771+1605057571771+50+100
4+663+29,564915985107422+[0,089;0,097;0,092;0,09]+0,092+1,5814022222222217+0,15098249768518532+8+1800+1+440+1605059379771+1605057579771+50+100
4+711+31,876087982177733+[0,096;0,103;0,103;0,093]+0,09875+1,5618683333333334+0,1615658055555557+8+1800+1+480+1605059387771+1605057587771+50+100
4+749+30,0286259765625+[0,102;0,108;0,108;0,098]+0,10400000000000001+1,5172361111111112+0,16668283796296313+8+1800+1+500+1605059395771+1605057595771+50+100
4+787+28,292751007080078+[0,106;0,112;0,115;0,104]+0,10925+1,4578311111111117+0,17173852361111108+8+1800+1+520+1605059403771+1605057603771+50+100
4+829+29,59608898925781+[0,111;0,121;0,119;0,109]+0,11499999999999999+1,4793155555555553+0,1812766401234568+8+1800+1+560+1605059411771+1605057611771+50+100
4+874+36,4619580078125+[0,119;0,126;0,122;0,119]+0,1215+1,5049494444444438+0,18627506929012363+8+1800+1+580+1605059419771+1605057619771+50+100
4+910+32,22725+[0,126;0,128;0,129;0,123]+0,1265+1,5154705555555552+0,19135438611111116+8+1800+1+600+1605059427771+1605057627771+50+100
4+954+28,971649993896484+[0,132;0,133;0,136;0,128]+0,13225+1,5030024999999998+0,20137661404320992+8+1800+1+640+1605059435771+1605057635771+50+100
4+984+28,423984985351563+[0,135;0,138;0,142;0,132]+0,13675+1,5784288888888889+0,20662406126543226+8+1800+1+660+1605059443771+1605057643771+50+100
4+1029+35,08743099975586+[0,142;0,145;0,146;0,139]+0,143+1,5729174999999993+0,21177140787037044+8+1800+1+680+1605059451771+1605057651771+50+100
4+1061+29,6765419921875+[0,147;0,149;0,151;0,143]+0,1475+1,6556113888888884+0,22250718904320999+8+1800+1+720+1605059459771+1605057659771+50+100
4+1109+34,836850982666014+[0,152;0,155;0,161;0,148]+0,154+1,6044713888888882+0,22787838425925927+8+1800+1+740+1605059467771+1605057667771+50+100
4+1145+33,24653500366211+[0,159;0,16;0,166;0,152]+0,15925+1,594855555555556+0,233199090895062+8+1800+1+760+1605059475771+1605057675771+50+100
4+1191+34,555375+[0,164;0,166;0,172;0,161]+0,16575+1,567554166666666+0,24369114845679019+8+1800+1+800+1605059483771+1605057683771+50+100
4+1228+36,877509979248046+[0,171;0,168;0,177;0,167]+0,17075+1,5916127777777767+0,24888736388888902+8+1800+1+820+1605059491771+1605057691771+50+100
4+1268+34,96482000732422+[0,173;0,173;0,186;0,173]+0,17625000000000002+1,5890822222222227+0,2542858003086419+8+1800+1+840+1605059499771+1605057699771+50+100
4+1307+39,4400530090332+[0,179;0,179;0,188;0,179]+0,18125000000000002+1,5585905555555553+0,26467346064814806+8+1800+1+880+1605059507771+1605057707771+50+100
4+1346+33,117414001464844+[0,188;0,186;0,191;0,183]+0,187+1,6237030555555554+0,27000920030864217+8+1800+1+900+1605059515771+1605057715771+50+100
4+1393+34,12091500854492+[0,193;0,19;0,198;0,193]+0,1935+1,6065400000000003+0,27550841975308643+8+1800+1+920+1605059523771+1605057723771+50+100
4+1436+35,56240399169922+[0,199;0,195;0,207;0,196]+0,19924999999999998+1,648536111111111+0,28621040555555566+8+1800+1+960+1605059531771+1605057731771+50+100
4+1472+43,11176998901367+[0,206;0,201;0,211;0,201]+0,20475+1,6179133333333335+0,2915810686728395+8+1800+1+980+1605059539771+1605057739771+50+100
4+1521+37,039122985839846+[0,212;0,208;0,219;0,206]+0,21125+1,5741416666666657+0,2967628902777778+8+1800+1+1000+1605059547771+1605057747771+50+100
4+1559+41,865989990234375+[0,217;0,214;0,222;0,213]+0,2165+1,6504333333333334+0,30746546466049385+8+1800+1+1040+1605059555771+1605057755771+50+100
4+1606+34,842101013183594+[0,223;0,219;0,229;0,22]+0,22275+1,6298652777777778+0,31304685694444445+8+1800+1+1060+1605059563771+1605057763771+50+100
4+1648+37,70798300170898+[0,227;0,224;0,239;0,225]+0,22874999999999998+1,5726988888888893+0,3181889895061726+8+1800+1+1080+1605059571771+1605057771771+50+100
4+1692+36,233170989990235+[0,232;0,233;0,246;0,23]+0,23525000000000001+1,4511925000000003+0,32812695308641954+8+1800+1+1120+1605059579771+1605057779771+50+100
4+1735+33,52576000976563+[0,241;0,236;0,248;0,239]+0,241+1,487393333333333+0,33354331666666664+8+1800+1+1140+1605059587771+1605057787771+50+100
4+1790+36,24575500488281+[0,247;0,244;0,256;0,247]+0,2485+1,4898608333333325+0,338813734876543+8+1800+1+1164+1605059595771+1605057795771+50+100
4+1819+42,346571990966794+[0,251;0,248;0,261;0,251]+0,25275000000000003+1,5185330555555554+0,34891640277777786+8+1800+1+1204+1605059603771+1605057803771+50+100
