NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA
4,0,20.87359700012207,[0;0;0;0],0,8,1800
4,35,23.030996002197266,[0.003;0.007;0.005;0.004],0.00475,8,1800
4,73,26.67309700012207,[0.009;0.014;0.01;0.007],0.01,8,1800
4,110,23.497626998901367,[0.014;0.02;0.016;0.011],0.01525,8,1800
4,144,23.028294998168946,[0.019;0.023;0.022;0.016],0.02,8,1800
4,196,29.0026129989624,[0.026;0.029;0.031;0.023],0.027249999999999996,8,1800
4,229,27.400062999725343,[0.031;0.034;0.032;0.031],0.032,8,1800
4,278,29.153868000030517,[0.037;0.041;0.038;0.039],0.03875,8,1800
4,314,26.04840599822998,[0.042;0.047;0.045;0.04],0.043500000000000004,8,1800
4,350,32.948475002288816,[0.047;0.053;0.051;0.044],0.04875,8,1800
4,392,28.762290000915527,[0.053;0.061;0.057;0.047],0.05449999999999999,8,1800
4,436,27.882694999694824,[0.057;0.066;0.064;0.056],0.06075,8,1800
4,487,29.589993000030518,[0.067;0.071;0.072;0.061],0.06775,8,1800
4,522,38.89044800186157,[0.071;0.075;0.079;0.065],0.0725,8,1800
4,577,39.19114400100708,[0.078;0.083;0.083;0.076],0.08,8,1800
4,623,34.48435900115967,[0.082;0.094;0.086;0.084],0.08650000000000001,8,1800
4,663,34.32619499969483,[0.089;0.097;0.092;0.089],0.09175,8,1800
4,713,37.308111999511716,[0.097;0.103;0.103;0.093],0.099,8,1800
4,750,36.238951000213625,[0.102;0.108;0.108;0.098],0.10400000000000001,8,1800
4,788,35.61364100265503,[0.107;0.112;0.115;0.104],0.1095,8,1800
4,833,37.772089000701904,[0.112;0.121;0.119;0.111],0.11574999999999999,8,1800
4,878,35.49690800094604,[0.12;0.126;0.122;0.12],0.122,8,1800
4,911,40.14949900054932,[0.126;0.128;0.129;0.124],0.12675,8,1800
