NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA
1,0,6.1677949981689455,[0],0,8,32
1,3,10.371155006408692,[0.094],0.094,8,32
1,10,6.286314002990722,[0.313],0.313,8,32
1,15,6.971863998413086,[0.469],0.469,8,32
1,23,6.424490005493164,[0.719],0.719,8,32
1,28,6.045732002258301,[0.875],0.875,8,32
1,31,6.86981900024414,[0.969],0.969,8,32
1,31,8.422694999694825,[0.969],0.969,8,32
1,43,5.860203002929688,[1.344],1.344,8,32
1,47,9.320620002746582,[1.469],1.469,8,32
1,42,5.93713500213623,[1.313],1.313,8,32
1,49,6.181327995300293,[1.531],1.531,8,32
1,41,6.0479039993286134,[1.281],1.281,8,32
1,35,5.875266998291016,[1.094],1.094,8,32
1,35,5.883855003356934,[1.094],1.094,8,32
1,31,6.286958000183105,[0.969],0.969,8,32
1,32,7.50846199798584,[1],1,8,32
1,38,6.618629005432129,[1.188],1.188,8,32
1,42,5.860707000732422,[1.313],1.313,8,32
1,37,7.768483001708985,[1.156],1.156,8,32
1,42,6.525563003540039,[1.313],1.313,8,32
1,41,6.381099998474121,[1.281],1.281,8,32
1,35,7.554693000793457,[1.094],1.094,8,32
1,39,6.420881996154785,[1.219],1.219,8,32
1,38,5.865200996398926,[1.188],1.188,8,32
1,33,7.55172900390625,[1.031],1.031,8,32
1,43,6.478182998657227,[1.344],1.344,8,32
1,43,6.016105003356934,[1.344],1.344,8,32
1,40,6.535548004150391,[1.25],1.25,8,32
1,43,7.38575700378418,[1.344],1.344,8,32
1,37,6.174944000244141,[1.156],1.156,8,32
1,36,7.482307998657227,[1.125],1.125,8,32
1,33,6.473541000366211,[1.031],1.031,8,32
1,38,7.175196998596191,[1.188],1.188,8,32
1,39,6.237667999267578,[1.219],1.219,8,32
1,40,5.481596000671387,[1.25],1.25,8,32
1,50,9.93527000427246,[1.563],1.563,8,32
1,38,7.973157997131348,[1.188],1.188,8,32
1,42,6.238141998291016,[1.313],1.313,8,32
1,40,7.307468994140625,[1.25],1.25,8,32
1,35,10.480877998352051,[1.094],1.094,8,32
1,37,6.787515998840332,[1.156],1.156,8,32
1,43,6.973904998779297,[1.344],1.344,8,32
1,44,5.942029998779297,[1.375],1.375,8,32
1,43,7.119617004394531,[1.344],1.344,8,32
1,43,6.276642997741699,[1.344],1.344,8,32
1,42,6.134388999938965,[1.313],1.313,8,32
1,46,8.138406997680663,[1.438],1.438,8,32
1,41,6.035268997192383,[1.281],1.281,8,32
1,43,6.387476997375488,[1.344],1.344,8,32
1,35,7.8261320037841795,[1.094],1.094,8,32
1,36,6.195081993103027,[1.125],1.125,8,32
1,42,6.296305000305176,[1.313],1.313,8,32
1,43,6.720968994140625,[1.344],1.344,8,32
1,46,17.71892099761963,[1.438],1.438,8,32
1,38,6.291623001098633,[1.188],1.188,8,32
1,39,5.934958000183105,[1.219],1.219,8,32
1,38,5.588984001159668,[1.188],1.188,8,32
1,37,6.552406997680664,[1.156],1.156,8,32
1,39,6.636021003723145,[1.219],1.219,8,32
1,34,6.147339004516602,[1.063],1.063,8,32
1,34,7.459778999328614,[1.063],1.063,8,32
1,36,6.5642539978027346,[1.125],1.125,8,32
1,37,12.372152000427246,[1.156],1.156,8,32
2,0,10.80799700164795,[0;0],0,8,32
2,9,12.00065899658203,[0.188;0.094],0.14100000000000001,8,32
2,29,13.093062004089356,[0.594;0.313],0.4535,8,32
2,51,12.82272200012207,[1.125;0.469],0.7969999999999999,8,32
2,69,19.577114006042482,[1.438;0.719],1.0785,8,32
2,77,12.18087799835205,[1.531;0.875],1.2029999999999998,8,32
2,75,11.616967002868652,[1.375;0.969],1.172,8,32
2,64,12.189138999938965,[1.031;0.969],1,8,32
2,78,12.832141998291016,[1.094;1.344],1.219,8,32
2,87,12.25793399810791,[1.25;1.469],1.3595000000000002,8,32
2,78,12.922567001342774,[1.125;1.313],1.2189999999999999,8,32
2,90,11.40240299987793,[1.281;1.531],1.406,8,32
2,77,11.919488998413087,[1.125;1.281],1.2029999999999998,8,32
2,65,12.348455001831054,[0.938;1.094],1.016,8,32
2,72,11.300781997680664,[1.156;1.094],1.125,8,32
2,65,11.04589200592041,[1.063;0.969],1.016,8,32
2,68,11.282829002380371,[1.125;1],1.0625,8,32
2,77,11.696180999755859,[1.219;1.188],1.2035,8,32
2,78,10.950088996887207,[1.125;1.313],1.2189999999999999,8,32
2,71,12.170249000549317,[1.063;1.156],1.1095,8,32
2,79,13.158730003356933,[1.156;1.313],1.2345,8,32
2,74,16.368296005249025,[1.031;1.281],1.156,8,32
2,67,94.16686699676514,[1;1.094],1.0470000000000002,8,32
2,72,10.81791600036621,[1.031;1.219],1.125,8,32
2,73,13.432877006530761,[1.094;1.188],1.141,8,32
2,63,11.317791000366212,[0.938;1.031],0.9844999999999999,8,32
2,76,12.416647003173829,[1.031;1.344],1.1875,8,32
2,80,12.62162200164795,[1.156;1.344],1.25,8,32
2,75,12.095526000976562,[1.031;1.313],1.172,8,32
2,82,10.98197200012207,[1.219;1.344],1.2815,8,32
2,83,14.476706001281737,[1.438;1.156],1.297,8,32
2,83,11.72674299621582,[1.469;1.125],1.2970000000000002,8,32
2,84,14.003068000793457,[1.594;1.031],1.3125,8,32
2,82,10.969333000183106,[1.375;1.188],1.2814999999999999,8,32
2,76,10.963771003723144,[1.125;1.25],1.1875,8,32
2,73,12.156232002258301,[1.031;1.25],1.1404999999999998,8,32
2,86,17.20495700073242,[1.125;1.563],1.3439999999999999,8,32
2,80,14.962519996643067,[1.313;1.188],1.2505,8,32
