NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA
4,0,76.49387100028991,[0;0;0;0],0,1,32
4,0,55.060084000587466,[0;0;0;0],0,1,32
4,2,23.346104000091554,[0;0.031;0.031;0],0.0155,1,32
4,2,277.1599969997406,[0;0.031;0.031;0],0.0155,1,32
4,4,33.381578000068664,[0;0.062;0.031;0.031],0.031,1,32
4,4,25.193831999778748,[0;0.062;0.031;0.031],0.031,1,32
4,5,32.25280900001526,[0;0.062;0.031;0.062],0.03875,1,32
4,5,138.1844909992218,[0;0.062;0.031;0.062],0.03875,1,32
4,9,49.48913199996948,[0;0.155;0.062;0.062],0.06975,1,32
4,9,89.05824199962616,[0;0.155;0.062;0.062],0.06975,1,32
4,12,93.22804699993134,[0.062;0.154;0.062;0.092],0.0925,1,32
4,12,47.676582000732424,[0.062;0.155;0.062;0.093],0.093,1,32
4,17,96.41018600082397,[0.062;0.216;0.062;0.185],0.13125,1,32
4,17,301.74260699939725,[0.062;0.218;0.062;0.186],0.132,1,32
4,21,114.59994799995422,[0.123;0.215;0.061;0.246],0.16125,1,32
4,21,42.96509899997711,[0.124;0.217;0.062;0.249],0.16299999999999998,1,32
4,24,117.61229600048065,[0.216;0.216;0.062;0.247],0.18525,1,32
4,24,53.995098000526426,[0.216;0.216;0.062;0.246],0.185,1,32
4,32,62.25238599967957,[0.338;0.246;0.154;0.246],0.24600000000000002,1,32
4,32,42.40003499984741,[0.342;0.249;0.155;0.249],0.24875,1,32
4,36,125.01178299999238,[0.368;0.276;0.215;0.246],0.27625,1,32
4,36,44.035456999778745,[0.373;0.279;0.217;0.248],0.27925,1,32
4,38,74.04218100070953,[0.401;0.278;0.247;0.247],0.29325,1,32
4,38,49.70626399993896,[0.405;0.28;0.249;0.249],0.29575,1,32
4,39,111.02352299976349,[0.43;0.277;0.246;0.246],0.29975,1,32
4,39,51.537942999839785,[0.435;0.28;0.249;0.249],0.30325,1,32
4,44,146.50067700004578,[0.488;0.305;0.305;0.244],0.33549999999999996,1,32
4,44,48.265847999572756,[0.499;0.312;0.312;0.249],0.34299999999999997,1,32
4,50,126.42114699935914,[0.61;0.335;0.335;0.244],0.381,1,32
4,50,95.93925899982452,[0.623;0.342;0.342;0.249],0.389,1,32
4,56,97.49693000030517,[0.639;0.456;0.335;0.274],0.426,1,32
4,56,57.901291000366214,[0.655;0.468;0.343;0.281],0.43674999999999997,1,32
4,59,99.18920400047303,[0.672;0.458;0.336;0.336],0.45050000000000007,1,32
4,59,58.46164099979401,[0.684;0.466;0.342;0.342],0.4585000000000001,1,32
4,61,145.4438649997711,[0.702;0.488;0.305;0.366],0.46524999999999994,1,32
4,59,89.69596099948883,[0.715;0.466;0.311;0.342],0.4585,1,32
4,64,112.98789599990845,[0.768;0.522;0.338;0.338],0.49150000000000005,1,32
4,64,68.55491200065613,[0.777;0.528;0.342;0.342],0.4972500000000001,1,32
4,66,126.00880900001526,[0.795;0.55;0.336;0.336],0.5042500000000001,1,32
4,64,69.30469900035858,[0.808;0.528;0.311;0.342],0.49725,1,32
4,63,122.29202199935914,[0.79;0.456;0.304;0.365],0.47875,1,32
4,62,75.46937599945069,[0.81;0.467;0.312;0.343],0.48300000000000004,1,32
4,72,134.60790299987792,[0.831;0.616;0.369;0.4],0.554,1,32
4,68,222.05520699977876,[0.827;0.582;0.367;0.306],0.5205,1,32
4,65,145.74154399967193,[0.807;0.559;0.372;0.279],0.50425,1,32
4,73,70.69849499988555,[0.902;0.622;0.466;0.28],0.5675,1,32
4,76,91.79048899936676,[0.92;0.614;0.521;0.276],0.5827500000000001,1,32
4,75,63.889482999801636,[0.901;0.622;0.528;0.28],0.5827500000000001,1,32
4,75,125.65175,[0.857;0.643;0.52;0.275],0.57375,1,32
4,72,123.02496800041199,[0.808;0.622;0.528;0.28],0.5595000000000001,1,32
4,71,137.29210099983214,[0.795;0.612;0.459;0.306],0.543,1,32
4,70,69.03976100063323,[0.777;0.622;0.466;0.311],0.544,1,32
4,72,162.21968000030517,[0.795;0.672;0.428;0.306],0.55025,1,32
4,70,86.00670600032807,[0.777;0.684;0.404;0.311],0.544,1,32
4,73,126.03906500053405,[0.762;0.701;0.457;0.305],0.55625,1,32
4,73,94.01511800003051,[0.779;0.716;0.467;0.311],0.56825,1,32
4,79,97.55943099975586,[0.759;0.759;0.516;0.364],0.5994999999999999,1,32
4,76,89.9106669998169,[0.747;0.747;0.498;0.374],0.5915,1,32
4,79,156.55974400043488,[0.677;0.769;0.554;0.431],0.60775,1,32
4,75,81.41909799957276,[0.622;0.746;0.529;0.435],0.583,1,32
4,78,166.6789169998169,[0.581;0.795;0.551;0.459],0.5965,1,32
4,76,89.90385999965667,[0.591;0.777;0.559;0.435],0.5905,1,32
4,72,109.97114399909974,[0.56;0.685;0.56;0.436],0.56025,1,32
4,77,81.52683699989319,[0.653;0.746;0.622;0.373],0.5985,1,32
4,80,149.96809500026703,[0.67;0.761;0.64;0.365],0.609,1,32
4,79,86.9183010005951,[0.686;0.779;0.655;0.343],0.61575,1,32
4,84,105.83401500034333,[0.739;0.801;0.678;0.37],0.647,1,32
4,80,580.1468269996643,[0.685;0.778;0.653;0.373],0.62225,1,32
4,79,93.22991499996185,[0.685;0.747;0.654;0.373],0.6147499999999999,1,32
4,86,89.32032100009918,[0.715;0.808;0.715;0.435],0.66825,1,32
4,89,142.52874599933625,[0.733;0.795;0.703;0.489],0.6799999999999999,1,32
4,87,92.59864900016785,[0.715;0.808;0.715;0.466],0.676,1,32
4,93,128.14895599937438,[0.734;0.857;0.796;0.459],0.7115,1,32
4,87,78.35651599979401,[0.746;0.808;0.746;0.404],0.6759999999999999,1,32
4,82,186.436859000206,[0.711;0.711;0.742;0.371],0.6337499999999999,1,32
4,82,92.2563810005188,[0.623;0.685;0.716;0.529],0.63825,1,32
4,81,123.45986099910736,[0.583;0.675;0.675;0.552],0.6212500000000001,1,32
4,78,91.00474100017547,[0.529;0.684;0.653;0.56],0.6065,1,32
4,80,163.11748699951173,[0.519;0.671;0.702;0.549],0.61025,1,32
4,79,93.54548600006103,[0.53;0.655;0.717;0.561],0.61575,1,32
4,79,107.92691300010681,[0.526;0.65;0.712;0.557],0.6112500000000001,1,32
4,82,80.69234100055695,[0.56;0.747;0.716;0.529],0.6379999999999999,1,32
4,84,172.7081799993515,[0.514;0.725;0.725;0.574],0.6345,1,32
4,82,137.33285900020599,[0.529;0.715;0.715;0.591],0.6375,1,32
4,82,146.41150099945068,[0.517;0.7;0.669;0.608],0.6235,1,32
4,79,99.3458810005188,[0.498;0.685;0.654;0.623],0.615,1,32
4,84,166.74077799987793,[0.52;0.765;0.673;0.612],0.6425000000000001,1,32
4,82,106.09358699989319,[0.529;0.715;0.684;0.622],0.6375,1,32
4,79,65.63723700046539,[0.529;0.716;0.591;0.622],0.6145,1,32
4,84,110.50157399940491,[0.56;0.778;0.653;0.622],0.65325,1,32
4,86,222.6379179992676,[0.545;0.758;0.667;0.636],0.6515,1,32
4,82,133.04119099998474,[0.56;0.715;0.653;0.622],0.6375,1,32
4,78,158.48507499980926,[0.497;0.715;0.59;0.621],0.60575,1,32
4,79,206.6291449995041,[0.513;0.693;0.573;0.603],0.5954999999999999,1,32
4,87,183.42961100006104,[0.517;0.699;0.669;0.76],0.66125,1,32
4,85,110.64235499954223,[0.498;0.716;0.654;0.778],0.6615,1,32
4,88,177.6358949995041,[0.46;0.675;0.767;0.798],0.675,1,32
