NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA
4,0,418.01863400268553,[0;0;0;0],0,1,32
4,0,18.05542900085449,[0;0;0;0],0,1,32
4,2,26.744517990112303,[0;0.031;0.031;0],0.0155,1,32
4,2,31.416981002807617,[0;0.031;0.031;0],0.0155,1,32
4,4,29.284893005371092,[0;0.062;0.031;0.031],0.031,1,32
4,4,24.247835998535155,[0;0.062;0.031;0.031],0.031,1,32
4,5,34.619656997680664,[0;0.062;0.031;0.062],0.03875,1,32
4,5,41.538052001953126,[0;0.062;0.031;0.062],0.03875,1,32
4,9,31.796881011962892,[0;0.155;0.062;0.062],0.06975,1,32
4,9,124.46068499755859,[0;0.155;0.062;0.062],0.06975,1,32
4,12,65.56385900878907,[0.062;0.154;0.062;0.093],0.09275,1,32
4,12,39.774287002563476,[0.062;0.155;0.062;0.093],0.093,1,32
4,17,39.6824880065918,[0.062;0.217;0.062;0.186],0.13175,1,32
4,17,49.77255500793457,[0.062;0.217;0.062;0.186],0.13175,1,32
4,21,46.08782099914551,[0.124;0.217;0.062;0.248],0.16275,1,32
4,21,82.04924600219726,[0.124;0.217;0.062;0.249],0.16299999999999998,1,32
4,24,48.57877299499512,[0.217;0.217;0.062;0.248],0.186,1,32
4,24,53.43457000732422,[0.217;0.217;0.062;0.248],0.186,1,32
4,32,45.25028201293945,[0.341;0.248;0.155;0.248],0.248,1,32
4,32,43.38767500305176,[0.341;0.248;0.155;0.248],0.248,1,32
4,36,107.99174499511719,[0.371;0.278;0.216;0.247],0.278,1,32
4,36,246.41449900817872,[0.373;0.28;0.218;0.249],0.28,1,32
4,38,43.34616499328613,[0.404;0.28;0.249;0.249],0.2955,1,32
4,38,68.26100799560547,[0.404;0.28;0.249;0.249],0.2955,1,32
4,39,54.510509002685545,[0.434;0.279;0.248;0.248],0.30225,1,32
4,39,40.89249600219726,[0.435;0.28;0.248;0.248],0.30275,1,32
4,44,68.50752600097657,[0.496;0.31;0.31;0.248],0.341,1,32
4,44,102.32761499023438,[0.495;0.309;0.309;0.247],0.33999999999999997,1,32
4,50,70.63530099487305,[0.621;0.342;0.342;0.249],0.38850000000000007,1,32
4,50,43.68880999755859,[0.622;0.342;0.342;0.249],0.38875000000000004,1,32
4,56,71.94550399780273,[0.653;0.466;0.342;0.28],0.43525,1,32
4,56,85.50378800964356,[0.652;0.466;0.342;0.279],0.4347500000000001,1,32
4,59,70.00650399780274,[0.682;0.465;0.341;0.341],0.45725,1,32
4,59,77.89034300231934,[0.681;0.464;0.34;0.34],0.45625000000000004,1,32
4,61,80.02533000183105,[0.715;0.498;0.311;0.373],0.47425,1,32
4,60,67.59228100585938,[0.715;0.466;0.311;0.373],0.46625,1,32
4,65,72.6339640045166,[0.775;0.527;0.341;0.372],0.50375,1,32
4,65,315.78825,[0.778;0.529;0.342;0.373],0.5055000000000001,1,32
4,66,104.80368200683594,[0.802;0.555;0.339;0.339],0.50875,1,32
4,64,69.75601300048828,[0.808;0.528;0.311;0.342],0.49725,1,32
4,65,75.66299900817872,[0.869;0.465;0.31;0.372],0.504,1,32
4,63,112.10685499572755,[0.804;0.464;0.309;0.371],0.487,1,32
4,72,107.22154000854492,[0.835;0.619;0.371;0.402],0.55675,1,32
4,71,77.39354000854492,[0.834;0.587;0.37;0.401],0.548,1,32
4,77,79.19055700683593,[0.961;0.62;0.465;0.341],0.59675,1,32
4,76,84.49393998718261,[0.928;0.619;0.464;0.34],0.58775,1,32
4,78,104.90981100463867,[0.987;0.617;0.524;0.278],0.6015,1,32
4,76,346.90628199768065,[0.933;0.622;0.529;0.28],0.591,1,32
4,77,89.89518699645996,[0.93;0.651;0.527;0.279],0.59675,1,32
4,74,90.18005999755859,[0.866;0.619;0.526;0.278],0.57225,1,32
4,71,78.89499301147461,[0.806;0.62;0.465;0.31],0.55025,1,32
4,71,59.27172300720215,[0.807;0.621;0.466;0.311],0.55125,1,32
4,71,79.15241700744629,[0.808;0.684;0.404;0.311],0.55175,1,32
4,70,91.93246701049804,[0.807;0.683;0.372;0.31],0.543,1,32
4,74,85.74809799194335,[0.806;0.713;0.465;0.31],0.5735,1,32
4,73,79.14424699401856,[0.773;0.712;0.464;0.309],0.5645,1,32
4,80,68.65068998718262,[0.806;0.775;0.527;0.372],0.62,1,32
4,77,131.62748500061036,[0.777;0.745;0.497;0.373],0.5980000000000001,1,32
4,81,155.18480500793456,[0.741;0.772;0.556;0.432],0.62525,1,32
4,77,187.92251400756837,[0.679;0.74;0.524;0.432],0.59375,1,32
4,79,120.2942740020752,[0.616;0.801;0.554;0.462],0.6082500000000001,1,32
4,77,285.3263260040283,[0.59;0.777;0.559;0.466],0.5980000000000001,1,32
4,80,89.86566400146485,[0.679;0.741;0.618;0.432],0.6174999999999999,1,32
4,79,338.8474949951172,[0.652;0.745;0.621;0.435],0.61325,1,32
4,81,138.38347399902344,[0.71;0.772;0.648;0.37],0.625,1,32
4,80,295.32005099487304,[0.684;0.777;0.653;0.373],0.62175,1,32
4,85,126.10422099304199,[0.743;0.805;0.681;0.403],0.658,1,32
4,82,310.0450420074463,[0.742;0.773;0.65;0.371],0.634,1,32
4,87,103.28376599121094,[0.739;0.8;0.708;0.431],0.6695,1,32
4,87,94.24684300231934,[0.746;0.809;0.715;0.435],0.67625,1,32
4,90,90.71506600952148,[0.775;0.806;0.713;0.496],0.6975,1,32
4,89,94.08646299743653,[0.743;0.805;0.712;0.496],0.689,1,32
4,94,119.42173100280762,[0.775;0.868;0.806;0.465],0.7284999999999999,1,32
4,90,116.05764999389649,[0.773;0.804;0.742;0.464],0.69575,1,32
4,92,101.37483000183106,[0.744;0.744;0.806;0.558],0.7130000000000001,1,32
4,86,125.46491000366211,[0.709;0.679;0.74;0.524],0.663,1,32
4,83,114.10916299438476,[0.618;0.68;0.711;0.556],0.64125,1,32
4,81,211.4877559967041,[0.586;0.679;0.679;0.555],0.62475,1,32
4,81,100.65659800720215,[0.554;0.677;0.708;0.554],0.6232500000000001,1,32
4,79,339.12503298950196,[0.528;0.652;0.715;0.559],0.6135,1,32
4,84,120.3118090057373,[0.555;0.74;0.74;0.555],0.6475000000000001,1,32
4,84,372.6818630065918,[0.56;0.746;0.746;0.56],0.653,1,32
4,85,120.4935410003662,[0.557;0.742;0.742;0.588],0.65725,1,32
4,83,248.05561000061036,[0.529;0.715;0.747;0.591],0.6455,1,32
4,84,134.69905499267577,[0.527;0.713;0.744;0.62],0.651,1,32
4,81,117.51266900634765,[0.527;0.682;0.682;0.62],0.62775,1,32
4,89,108.99893901062012,[0.558;0.775;0.744;0.682],0.68975,1,32
4,83,129.76270700073243,[0.526;0.712;0.681;0.65],0.64225,1,32
4,89,123.01781098937988,[0.556;0.772;0.741;0.679],0.687,1,32
4,87,335.0973619995117,[0.56;0.778;0.684;0.684],0.6765000000000001,1,32
4,86,124.37790599060058,[0.558;0.775;0.682;0.651],0.6665000000000001,1,32
4,84,154.0095780029297,[0.557;0.711;0.68;0.649],0.64925,1,32
4,83,140.97976100158692,[0.588;0.712;0.65;0.619],0.64225,1,32
4,79,116.7360659942627,[0.524;0.709;0.586;0.617],0.609,1,32
4,88,118.95401499938964,[0.558;0.713;0.682;0.775],0.6819999999999999,1,32
4,87,130.08142700195313,[0.527;0.713;0.682;0.775],0.67425,1,32
4,90,204.26222299194336,[0.494;0.68;0.772;0.834],0.695,1,32
4,88,117.96224899291992,[0.465;0.682;0.775;0.806],0.682,1,32
4,87,137.63391499328614,[0.465;0.651;0.775;0.806],0.67425,1,32
4,83,142.345796005249,[0.433;0.619;0.743;0.774],0.64225,1,32
4,81,119.80872599792481,[0.403;0.589;0.744;0.775],0.62775,1,32
4,80,124.4766309967041,[0.403;0.558;0.744;0.775],0.62,1,32
4,77,144.53235499572753,[0.372;0.558;0.744;0.713],0.59675,1,32
4,73,134.1886600036621,[0.372;0.496;0.681;0.712],0.56525,1,32
4,75,110.4789649963379,[0.372;0.527;0.651;0.775],0.58125,1,32
4,70,153.8317030029297,[0.371;0.526;0.619;0.65],0.5415,1,32
4,73,130.38033499145507,[0.372;0.496;0.682;0.712],0.5655,1,32
4,72,127.78586399841309,[0.371;0.495;0.681;0.681],0.557,1,32
4,77,207.31945098876952,[0.402;0.494;0.742;0.742],0.595,1,32
4,75,152.02517500305177,[0.372;0.496;0.713;0.744],0.58125,1,32
4,77,139.06265100097656,[0.465;0.496;0.682;0.744],0.5967500000000001,1,32
4,76,159.5480700073242,[0.464;0.464;0.681;0.743],0.588,1,32
4,78,130.01615299987793,[0.465;0.465;0.651;0.837],0.6045,1,32
4,76,161.40664999389648,[0.464;0.464;0.619;0.805],0.5880000000000001,1,32
4,75,125.11890998840332,[0.465;0.465;0.62;0.775],0.58125,1,32
4,74,123.18866299438477,[0.465;0.434;0.619;0.774],0.573,1,32
4,78,179.40261099243165,[0.554;0.462;0.647;0.739],0.6005,1,32
4,75,404.2378079986572,[0.559;0.404;0.652;0.714],0.58225,1,32
4,72,159.49219500732423,[0.523;0.4;0.616;0.677],0.554,1,32
4,68,358.3083760070801,[0.496;0.403;0.558;0.652],0.52725,1,32
4,72,134.84331700134277,[0.617;0.37;0.586;0.647],0.5549999999999999,1,32
4,71,366.7707440032959,[0.622;0.342;0.591;0.653],0.552,1,32
4,72,189.41569200134276,[0.645;0.369;0.553;0.645],0.553,1,32
4,71,360.977658996582,[0.621;0.373;0.559;0.652],0.55125,1,32
4,75,164.37637699890138,[0.677;0.369;0.585;0.677],0.577,1,32
4,68,252.55537199401854,[0.65;0.341;0.557;0.557],0.52625,1,32
4,66,245.4218030090332,[0.618;0.309;0.526;0.587],0.51,1,32
4,64,408.4765700073242,[0.622;0.311;0.498;0.56],0.49775,1,32
4,62,160.6886829986572,[0.65;0.31;0.402;0.557],0.47975,1,32
4,59,144.67846099853514,[0.617;0.278;0.401;0.524],0.455,1,32
4,62,156.3370480041504,[0.646;0.308;0.369;0.584],0.47675,1,32
4,62,358.0804759979248,[0.653;0.311;0.373;0.591],0.482,1,32
4,67,162.30140100097657,[0.741;0.37;0.37;0.586],0.5167499999999999,1,32
4,66,406.1089570007324,[0.715;0.373;0.373;0.59],0.51275,1,32
4,69,187.7148209991455,[0.737;0.399;0.399;0.584],0.52975,1,32
4,66,394.28692700195313,[0.683;0.403;0.403;0.559],0.512,1,32
4,74,170.39853700256347,[0.771;0.463;0.463;0.586],0.57075,1,32
4,71,395.117404006958,[0.775;0.465;0.403;0.558],0.55025,1,32
4,74,466.33005500793456,[0.832;0.524;0.401;0.524],0.5702499999999999,1,32
4,71,142.29321099853516,[0.84;0.529;0.373;0.467],0.55225,1,32
4,70,194.52558099365234,[0.837;0.527;0.341;0.465],0.5425,1,32
4,68,234.78163400268554,[0.774;0.527;0.341;0.465],0.52675,1,32
4,69,155.94766400146483,[0.775;0.558;0.341;0.465],0.5347500000000001,1,32
4,66,240.29858500671386,[0.741;0.525;0.34;0.432],0.5095000000000001,1,32
4,66,195.25589900207518,[0.736;0.552;0.337;0.399],0.506,1,32
