NUMBER_SENSORS,FREQUENCY,TIME_DATA,MIN_TIME,MAX_TIME,AVG_TIME,STD_TIME,SUCCESFUL_CALCULATIONS
4,1,32,23.00919200134277,148.9953740005493,33.60664181177475,16.10743925650807,85
4,2,32,20.746040000915528,42.49636199951172,27.56633700022977,4.005107080921996,85
4,4,32,20.903252998352052,619.0063099975586,33.27843501138127,64.03646351263194,85
4,8,32,22.025653999328613283,43.96823699951172,25.904780788825533,5.663101411148402,64
4,16,32,21.218301002502441405,37.607470001220705,24.40878812893138,4.266980587001106,32
4,32,32,20.815617996215820313,34.681605995178224,24.763533105917536,3.994958245140763,16
4,64,32,22.212044998168945312,27.13678500366211,25.1585880592794986,5.646579237204674,8
4,1,32,22.74161000061035,43.533106002807614,31.19011135271857,4.744921298576682,85
4,2,32,22.091644996643065,37.80173300170898,26.78210175323486,3.248870341246821,85
4,4,32,21.229545997619628,36.14556300354004,25.834811482418274,3.342888720400547,85
4,8,32,18.16997499847412,32.906934997558594,24.30376082825661,2.7080473837021986,64
4,16,32,20.569365997314453,35.46037800598145,24.40431584358215,3.365526029734682,32
4,32,32,21.36555199432373,32.69518000030518,25.775307187080383,3.218826646700188,16
4,64,32,20.66432099914551,25.21918500518799,22.395517624855042,1.3789534559597885,8
4,1,32,22.00406100463867,48.491128005981444,32.01919644613828,5.784815874347892,85
4,2,32,20.910046997070314,40.861016006469725,27.95726861177333,3.9892795179210827,85
4,4,32,19.911228012084962,58.74609899902344,26.874917222146422,5.1238430460705,85
4,8,32,20.921010009765624,36.762962005615236,25.17915423874628,3.373312202095076,63
4,16,32,18.384197998046876,33.80360598754883,25.179584545996878,3.3837552375208237,31
4,32,32,21.7187440032959,27.20012399291992,23.687757436752317,1.6390668728678122,16
4,64,32,20.5536190032959,24.325194000244142,22.66059750175476,1.0077579515582464,8
