NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+REAL_CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE+MINIMUM_TIME+MAXIMUM_TIME
4+0+24,453363983154297+[0;0;0;0]+0+1,477769444444445+0,12519109120370375+8+600+1+20+1605063089696+1605062489696+50+100
4+35+24,55031298828125+[0,01;0,02;0,015;0,013]+0,014499999999999999+1,5546411111111116+0,1396067240740741+8+600+1+40+1605063097696+1605062497696+50+100
4+73+26,735877014160156+[0,027;0,043;0,03;0,022]+0,0305+1,5700005555555556+0,1714719231481482+8+600+1+80+1605063105696+1605062505696+50+100
4+110+19,783246978759767+[0,043;0,06;0,048;0,032]+0,04575+1,4906447222222228+0,18633829953703712+8+600+1+100+1605063113696+1605062513696+50+100
4+144+26,346587005615234+[0,058;0,07;0,065;0,047]+0,06+1,5413761111111108+0,20172319398148147+8+600+1+120+1605063121696+1605062521696+50+100
4+196+21,855539001464845+[0,078;0,088;0,092;0,068]+0,0815+1,406926111111111+0,2309468222222219+8+600+1+160+1605063129696+1605062529696+50+100
4+229+23,661602996826172+[0,092;0,102;0,095;0,093]+0,0955+1,5209588888888879+0,24566748333333333+8+600+1+180+1605063137696+1605062537696+50+100
4+278+21,422462005615234+[0,11;0,123;0,113;0,117]+0,11574999999999999+1,5475902777777777+0,2615545949074072+8+600+1+200+1605063145696+1605062545696+50+100
4+313+22,875376007080078+[0,127;0,142;0,133;0,12]+0,1305+1,6535597222222218+0,2931981773148149+8+600+1+240+1605063153696+1605062553696+50+100
4+350+25,86765902709961+[0,14;0,158;0,153;0,132]+0,14575000000000002+1,6321813888888885+0,3096577865740741+8+600+1+260+1605063161696+1605062561696+50+100
4+391+27,759856018066408+[0,158;0,18;0,172;0,142]+0,163+1,6335033333333335+0,32589502962962963+8+600+1+280+1605063169696+1605062569696+50+100
4+435+29,685558990478516+[0,17;0,197;0,192;0,167]+0,1815+1,6567872222222215+0,35856673796296296+8+600+1+320+1605063177696+1605062577696+50+100
4+486+26,873111022949217+[0,202;0,212;0,213;0,183]+0,2025+1,5986972222222215+0,3745598865740739+8+600+1+340+1605063185696+1605062585696+50+100
4+522+26,86142999267578+[0,213;0,223;0,235;0,198]+0,21725+1,6029922222222217+0,39053149027777784+8+600+1+360+1605063193696+1605062593696+50+100
4+576+34,33039801025391+[0,235;0,248;0,248;0,228]+0,23975+1,5593055555555542+0,4211961037037038+8+600+1+400+1605063201696+1605062601696+50+100
4+621+27,34399398803711+[0,245;0,28;0,257;0,253]+0,25875000000000004+1,621987222222223+0,4367087962962966+8+600+1+420+1605063209696+1605062609696+50+100
4+661+27,60257501220703+[0,267;0,29;0,275;0,27]+0,27549999999999997+1,5809377777777778+0,4528970726851854+8+600+1+440+1605063217696+1605062617696+50+100
4+709+31,448712982177735+[0,287;0,307;0,308;0,28]+0,2955+1,5719527777777775+0,48453966111111113+8+600+1+480+1605063225696+1605062625696+50+100
4+747+29,55948501586914+[0,305;0,323;0,323;0,293]+0,311+1,5145822222222227+0,4997028472222221+8+600+1+500+1605063233696+1605062633696+50+100
4+785+27,529427001953124+[0,318;0,335;0,343;0,312]+0,327+1,4553286111111117+0,5149794375000003+8+600+1+520+1605063241696+1605062641696+50+100
4+829+37,69735702514649+[0,335;0,362;0,355;0,33]+0,34550000000000003+1,4804355555555555+0,5439843578703704+8+600+1+560+1605063249696+1605062649696+50+100
4+874+31,01258901977539+[0,358;0,375;0,365;0,358]+0,364+1,5022819444444442+0,5585786245370367+8+600+1+580+1605063257696+1605062657696+50+100
4+910+32,047875+[0,378;0,382;0,387;0,37]+0,37925+1,5328533333333332+0,5739148935185182+8+600+1+600+1605063265696+1605062665696+50+100
4+955+27,534625+[0,402;0,398;0,405;0,387]+0,398+1,5044000000000002+0,6042287504629632+8+600+1+640+1605063273696+1605062673696+50+100
4+985+35,90737899780274+[0,41;0,413;0,422;0,397]+0,4105+1,5784833333333328+0,6198825893518524+8+600+1+660+1605063281696+1605062681696+50+100
4+1030+34,108803985595706+[0,432;0,433;0,433;0,418]+0,429+1,5726044444444438+0,6352621740740743+8+600+1+680+1605063289696+1605062689696+50+100
4+1060+33,153752014160155+[0,445;0,445;0,45;0,427]+0,44175000000000003+1,6586374999999989+0,6679164291666667+8+600+1+720+1605063297696+1605062697696+50+100
4+1107+31,25355099487305+[0,462;0,463;0,478;0,442]+0,46125+1,603825555555555+0,6835546675925931+8+600+1+740+1605063305696+1605062705696+50+100
4+1145+42,020970001220704+[0,482;0,478;0,493;0,455]+0,477+1,593855555555555+0,6993571476851852+8+600+1+760+1605063313696+1605062713696+50+100
4+1190+32,76775598144531+[0,498;0,493;0,512;0,48]+0,49575+1,5682313888888884+0,7311323935185183+8+600+1+800+1605063321696+1605062721696+50+100
4+1226+37,999716003417966+[0,518;0,5;0,527;0,498]+0,51075+1,5920519444444443+0,7467442129629632+8+600+1+820+1605063329696+1605062729696+50+100
4+1267+34,689526000976564+[0,527;0,515;0,553;0,517]+0,528+1,5870697222222223+0,7626768189814818+8+600+1+840+1605063337696+1605062737696+50+100
4+1305+36,84555700683594+[0,545;0,535;0,563;0,532]+0,54375+1,5650941666666671+0,7945620787037039+8+600+1+880+1605063345696+1605062745696+50+100
4+1350+33,76643399047852+[0,572;0,555;0,575;0,548]+0,5625+1,6236038888888895+0,8100194856481489+8+600+1+900+1605063353696+1605062753696+50+100
4+1393+38,068240997314454+[0,587;0,567;0,59;0,578]+0,5804999999999999+1,6342777777777784+0,8257914634259259+8+600+1+920+1605063361696+1605062761696+50+100
4+1436+43,761065002441406+[0,605;0,582;0,618;0,588]+0,59825+1,6474447222222222+0,8584763138888889+8+600+1+960+1605063369696+1605062769696+50+100
4+1473+35,88238101196289+[0,625;0,6;0,628;0,602]+0,61375+1,6187747222222224+0,8749099875+8+600+1+980+1605063377696+1605062777696+50+100
4+1520+39,98939099121094+[0,64;0,623;0,653;0,617]+0,63325+1,574034722222222+0,8902758444444443+8+600+1+1000+1605063385696+1605062785696+50+100
4+1558+51,9420830078125+[0,653;0,642;0,663;0,638]+0,649+1,6505666666666665+0,922429493981482+8+600+1+1040+1605063393696+1605062793696+50+100
4+1606+39,76989498901367+[0,673;0,658;0,685;0,66]+0,669+1,627644444444443+0,9389652513888882+8+600+1+1060+1605063401696+1605062801696+50+100
4+1649+45,15701501464844+[0,683;0,673;0,715;0,677]+0,687+1,5564844444444441+0,9547560717592586+8+600+1+1080+1605063409696+1605062809696+50+100
4+1694+38,37372900390625+[0,697;0,7;0,733;0,693]+0,70575+1,4528975+0,9845720319444442+8+600+1+1120+1605063417696+1605062817696+50+100
4+1735+40,254757995605466+[0,722;0,71;0,742;0,718]+0,723+1,4779833333333334+0,9993667166666671+8+600+1+1140+1605063425696+1605062825696+50+100
4+1790+38,72423599243164+[0,74;0,735;0,765;0,743]+0,74575+1,4797274999999988+1,0141392962962972+8+600+1+1160+1605063433696+1605062833696+50+100
4+1816+40,48185400390625+[0,752;0,743;0,778;0,753]+0,7565000000000001+1,532359444444444+1,044187181944445+8+600+1+1200+1605063441696+1605062841696+50+100
4+1856+46,691990997314456+[0,772;0,762;0,797;0,763]+0,7735+1,5431180555555566+1,0596539499999995+8+600+1+1220+1605063449696+1605062849696+50+100
4+1891+40,1593450012207+[0,783;0,773;0,815;0,78]+0,78775+1,5589255555555555+1,074961160648148+8+600+1+1240+1605063457696+1605062857696+50+100
4+1931+52,53670599365234+[0,807;0,787;0,83;0,795]+0,80475+1,617896666666666+1,106404668055555+8+600+1+1280+1605063465696+1605062865696+50+100
4+1963+40,78485000610352+[0,822;0,8;0,84;0,81]+0,818+1,6509847222222218+1,122932951388889+8+600+1+1300+1605063473696+1605062873696+50+100
4+2021+44,79481201171875+[0,843;0,83;0,867;0,828]+0,842+1,705685833333334+1,1393819745370382+8+600+1+1320+1605063481696+1605062881696+50+100
4+2051+41,16298501586914+[0,857;0,842;0,877;0,843]+0,8547499999999999+1,6313875000000004+1,1728739796296297+8+600+1+1360+1605063489696+1605062889696+50+100
4+2107+41,69899801635742+[0,877;0,868;0,902;0,865]+0,8780000000000001+1,6000133333333328+1,1887162351851848+8+600+1+1380+1605063497696+1605062897696+50+100
4+2146+41,80000497436524+[0,887;0,888;0,922;0,88]+0,89425+1,593839166666667+1,2048162495370365+8+600+1+1400+1605063505696+1605062905696+50+100
4+2187+53,208889984130856+[0,903;0,902;0,945;0,895]+0,91125+1,577558333333333+1,236397407407408+8+600+1+1440+1605063513696+1605062913696+50+100
4+2238+48,66388900756836+[0,927;0,927;0,965;0,912]+0,93275+1,5327044444444449+1,2519583759259252+8+600+1+1460+1605063521696+1605062921696+50+100
4+2278+49,017630981445315+[0,94;0,938;0,983;0,935]+0,949+1,541871111111112+1,2667289356481466+8+600+1+1480+1605063529696+1605062929696+50+100
4+2320+47,9976780090332+[0,952;0,955;1;0,96]+0,96675+1,559878055555556+1,2974690509259261+8+600+1+1520+1605063537696+1605062937696+50+100
4+2366+49,34707498168945+[0,975;0,978;1,015;0,975]+0,98575+1,5874147222222232+1,3133847587962952+8+600+1+1540+1605063545696+1605062945696+50+100
4+2414+48,06740802001953+[0,993;0,998;1,037;0,995]+1,00575+1,560984722222222+1,3293733523148148+8+600+1+1560+1605063553696+1605062953696+50+100
4+2442+50,2664889831543+[1,007;1,008;1,048;1,007]+1,0174999999999998+1,6052733333333327+1,360952889351852+8+600+1+1600+1605063561696+1605062961696+50+100
4+2496+49,54651901245117+[1,033;1,035;1,07;1,022]+1,04+1,5884036111111106+1,3771292597222222+8+600+1+1620+1605063569696+1605062969696+50+100
4+2534+60,11527001953125+[1,047;1,053;1,09;1,033]+1,0557499999999997+1,5907244444444448+1,392680102777778+8+600+1+1640+1605063577696+1605062977696+50+100
4+2571+49,38241201782227+[1,058;1,07;1,11;1,047]+1,07125+1,578962777777778+1,424038125462964+8+600+1+1680+1605063585696+1605062985696+50+100
4+2620+51,22769400024414+[1,078;1,092;1,128;1,068]+1,0915+1,5396455555555553+1,4400075625000002+8+600+1+1700+1605063593696+1605062993696+50+100
4+2665+48,47643701171875+[1,1;1,103;1,152;1,087]+1,1105+1,4758022222222218+1,4549115185185186+8+600+1+1720+1605063601696+1605063001696+50+100
4+2705+50,99385501098633+[1,115;1,122;1,163;1,108]+1,1270000000000002+1,8755002777777765+1,4865519115740728+8+600+1+1760+1605063609696+1605063009696+50+100
4+2751+51,87141400146484+[1,13;1,143;1,177;1,135]+1,14625+2,1181872222222213+1,5059012745370377+8+600+1+1780+1605063617696+1605063017696+50+100
4+2786+62,81472900390625+[1,145;1,16;1,198;1,14]+1,16075+2,3907905555555566+1,5269303009259263+8+600+1+1800+1605063625696+1605063025696+50+100
4+2823+60,69545401000977+[1,16;1,165;1,218;1,162]+1,17625+2,9212986111111103+1,5777512162037028+8+600+1+1840+1605063633696+1605063033696+50+100
4+2872+51,09644500732422+[1,192;1,183;1,235;1,177]+1,1967500000000002+3,2042583333333323+1,6053052712962967+8+600+1+1860+1605063641696+1605063041696+50+100
4+2938+54,66862399291992+[1,252;1,202;1,25;1,193]+1,22425+3,447184166666666+1,6363705226851857+8+600+1+1880+1605063649696+1605063049696+50+100
4+3004+57,88660498046875+[1,297;1,237;1,265;1,208]+1,25175+4,016399444444442+1,7044721962962963+8+600+1+1920+1605063657696+1605063057696+50+100
4+3082+60,6562080078125+[1,345;1,283;1,283;1,225]+1,284+4,230622222222219+1,7402090749999999+8+600+1+1940+1605063665696+1605063065696+50+100
4+3179+49,50403598022461+[1,402;1,328;1,327;1,242]+1,32475+4,2996630555555555+1,7771421810185204+8+600+1+1960+1605063673696+1605063073696+50+100
4+3262+54,015134979248046+[1,447;1,37;1,362;1,258]+1,35925+4,475521111111111+1,853831743981482+8+600+1+2000+1605063681696+1605063081696+50+100
4+3392+53,66959799194336+[1,512;1,422;1,418;1,302]+1,4135+4,572037499999999+1,89319724861111+8+600+1+2020+1605063689696+1605063089696+50+100
4+3471+62,37739001464844+[1,557;1,45;1,445;1,333]+1,44625+4,649835555555556+1,9329129009259256+8+600+1+2028+1605063697696+1605063097696+50+100
4+3532+53,809105987548826+[1,575;1,482;1,472;1,358]+1,4717500000000001+4,676418055555558+2,0118482819444443+8+600+1+2028+1605063705696+1605063105696+50+100
4+3627+52,11756500244141+[1,622;1,535;1,493;1,395]+1,51125+4,7078377777777805+2,0515387217592593+8+600+1+2028+1605063713696+1605063113696+50+100
4+3719+54,598078979492186+[1,662;1,573;1,537;1,427]+1,54975+4,714756111111111+2,0940303060185173+8+600+1+2028+1605063721696+1605063121696+50+100
4+3778+60,555530975341796+[1,685;1,605;1,557;1,45]+1,57425+4,66989+2,1692687953703693+8+600+1+2028+1605063729696+1605063129696+50+100
4+3872+56,55418899536133+[1,725;1,645;1,612;1,472]+1,6135000000000002+4,643170555555554+2,2064562685185196+8+600+1+2028+1605063737696+1605063137696+50+100
4+3956+54,23799002075195+[1,767;1,675;1,648;1,503]+1,64825+4,622286666666668+2,23936172175926+8+600+1+2028+1605063745696+1605063145696+50+100
4+4016+56,472393005371096+[1,802;1,685;1,658;1,548]+1,67325+4,692667222222224+2,3106071874999983+8+600+1+2028+1605063753696+1605063153696+50+100
4+4123+55,97235501098633+[1,84;1,738;1,69;1,603]+1,71775+4,690635555555553+2,3445277606481483+8+600+1+2028+1605063761696+1605063161696+50+100
4+4202+63,25726702880859+[1,877;1,767;1,717;1,643]+1,7510000000000001+4,747860277777774+2,3812543773148147+8+600+1+2028+1605063769696+1605063169696+50+100
4+4258+54,21732800292969+[1,903;1,81;1,725;1,658]+1,774+4,81373833333333+2,4493880509259247+8+600+1+2028+1605063777696+1605063177696+50+100
4+4352+55,19980902099609+[1,928;1,86;1,775;1,69]+1,81325+4,724644166666668+2,4840644199074076+8+600+1+2028+1605063785696+1605063185696+50+100
4+4438+55,77201602172852+[1,97;1,893;1,802;1,732]+1,84925+4,813630000000002+2,519297116666666+8+600+1+2028+1605063793696+1605063193696+50+100
4+4486+54,07034802246094+[1,982;1,905;1,835;1,755]+1,8692499999999999+4,769792499999998+2,590151944444444+8+600+1+2028+1605063801696+1605063201696+50+100
4+4578+56,12767999267578+[2,03;1,932;1,887;1,782]+1,90775+4,76044027777778+2,6223381787037034+8+600+1+2028+1605063809696+1605063209696+50+100
4+4666+56,28909197998047+[2,057;1,983;1,923;1,813]+1,944+4,676535277777778+2,6564089324074076+8+600+1+2028+1605063817696+1605063217696+50+100
4+4726+59,9118330078125+[2,073;2,02;1,923;1,86]+1,969+4,737454166666665+2,7210443226851853+8+600+1+2028+1605063825696+1605063225696+50+100
4+4842+59,32868701171875+[2,12;2,062;1,975;1,913]+2,0175+4,72343666666667+2,754402600925926+8+600+1+2028+1605063833696+1605063233696+50+100
4+4940+60,29969802856445+[2,168;2,102;2,022;1,942]+2,0585+4,7605075+2,7849332375+8+600+1+2028+1605063841696+1605063241696+50+100
4+4987+57,037574005126956+[2,187;2,115;2,052;1,958]+2,078+4,638366666666671+2,8493130962962963+8+600+1+2028+1605063849696+1605063249696+50+100
4+5084+56,06086999511719+[2,225;2,16;2,093;1,995]+2,1182499999999997+4,657482777777784+2,8825457916666664+8+600+1+2028+1605063857696+1605063257696+50+100
4+5185+54,907123016357424+[2,27;2,188;2,137;2,047]+2,1605000000000003+4,600834166666667+2,915165762962962+8+600+1+2028+1605063865696+1605063265696+50+100
4+5229+67,38483700561524+[2,285;2,213;2,157;2,06]+2,17875+4,694995833333333+2,9769968847222223+8+600+1+2028+1605063873696+1605063273696+50+100
4+5337+52,526809997558594+[2,323;2,275;2,185;2,112]+2,22375+4,902919999999999+3,0083439268518517+8+600+1+2028+1605063881696+1605063281696+50+100
4+5413+54,60897900390625+[2,357;2,303;2,225;2,137]+2,2555+4,869765833333334+3,039786266203704+8+600+1+2028+1605063889696+1605063289696+50+100
4+5485+58,85252600097656+[2,393;2,322;2,277;2,15]+2,2855+4,644273055555552+3,1025561125000003+8+600+1+2028+1605063897696+1605063297696+50+100
4+5574+56,25695297241211+[2,428;2,363;2,303;2,195]+2,32225+4,623885833333334+3,1347608472222226+8+600+1+2028+1605063905696+1605063305696+50+100
