NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+0+19,422567993164062+[0;0;0;0]+0+1,474028611111112+8+600+1+20+1604865220939+1604864620939
4+35+24,311447998046877+[0,01;0,02;0,015;0,013]+0,014499999999999999+1,5427622222222224+8+600+1+40+1604865228939+1604864628939
4+73+21,027212997436525+[0,027;0,043;0,03;0,022]+0,0305+1,5646127777777783+8+600+1+80+1604865236939+1604864636939
4+110+24,934253997802735+[0,043;0,06;0,048;0,032]+0,04575+1,4897233333333328+8+600+1+100+1604865244939+1604864644939
4+143+23,23914698791504+[0,058;0,068;0,065;0,047]+0,0595+1,5396886111111117+8+600+1+120+1604865252939+1604864652939
4+195+21,317531005859376+[0,078;0,087;0,092;0,068]+0,08125+1,4046750000000001+8+600+1+160+1604865260939+1604864660939
4+228+20,94382699584961+[0,092;0,1;0,095;0,093]+0,095+1,5175499999999995+8+600+1+180+1604865268939+1604864668939
4+277+24,558281997680663+[0,11;0,122;0,113;0,117]+0,11549999999999999+1,5447475000000002+8+600+1+200+1604865276939+1604864676939
4+312+32,44700799560547+[0,127;0,14;0,133;0,12]+0,13+1,6504636111111104+8+600+1+240+1604865284939+1604864684939
4+349+25,413605010986327+[0,14;0,157;0,153;0,132]+0,14550000000000002+1,6272472222222227+8+600+1+260+1604865292939+1604864692939
4+392+27,15424499511719+[0,158;0,182;0,172;0,142]+0,1635+1,6295833333333343+8+600+1+280+1604865300939+1604864700939
4+436+32,093393997192386+[0,17;0,198;0,192;0,167]+0,18175000000000002+1,6547288888888885+8+600+1+320+1604865308939+1604864708939
4+488+23,51686000061035+[0,203;0,213;0,213;0,183]+0,203+1,6019530555555557+8+600+1+340+1604865316939+1604864716939
4+524+25,182650009155275+[0,215;0,225;0,235;0,198]+0,21825+1,5997538888888885+8+600+1+360+1604865324939+1604864724939
4+578+23,83845899963379+[0,237;0,25;0,248;0,228]+0,24075+1,5585222222222213+8+600+1+400+1604865332939+1604864732939
4+623+26,99217199707031+[0,247;0,282;0,257;0,253]+0,25975+1,6212294444444442+8+600+1+420+1604865340939+1604864740939
4+663+25,959031005859377+[0,268;0,292;0,275;0,27]+0,27625+1,579079999999999+8+600+1+440+1604865348939+1604864748939
4+711+26,07163999938965+[0,288;0,308;0,308;0,28]+0,296+1,5724927777777775+8+600+1+480+1604865356939+1604864756939
4+749+30,651985000610352+[0,307;0,325;0,323;0,293]+0,312+1,516583333333333+8+600+1+500+1604865364939+1604864764939
4+786+36,7626549987793+[0,32;0,335;0,343;0,312]+0,3275+1,4517861111111112+8+600+1+520+1604865372939+1604864772939
4+830+34,2481969909668+[0,337;0,362;0,355;0,33]+0,34600000000000003+1,4783199999999999+8+600+1+560+1604865380939+1604864780939
4+875+27,625647994995116+[0,36;0,375;0,365;0,358]+0,36450000000000005+1,5005305555555555+8+600+1+580+1604865388939+1604864788939
4+911+29,389397994995118+[0,38;0,382;0,387;0,37]+0,37975000000000003+1,5596199999999996+8+600+1+600+1604865396939+1604864796939
