NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+21,032827001571654+[0;0;0;0]+0+8+1800+1+20
4+10+31,283259000778198+[0,001;0,004;0,001;0]+0,0015+8+1800+1+40
4+24+22,577122999191285+[0,004;0,006;0,004;0]+0,0035+8+1800+1+80
4+37+19,890170000076292+[0,006;0,006;0,006;0,002]+0,005000000000000001+8+1800+1+100
4+52+23,335870998382568+[0,007;0,008;0,008;0,006]+0,0072499999999999995+8+1800+1+120
4+71+25,45685600090027+[0,01;0,011;0,011;0,007]+0,00975+8+1800+1+160
4+86+22,922653999328613+[0,013;0,012;0,013;0,009]+0,01175+8+1800+1+180
4+93+22,92954100036621+[0,014;0,012;0,014;0,011]+0,012750000000000001+8+1800+1+200
4+113+27,707146999359132+[0,017;0,017;0,016;0,014]+0,016+8+1800+1+240
4+123+31,37889999961853+[0,018;0,019;0,016;0,015]+0,017+8+1800+1+260
4+137+32,217217000961305+[0,022;0,02;0,018;0,016]+0,019+8+1800+1+300
4+154+149,77127899932862+[0,024;0,021;0,023;0,018]+0,021500000000000002+8+1800+1+320
4+164+28,064608999252318+[0,024;0,024;0,023;0,02]+0,022750000000000003+8+1800+1+340
4+178+31,56364399909973+[0,026;0,028;0,023;0,022]+0,02475+8+1800+1+360
4+194+32,482667999267576+[0,028;0,028;0,026;0,025]+0,026750000000000003+8+1800+1+400
4+211+31,328437000274658+[0,031;0,029;0,03;0,027]+0,029249999999999998+8+1800+1+420
4+223+33,38295299911499+[0,032;0,032;0,031;0,029]+0,031+8+1800+1+440
4+237+45,09822900009155+[0,034;0,034;0,032;0,031]+0,03275+8+1800+1+480
4+247+32,39383799934387+[0,035;0,037;0,034;0,031]+0,03425+8+1800+1+500
4+266+34,28313299942017+[0,037;0,039;0,038;0,034]+0,037+8+1800+1+520
4+280+37,71203999900818+[0,039;0,039;0,039;0,037]+0,0385+8+1800+1+560
4+293+43,71345900154114+[0,042;0,04;0,042;0,039]+0,04075+8+1800+1+580
4+306+43,75507799911499+[0,043;0,042;0,043;0,042]+0,0425+8+1800+1+600
4+318+36,23142700004578+[0,044;0,046;0,043;0,044]+0,04425+8+1800+1+640
4+334+37,18308499908447+[0,047;0,048;0,046;0,046]+0,04675+8+1800+1+660
4+343+41,1740060005188+[0,048;0,049;0,048;0,046]+0,04775+8+1800+1+680
4+358+46,10821299934387+[0,05;0,051;0,052;0,047]+0,05+8+1800+1+720
4+373+39,580583000183104+[0,053;0,052;0,053;0,049]+0,051750000000000004+8+1800+1+740
4+382+40,340704000473025+[0,053;0,052;0,055;0,052]+0,053+8+1800+1+760
4+399+46,386786001205444+[0,055;0,057;0,057;0,053]+0,0555+8+1800+1+800
4+413+54,34386800003052+[0,058;0,059;0,057;0,055]+0,057249999999999995+8+1800+1+820
4+427+50,178900999069214+[0,06;0,061;0,061;0,056]+0,0595+8+1800+1+840
4+439+52,110052000045776+[0,062;0,062;0,062;0,058]+0,061+8+1800+1+880
4+454+45,650114000320436+[0,064;0,064;0,064;0,059]+0,06275+8+1800+1+900
4+466+52,45003400039673+[0,066;0,066;0,066;0,061]+0,06475+8+1800+1+920
4+479+51,097195999145505+[0,068;0,067;0,067;0,064]+0,0665+8+1800+1+960
4+495+48,54701399993896+[0,071;0,068;0,069;0,066]+0,0685+8+1800+1+980
4+506+54,103614000320434+[0,073;0,069;0,072;0,067]+0,07025+8+1800+1+1000
4+519+64,12146300125121+[0,074;0,073;0,073;0,068]+0,072+8+1800+1+1040
4+537+52,913107000350955+[0,077;0,075;0,074;0,072]+0,0745+8+1800+1+1060
4+547+55,223673000335694+[0,079;0,076;0,077;0,073]+0,07625+8+1800+1+1080
4+564+60,24689100074768+[0,081;0,078;0,079;0,076]+0,0785+8+1800+1+1120
4+578+59,26361499977112+[0,082;0,08;0,082;0,077]+0,08025+8+1800+1+1140
4+593+60,61096199989319+[0,083;0,084;0,084;0,078]+0,08225+8+1800+1+1160
4+606+59,310368000030515+[0,086;0,084;0,085;0,082]+0,08425+8+1800+1+1200
4+623+65,7728780002594+[0,087;0,086;0,088;0,085]+0,08650000000000001+8+1800+1+1220
4+631+65,40343699836731+[0,088;0,087;0,09;0,085]+0,08750000000000001+8+1800+1+1240
4+648+81,70358400154113+[0,091;0,09;0,091;0,089]+0,09025+8+1800+1+1280
4+658+63,862083000183105+[0,092;0,091;0,093;0,09]+0,0915+8+1800+1+1300
4+668+66,19223999977112+[0,093;0,092;0,094;0,091]+0,0925+8+1800+1+1320
4+683+65,51467799949646+[0,096;0,093;0,098;0,092]+0,09475+8+1800+1+1360
4+691+80,94290500068665+[0,097;0,096;0,099;0,092]+0,096+8+1800+1+1380
4+708+70,71130200004578+[0,098;0,098;0,101;0,096]+0,09825+8+1800+1+1400
4+720+70,97640299987793+[0,1;0,101;0,103;0,096]+0,1+8+1800+1+1440
4+735+76,27825099945068+[0,103;0,103;0,105;0,098]+0,10225000000000001+8+1800+1+1460
4+746+78,02361699867248+[0,104;0,103;0,107;0,1]+0,10350000000000001+8+1800+1+1480
4+763+78,46030900001526+[0,106;0,107;0,109;0,102]+0,106+8+1800+1+1520
4+773+84,47189900016785+[0,108;0,109;0,11;0,103]+0,1075+8+1800+1+1540
4+789+80,26742799949646+[0,109;0,111;0,114;0,104]+0,1095+8+1800+1+1560
4+804+88,77525500106812+[0,112;0,112;0,117;0,106]+0,11175+8+1800+1+1600
4+823+81,52542099952697+[0,114;0,114;0,118;0,111]+0,11424999999999999+8+1800+1+1620
4+836+80,79786000061036+[0,117;0,116;0,121;0,112]+0,11649999999999999+8+1800+1+1640
4+855+85,94401900100708+[0,117;0,119;0,124;0,114]+0,1185+8+1800+1+1680
