VELOCITY,TIME_START
31,-72000
54,-71359
48,-70718
62,-70077
39,-69436
63,-68795
38,-68154
39,-67513
51,-66872
65,-66231
53,-65590
36,-64949
45,-64308
50,-63667
56,-63026
67,-62385
68,-61744
67,-61103
40,-60462
45,-59821
58,-59179
57,-58538
67,-57897
60,-57256
40,-56615
45,-55974
43,-55333
60,-54692
56,-54051
50,-53410
51,-52769
31,-52128
43,-51487
63,-50846
41,-50205
40,-49564
67,-48923
47,-48282
38,-47641
36,-47000
65,-46359
42,-45718
38,-45077
40,-44436
33,-43795
53,-43154
40,-42513
69,-41872
30,-41231
60,-40590
51,-39949
67,-39308
43,-38667
38,-38026
53,-37385
68,-36744
48,-36103
57,-35462
52,-34821
41,-34179
60,-33538
30,-32897
42,-32256
63,-31615
44,-30974
48,-30333
68,-29692
60,-29051
47,-28410
63,-27769
54,-27128
58,-26487
60,-25846
45,-25205
48,-24564
48,-23923
65,-23282
68,-22641
53,-22000
64,-21359
57,-20718
67,-20077
35,-19436
30,-18795
38,-18154
37,-17513
62,-16872
37,-16231
59,-15590
41,-14949
60,-14308
63,-13667
63,-13026
46,-12385
56,-11744
66,-11103
40,-10462
62,-9821
58,-9179
32,-8538
37,-7897
32,-7256
62,-6615
33,-5974
43,-5333
63,-4692
43,-4051
68,-3410
55,-2769
48,-2128
68,-1487
52,-846
54,-205
54,436
38,1077
35,1718
43,2359
37,3000
45,3641
48,4282
62,4923
37,5564
55,6205
50,6846
37,7487
64,8128
49,8769
37,9410
44,10051
48,10692
35,11333
51,11974
47,12615
69,13256
51,13897
40,14538
63,15179
36,15821
60,16462
44,17103
46,17744
58,18385
53,19026
57,19667
49,20308
42,20949
51,21590
36,22231
42,22872
55,23513
68,24154
41,24795
37,25436
38,26077
42,26718
37,27359
60,28000
57,28641
41,29282
52,29923
54,30564
57,31205
62,31846
47,32487
44,33128
41,33769
55,34410
44,35051
34,35692
31,36333
31,36974
54,37615
68,38256
50,38897
41,39538
52,40179
67,40821
47,41462
44,42103
31,42744
56,43385
57,44026
44,44667
67,45308
57,45949
48,46590
53,47231
48,47872
54,48513
36,49154
64,49795
45,50436
69,51077
65,51718
31,52359
63,53000
37,53641
46,54282
58,54923
44,55564
61,56205
37,56846
60,57487
58,58128
49,58769
40,59410
68,60051
36,60692
55,61333
68,61974
38,62615
41,63256
37,63897
62,64538
32,65179
62,65821
43,66462
43,67103
36,67744
45,68385
60,69026
39,69667
56,70308
54,70949
45,71590
53,72231
40,72872
42,73513
49,74154
52,74795
45,75436
54,76077
53,76718
54,77359
61,78000
55,78641
64,79282
66,79923
37,80564
56,81205
59,81846
68,82487
60,83128
45,83769
69,84410
57,85051
57,85692
39,86333
53,86974
49,87615
58,88256
50,88897
46,89538
66,90179
30,90821
53,91462
53,92103
54,92744
52,93385
40,94026
62,94667
56,95308
33,95949
34,96590
54,97231
55,97872
64,98513
30,99154
46,99795
65,100436
45,101077
31,101718
54,102359
41,103000
65,103641
63,104282
42,104923
48,105564
61,106205
42,106846
56,107487
40,108128
59,108769
43,109410
61,110051
62,110692
43,111333
32,111974
47,112615
66,113256
46,113897
58,114538
58,115179
61,115821
45,116462
52,117103
46,117744
42,118385
52,119026
54,119667
68,120308
40,120949
59,121590
30,122231
49,122872
32,123513
41,124154
67,124795
50,125436
62,126077
60,126718
47,127359
52,128000
35,128641
56,129282
47,129923
39,130564
59,131205
66,131846
62,132487
33,133128
35,133769
36,134410
53,135051
55,135692
52,136333
60,136974
31,137615
40,138256
48,138897
34,139538
43,140179
34,140821
50,141462
57,142103
43,142744
55,143385
33,144026
35,144667
35,145308
50,145949
53,146590
46,147231
60,147872
55,148513
41,149154
34,149795
62,150436
46,151077
38,151718
45,152359
56,153000
32,153641
69,154282
31,154923
55,155564
51,156205
50,156846
34,157487
51,158128
33,158769
56,159410
47,160051
38,160692
58,161333
67,161974
38,162615
53,163256
62,163897
53,164538
35,165179
59,165821
58,166462
64,167103
50,167744
30,168385
52,169026
63,169667
39,170308
38,170949
36,171590
40,172231
69,172872
39,173513
52,174154
64,174795
36,175436
52,176077
57,176718
58,177359
59,178000
40,178641
48,179282
68,179923
38,180564
59,181205
59,181846
44,182487
45,183128
31,183769
68,184410
47,185051
30,185692
59,186333
58,186974
64,187615
62,188256
32,188897
32,189538
49,190179
34,190821
33,191462
35,192103
34,192744
67,193385
65,194026
34,194667
51,195308
33,195949
52,196590
60,197231
59,197872
60,198513
69,199154
52,199795
63,200436
55,201077
68,201718
44,202359
64,203000
37,203641
30,204282
49,204923
44,205564
48,206205
30,206846
40,207487
53,208128
62,208769
34,209410
50,210051
42,210692
41,211333
40,211974
66,212615
35,213256
66,213897
46,214538
58,215179
58,215821
36,216462
52,217103
59,217744
48,218385
43,219026
54,219667
67,220308
59,220949
59,221590
31,222231
63,222872
53,223513
56,224154
62,224795
63,225436
32,226077
45,226718
57,227359
43,228000
42,228641
33,229282
68,229923
54,230564
39,231205
57,231846
55,232487
64,233128
66,233769
66,234410
40,235051
59,235692
42,236333
37,236974
46,237615
39,238256
42,238897
53,239538
43,240179
35,240821
45,241462
37,242103
61,242744
59,243385
51,244026
61,244667
56,245308
43,245949
39,246590
67,247231
64,247872
61,248513
47,249154
44,249795
45,250436
44,251077
67,251718
58,252359
51,253000
48,253641
51,254282
40,254923
51,255564
53,256205
45,256846
40,257487
61,258128
41,258769
64,259410
48,260051
44,260692
42,261333
34,261974
60,262615
55,263256
58,263897
33,264538
53,265179
40,265821
55,266462
39,267103
68,267744
68,268385
57,269026
51,269667
34,270308
63,270949
61,271590
44,272231
38,272872
32,273513
62,274154
69,274795
61,275436
40,276077
60,276718
59,277359
65,278000
61,278641
44,279282
33,279923
46,280564
63,281205
36,281846
64,282487
64,283128
47,283769
44,284410
32,285051
56,285692
58,286333
65,286974
51,287615
51,288256
55,288897
39,289538
33,290179
56,290821
57,291462
48,292103
61,292744
68,293385
33,294026
62,294667
45,295308
55,295949
42,296590
66,297231
40,297872
45,298513
31,299154
66,299795
47,300436
32,301077
35,301718
48,302359
52,303000
32,303641
66,304282
64,304923
61,305564
54,306205
47,306846
30,307487
42,308128
60,308769
55,309410
48,310051
64,310692
44,311333
61,311974
68,312615
49,313256
32,313897
64,314538
52,315179
67,315821
41,316462
54,317103
47,317744
55,318385
40,319026
34,319667
43,320308
41,320949
67,321590
51,322231
57,322872
35,323513
49,324154
60,324795
63,325436
42,326077
46,326718
51,327359
45,328000
68,328641
35,329282
49,329923
34,330564
36,331205
59,331846
41,332487
50,333128
42,333769
55,334410
45,335051
33,335692
35,336333
51,336974
39,337615
40,338256
68,338897
34,339538
60,340179
57,340821
57,341462
59,342103
37,342744
51,343385
43,344026
49,344667
36,345308
45,345949
48,346590
44,347231
51,347872
46,348513
32,349154
44,349795
54,350436
58,351077
48,351718
66,352359
43,353000
35,353641
58,354282
55,354923
61,355564
69,356205
62,356846
55,357487
69,358128
31,358769
59,359410
38,360051
30,360692
49,361333
69,361974
50,362615
47,363256
44,363897
61,364538
51,365179
43,365821
49,366462
42,367103
68,367744
49,368385
50,369026
54,369667
67,370308
40,370949
56,371590
58,372231
55,372872
50,373513
54,374154
54,374795
47,375436
50,376077
63,376718
67,377359
36,378000
44,378641
66,379282
38,379923
37,380564
49,381205
44,381846
66,382487
61,383128
59,383769
61,384410
48,385051
56,385692
54,386333
67,386974
43,387615
62,388256
47,388897
36,389538
62,390179
48,390821
54,391462
50,392103
60,392744
41,393385
51,394026
42,394667
