RESPONSES,TOTAL_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING
1,7.501332001,10,60,3,1,1651963857914,1651963797914,7,8,1
1,7.363825001,10,60,5,1,1651963867914,1651963807914,7,8,1
1,6.813711998,10,60,5,1,1651963877914,1651963817914,7,8,1
1,7.378924,10,60,5,1,1651963887914,1651963827914,7,8,1
1,6.747819,10,60,5,1,1651963897914,1651963837914,7,8,1
1,7.003118999,10,60,5,1,1651963907914,1651963847914,7,8,1
1,7.585615997,10,60,5,1,1651963917914,1651963857914,7,8,1
1,7.119942001,10,60,5,1,1651963927914,1651963867914,7,8,1
1,6.420439999,10,60,5,1,1651963937914,1651963877914,7,8,1
1,6.532636002,10,60,5,1,1651963947914,1651963887914,7,8,1
1,6.974203999,10,60,5,1,1651963957914,1651963897914,7,8,1
1,9.728092003,10,60,5,1,1651963967914,1651963907914,7,8,1
1,7.863287003,10,60,6.25,1,1651963977914,1651963917914,7,8,1
1,7.554435001,10,60,6.25,1,1651963987914,1651963927914,7,8,1
1,7.219843002,10,60,6.25,1,1651963997914,1651963937914,7,8,1
1,6.533383003,10,60,6.25,1,1651964007914,1651963947914,7,8,1
1,7.833522999,10,60,5,1,1651964017914,1651963957914,7,8,2
1,8.110839001,10,60,5,1,1651964027914,1651963967914,7,8,2
1,7.828264999,10,60,6.25,1,1651964037914,1651963977914,7,8,2
1,8.072360001,10,60,6.25,1,1651964047914,1651963987914,7,8,2
1,6.359829002,10,60,7.8125,1,1651964057914,1651963997914,7,8,2
1,6.746819,10,60,5.859375,1,1651964067914,1651964007914,7,8,2
1,7.343084,10,60,5,1,1651964077914,1651964017914,7,8,2
1,12.168297,10,60,5,1,1651964087914,1651964027914,7,8,2
1,6.275370998,10,60,6.25,1,1651964097914,1651964037914,7,8,2
1,6.637689999,10,60,5,1,1651964107914,1651964047914,7,8,2
1,6.603363998,10,60,5,1,1651964117914,1651964057914,7,8,2
1,8.338777,10,60,5,1,1651964127914,1651964067914,7,8,3
1,6.950663998,10,60,6.25,1,1651964137914,1651964077914,7,8,3
1,6.524888,10,60,5,1,1651964147914,1651964087914,7,8,3
1,8.490054001,10,60,5,1,1651964157914,1651964097914,7,8,3
1,6.20909,10,60,6.25,1,1651964167914,1651964107914,7,8,3
1,6.650853001,10,60,5,1,1651964177914,1651964117914,7,8,3
1,8.328866001,10,60,5,1,1651964187914,1651964127914,7,8,3
1,6.338167,10,60,6.25,1,1651964197914,1651964137914,7,8,3
1,6.341473999,10,60,5,1,1651964207914,1651964147914,7,8,3
1,6.877148998,10,60,5,1,1651964217914,1651964157914,7,8,3
1,6.461181999,10,60,5,1,1651964227914,1651964167914,7,8,3
1,5.916317001,10,60,5,1,1651964237914,1651964177914,7,8,4
1,6.302895,10,60,5,1,1651964247914,1651964187914,7,8,4
1,6.972219002,10,60,5,1,1651964257914,1651964197914,7,8,4
1,6.274478001,10,60,5,1,1651964267914,1651964207914,7,8,4
1,6.672363998,10,60,5,1,1651964277914,1651964217914,7,8,4
1,6.408489998,10,60,5,1,1651964287914,1651964227914,7,8,4
1,6.861232998,10,60,5,1,1651964297914,1651964237914,7,8,3
1,6.442125,10,60,5,1,1651964307914,1651964247914,7,8,3
1,6.351156002,10,60,5,1,1651964317914,1651964257914,7,8,3
1,6.740515999,10,60,5,1,1651964327914,1651964267914,7,8,3
1,6.278372997,10,60,5,1,1651964337914,1651964277914,7,8,3
1,6.653704002,10,60,5,1,1651964347914,1651964287914,7,8,3
1,6.88991,10,60,5,1,1651964357914,1651964297914,7,8,2
1,7.047317001,10,60,5,1,1651964367914,1651964307914,7,8,2
1,7.659445,10,60,5,1,1651964377914,1651964317914,7,8,2
1,6.976886997,10,60,5,1,1651964387914,1651964327914,7,8,2
1,6.457456997,10,60,5,1,1651964397914,1651964337914,7,8,2
1,7.149331001,10,60,5,1,1651964407914,1651964347914,7,8,2
1,6.885243,10,60,5,1,1651964417914,1651964357914,7,8,1
1,6.757050999,10,60,5,1,1651964427914,1651964367914,7,8,1
1,6.743825001,10,60,5,1,1651964437914,1651964377914,7,8,1
1,7.167182999,10,60,5,1,1651964447914,1651964387914,7,8,1
1,7.023872997,10,60,5,1,1651964457914,1651964397914,7,8,1
1,6.806549,10,60,5,1,1651964467914,1651964407914,7,8,1
