RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,HOOK_DATA_RETRIES,INIT_EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES_NUMBER,METRICS_VALUES,GUARANTEES_VALUES
1,0.122,0.041307677,30,90,30,10,1662923986428,1662923896428,3,3.2,4,0,0,1662924031950,1662924032072,0,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.157,0.077653982,30,90,30,20,1662924016428,1662923926428,3,3.2,4,0,0,1662924061953,1662924064110,1,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.197,0.103043638,30,90,30,30,1662924046428,1662923956428,3,3.2,4,0,0,1662924091949,1662924094146,2,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.255,0.144397341,30,90,30,40,1662924076428,1662923986428,3,3.2,4,0,0,1662924121957,1662924124212,3,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.244,0.137483737,30,90,30,40,1662924106428,1662924016428,3,3.2,4,0,0,1662924151950,1662924154194,4,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.246,0.138974101,30,90,30,40,1662924136428,1662924046428,3,3.2,4,0,0,1662924181954,1662924184200,5,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.243,0.136821482,30,90,30,40,1662924166428,1662924076428,3,3.2,4,0,0,1662924211951,1662924214194,6,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.245,0.141234935,30,90,30,40,1662924196428,1662924106428,3,3.2,4,0,0,1662924241951,1662924244196,7,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.245,0.136296472,30,90,30,40,1662924226428,1662924136428,3,3.2,4,0,0,1662924271954,1662924274199,8,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.239,0.14006718799999998,30,90,30,40,1662924256428,1662924166428,3,3.2,4,0,0,1662924301951,1662924304190,9,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
