RESPONSES,TOTAL_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING
1,0,10,60,11,1,1654034496272,1654034436272,2590,2600,1
1,2.595449108,10,75,11,3,1654034506272,1654034431272,2590,2600,1
1,2.592233917,10,75,11,4,1654034516272,1654034441272,2590,2600,1
1,2.592233917,10,75,11,5,1654034526272,1654034451272,2590,2600,1
1,2.601043524,10,75,11,6,1654034536272,1654034461272,2590,2600,1
1,4.597924472,10,56.25,11,6,1654034546272,1654034490022,2590,2600,1
1,2.584897852,10,42.1875,11,5,1654034556272,1654034514084.5,2590,2600,1
1,2.60303724,10,52.734375,11,6,1654034566272,1654034513537.625,2590,2600,1
1,2.587045524,10,39.55078125,11,5,1654034576272,1654034536721.2188,2590,2600,1
1,2.598859756,10,49.4384765625,11,6,1654034586272,1654034536833.5234,2590,2600,1
1,2.603325879,10,49.4384765625,11,6,1654034596272,1654034546833.5234,2590,2600,1
1,4.092250502,10,37.078857421875,11,5,1654034606272,1654034569193.1426,2590,2600,1
1,2.5877974260000003,10,27.80914306640625,11,4,1654034616272,1654034588462.857,2590,2600,1
1,2.589219381,10,34.76142883300781,11,5,1654034626272,1654034591510.5713,2590,2600,1
1,2.5904398449999997,10,43.451786041259766,11,5,1654034636272,1654034592820.2139,2590,2600,1
1,2.595534192,10,43.451786041259766,11,5,1654034646272,1654034602820.2139,2590,2600,1
1,2.595534192,10,43.451786041259766,11,5,1654034656272,1654034612820.2139,2590,2600,1
1,4.102245094,10,43.451786041259766,11,5,1654034666272,1654034622820.2139,2590,2600,1
1,2.599039658,10,32.588839530944824,11,4,1654034676272,1654034643683.1604,2590,2600,1
1,2.599039658,10,32.588839530944824,11,4,1654034686272,1654034653683.1604,2590,2600,1
1,2.586847528,10,32.588839530944824,11,4,1654034696272,1654034663683.1604,2590,2600,1
1,2.5924011129999998,10,40.73604941368103,11,5,1654034706272,1654034665535.9507,2590,2600,1
1,2.592695236,10,40.73604941368103,11,5,1654034716272,1654034675535.9507,2590,2600,1
