RESPONSES,TOTAL_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,2.579098669,15,15,16,1,1654643280780,1654643265780,2590,2600,16,0,1654643300800,1654643301300,1654643303368,0
1,0.6893308029999999,15,15,16,2,1654643295780,1654643280780,2590,2600,16,0,1654643315800,1654643316300,1654643316478,1
1,1.26909373,15,15,16,2,1654643310780,1654643295780,2590,2600,16,1,1654643330808,1654643331810,1654643332058,2
1,1.701725826,15,15,16,2,1654643325780,1654643310780,2590,2600,16,1,1654643345800,1654643346801,1654643347491,3
1,0.662717221,15,15,16,2,1654643340780,1654643325780,2590,2600,16,0,1654643360800,1654643361300,1654643361452,4
1,0.663757794,15,15,16,2,1654643355780,1654643340780,2590,2600,16,0,1654643375798,1654643376299,1654643376453,5
1,0.651365942,15,15,16,2,1654643370780,1654643355780,2590,2600,16,0,1654643390800,1654643391301,1654643391441,6
1,0.634991187,15,15,16,2,1654643385780,1654643370780,2590,2600,16,0,1654643405801,1654643406301,1654643406426,7
1,0.6461480749999999,15,15,16,2,1654643400780,1654643385780,2590,2600,16,0,1654643420801,1654643421302,1654643421437,8
1,0.6425703700000001,15,15,16,2,1654643415780,1654643400780,2590,2600,16,0,1654643435802,1654643436303,1654643436434,9
1,0.642008496,15,15,16,2,1654643430780,1654643415780,2590,2600,16,0,1654643450803,1654643451303,1654643451433,10
1,0.654642107,15,15,16,2,1654643445780,1654643430780,2590,2600,16,0,1654643465803,1654643466304,1654643466448,11
1,0.6330223620000001,15,15,16,2,1654643460780,1654643445780,2590,2600,16,0,1654643480804,1654643481305,1654643481426,12
1,1.506602795,15,15,16,2,1654643475780,1654643460780,2590,2600,16,0,1654643495804,1654643496304,1654643497300,13
1,2.5901108749999997,15,15,16,2,1654643490780,1654643475780,2590,2600,16,0,1654643510804,1654643511305,1654643513385,14
1,2.590297289,15,15,16,2,1654643505780,1654643490780,2590,2600,16,0,1654643525808,1654643526309,1654643528386,15
1,2.5871728210000002,15,15,16,2,1654643520780,1654643505780,2590,2600,16,0,1654643540806,1654643541307,1654643543382,16
1,0.673627192,15,15,16,2,1654643535780,1654643520780,2590,2600,16,0,1654643555805,1654643556305,1654643556469,17
1,2.729158585,15,15,16,2,1654643550780,1654643535780,2590,2600,16,1,1654643570812,1654643571812,1654643573525,18
1,1.701652386,15,15,16,2,1654643565780,1654643550780,2590,2600,16,1,1654643585809,1654643586809,1654643587498,19
1,0.662241578,15,15,16,2,1654643580780,1654643565780,2590,2600,16,0,1654643600809,1654643601309,1654643601458,20
1,0.676372838,15,15,16,2,1654643595780,1654643580780,2590,2600,16,0,1654643615805,1654643616305,1654643616472,21
1,0.645123306,15,15,16,2,1654643610780,1654643595780,2590,2600,16,0,1654643630807,1654643631308,1654643631442,22
1,0.64424743,15,15,16,2,1654643625780,1654643610780,2590,2600,16,0,1654643645807,1654643646308,1654643646441,23
1,0.643093071,15,15,16,2,1654643640780,1654643625780,2590,2600,16,0,1654643660808,1654643661308,1654643661441,24
1,0.642933449,15,15,16,2,1654643655780,1654643640780,2590,2600,16,0,1654643675808,1654643676309,1654643676442,25
1,0.6407303510000001,15,15,16,2,1654643670780,1654643655780,2590,2600,16,0,1654643690809,1654643691309,1654643691440,26
1,0.635836756,15,15,16,2,1654643685780,1654643670780,2590,2600,16,0,1654643705811,1654643706312,1654643706436,27
1,0.645994212,15,15,16,2,1654643700780,1654643685780,2590,2600,16,0,1654643720813,1654643721313,1654643721447,28
1,1.503202059,15,15,16,2,1654643715780,1654643700780,2590,2600,16,0,1654643735811,1654643736311,1654643737304,29
1,2.597566936,15,15,16,2,1654643730780,1654643715780,2590,2600,16,0,1654643750811,1654643751312,1654643753399,30
1,2.591884672,15,15,16,2,1654643745780,1654643730780,2590,2600,16,0,1654643765814,1654643766315,1654643768394,31
