RESPONSES,TOTAL_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,2.593860628,15,15,16,1,1654692809250,1654692794250,2590,2600,1,0,1654692829287,1654692829787,1654692831865,0
1,2.589468676,15,15,16,2,1654692824250,1654692809250,2590,2600,1,0,1654692844285,1654692844786,1654692846861,1
1,3.084925855,15,15,16,2,1654692839250,1654692824250,2590,2600,1,1,1654692859285,1654692860286,1654692862358,2
1,4.080400129,15,15,16,2,1654692854250,1654692839250,2590,2600,1,3,1654692874284,1654692876287,1654692878353,3
1,2.582264139,15,15,16,2,1654692869250,1654692854250,2590,2600,1,0,1654692889286,1654692889787,1654692891855,4
1,2.582570813,15,15,16,2,1654692884250,1654692869250,2590,2600,1,0,1654692904291,1654692904791,1654692906861,5
1,2.5870726960000003,15,15,16,2,1654692899250,1654692884250,2590,2600,1,0,1654692919289,1654692919789,1654692921865,6
1,2.584229078,15,15,16,2,1654692914250,1654692899250,2590,2600,1,0,1654692934294,1654692934795,1654692936867,7
1,2.583305066,15,15,16,2,1654692929250,1654692914250,2590,2600,1,0,1654692949294,1654692949795,1654692951866,8
1,2.590065306,15,15,16,2,1654692944250,1654692929250,2590,2600,1,0,1654692964301,1654692964802,1654692966878,9
1,2.5897251249999997,15,15,16,2,1654692959250,1654692944250,2590,2600,1,0,1654692979299,1654692979800,1654692981878,10
1,2.581123223,15,15,16,2,1654692974250,1654692959250,2590,2600,1,0,1654692994304,1654692994805,1654692996875,11
1,2.582776204,15,15,16,2,1654692989250,1654692974250,2590,2600,1,0,1654693009305,1654693009806,1654693011877,12
1,2.5884882240000002,15,15,16,2,1654693004250,1654692989250,2590,2600,1,0,1654693024308,1654693024809,1654693026886,13
1,2.585360373,15,15,16,2,1654693019250,1654693004250,2590,2600,1,0,1654693039308,1654693039808,1654693041883,14
1,2.584377856,15,15,16,2,1654693034250,1654693019250,2590,2600,1,0,1654693054311,1654693054811,1654693056884,15
1,2.578597123,15,15,16,2,1654693049250,1654693034250,2590,2600,1,0,1654693069311,1654693069812,1654693071879,16
1,2.589493731,15,15,16,2,1654693064250,1654693049250,2590,2600,1,0,1654693084312,1654693084812,1654693086890,17
1,3.095096638,15,15,16,2,1654693079250,1654693064250,2590,2600,1,1,1654693099312,1654693100314,1654693102397,18
1,4.086010526,15,15,16,2,1654693094250,1654693079250,2590,2600,1,3,1654693114314,1654693116315,1654693118389,19
1,2.592566971,15,15,16,2,1654693109250,1654693094250,2590,2600,1,0,1654693129320,1654693129821,1654693131897,20
1,2.584523345,15,15,16,2,1654693124250,1654693109250,2590,2600,1,0,1654693144316,1654693144817,1654693146889,21
1,2.581782105,15,15,16,2,1654693139250,1654693124250,2590,2600,1,0,1654693159318,1654693159818,1654693161888,22
1,2.581213288,15,15,16,2,1654693154250,1654693139250,2590,2600,1,0,1654693174323,1654693174824,1654693176892,23
1,2.578378014,15,15,16,2,1654693169250,1654693154250,2590,2600,1,0,1654693189321,1654693189822,1654693191889,24
1,2.584946914,15,15,16,2,1654693184250,1654693169250,2590,2600,1,0,1654693204328,1654693204828,1654693206901,25
1,2.587147065,15,15,16,2,1654693199250,1654693184250,2590,2600,1,0,1654693219335,1654693219836,1654693221910,26
1,2.585451532,15,15,16,2,1654693214250,1654693199250,2590,2600,1,0,1654693234340,1654693234840,1654693236913,27
1,2.572046049,15,15,16,2,1654693229250,1654693214250,2590,2600,1,0,1654693249342,1654693249843,1654693251904,28
1,2.583427444,15,15,16,2,1654693244250,1654693229250,2590,2600,1,0,1654693264347,1654693264848,1654693266920,29
1,2.582459085,15,15,16,2,1654693259250,1654693244250,2590,2600,1,0,1654693279351,1654693279852,1654693281922,30
1,2.5914523060000003,15,15,16,2,1654693274250,1654693259250,2590,2600,1,0,1654693294354,1654693294856,1654693296934,31
1,2.580289362,15,15,16,2,1654693289250,1654693274250,2590,2600,1,0,1654693309354,1654693309854,1654693311923,32
1,2.589655998,15,15,16,2,1654693304250,1654693289250,2590,2600,1,0,1654693324353,1654693324854,1654693326933,33
1,3.091683823,15,15,16,2,1654693319250,1654693304250,2590,2600,1,1,1654693339360,1654693340361,1654693342436,34
1,4.084204911,15,15,16,2,1654693334250,1654693319250,2590,2600,1,3,1654693354363,1654693356363,1654693358429,35
1,2.584679055,15,15,16,2,1654693349250,1654693334250,2590,2600,1,0,1654693369365,1654693369866,1654693371939,36
1,2.587344522,15,15,16,2,1654693364250,1654693349250,2590,2600,1,0,1654693384369,1654693384870,1654693386946,37
1,2.594545134,15,15,16,2,1654693379250,1654693364250,2590,2600,1,0,1654693399390,1654693399891,1654693401964,38
1,2.582920217,15,15,16,2,1654693394250,1654693379250,2590,2600,1,0,1654693414384,1654693414885,1654693416956,39
1,2.582936423,15,15,16,2,1654693409250,1654693394250,2590,2600,1,0,1654693429385,1654693429885,1654693431957,40
1,2.5819980289999998,15,15,16,2,1654693424250,1654693409250,2590,2600,1,0,1654693444391,1654693444891,1654693446961,41
1,2.58300888,15,15,16,2,1654693439250,1654693424250,2590,2600,1,0,1654693459397,1654693459897,1654693461970,42
1,2.581311758,15,15,16,2,1654693454250,1654693439250,2590,2600,1,0,1654693474403,1654693474904,1654693476973,43
1,2.5820647,15,15,16,2,1654693469250,1654693454250,2590,2600,1,0,1654693489408,1654693489909,1654693491979,44
1,2.580884964,15,15,16,2,1654693484250,1654693469250,2590,2600,1,0,1654693504412,1654693504913,1654693506983,45
1,2.580201201,15,15,16,2,1654693499250,1654693484250,2590,2600,1,0,1654693519412,1654693519912,1654693521982,46
1,2.588902735,15,15,16,2,1654693514250,1654693499250,2590,2600,1,0,1654693534420,1654693534921,1654693536994,47
1,2.575092218,15,15,16,2,1654693529250,1654693514250,2590,2600,1,0,1654693549416,1654693549917,1654693551981,48
1,2.583582151,15,15,16,2,1654693544250,1654693529250,2590,2600,1,0,1654693564417,1654693564918,1654693566990,49
1,3.086127438,15,15,16,2,1654693559250,1654693544250,2590,2600,1,1,1654693579418,1654693580419,1654693582493,50
1,4.08130874,15,15,16,2,1654693574250,1654693559250,2590,2600,1,3,1654693594416,1654693596418,1654693598487,51
1,2.585306575,15,15,16,2,1654693589250,1654693574250,2590,2600,1,0,1654693609423,1654693609924,1654693611996,52
1,2.5893270619999997,15,15,16,2,1654693604250,1654693589250,2590,2600,1,0,1654693624428,1654693624928,1654693627001,53
1,2.584234594,15,15,16,2,1654693619250,1654693604250,2590,2600,1,0,1654693639425,1654693639926,1654693641997,54
1,2.5849645810000004,15,15,16,2,1654693634250,1654693619250,2590,2600,1,0,1654693654425,1654693654925,1654693656998,55
1,2.587188607,15,15,16,2,1654693649250,1654693634250,2590,2600,1,0,1654693669423,1654693669924,1654693672000,56
1,2.587079788,15,15,16,2,1654693664250,1654693649250,2590,2600,1,0,1654693684431,1654693684932,1654693687005,57
1,2.58688216,15,15,16,2,1654693679250,1654693664250,2590,2600,1,0,1654693699439,1654693699939,1654693702013,58
1,2.586128681,15,15,16,2,1654693694250,1654693679250,2590,2600,1,0,1654693714438,1654693714939,1654693717014,59
1,2.581907894,15,15,16,2,1654693709250,1654693694250,2590,2600,1,0,1654693729444,1654693729944,1654693732015,60
1,2.58209358,15,15,16,2,1654693724250,1654693709250,2590,2600,1,0,1654693744447,1654693744948,1654693747019,61
1,2.587085464,15,15,16,2,1654693739250,1654693724250,2590,2600,1,0,1654693759451,1654693759952,1654693762028,62
1,2.5784503340000002,15,15,16,2,1654693754250,1654693739250,2590,2600,1,0,1654693774455,1654693774955,1654693777022,63
1,2.585580391,15,15,16,2,1654693769250,1654693754250,2590,2600,1,0,1654693789454,1654693789954,1654693792029,64
1,2.5798736090000003,15,15,16,2,1654693784250,1654693769250,2590,2600,1,0,1654693804455,1654693804955,1654693807024,65
1,3.088260058,15,15,16,2,1654693799250,1654693784250,2590,2600,1,1,1654693819458,1654693820458,1654693822535,66
1,4.085555631,15,15,16,2,1654693814250,1654693799250,2590,2600,1,3,1654693834458,1654693836461,1654693838533,67
1,2.583200842,15,15,16,2,1654693829250,1654693814250,2590,2600,1,0,1654693849458,1654693849959,1654693852031,68
1,2.5871890840000002,15,15,16,2,1654693844250,1654693829250,2590,2600,1,0,1654693864464,1654693864964,1654693867037,69
1,2.582653075,15,15,16,2,1654693859250,1654693844250,2590,2600,1,0,1654693879468,1654693879969,1654693882041,70
1,2.5806189920000002,15,15,16,2,1654693874250,1654693859250,2590,2600,1,0,1654693894473,1654693894974,1654693897042,71
1,2.583249258,15,15,16,2,1654693889250,1654693874250,2590,2600,1,0,1654693909472,1654693909973,1654693912045,72
1,2.5830754689999997,15,15,16,2,1654693904250,1654693889250,2590,2600,1,0,1654693924477,1654693924978,1654693927049,73
1,2.584321588,15,15,16,2,1654693919250,1654693904250,2590,2600,1,0,1654693939486,1654693939987,1654693942057,74
1,2.577095652,15,15,16,2,1654693934250,1654693919250,2590,2600,1,0,1654693954488,1654693954989,1654693957055,75
1,2.583206821,15,15,16,2,1654693949250,1654693934250,2590,2600,1,0,1654693969488,1654693969989,1654693972061,76
1,2.584165892,15,15,16,2,1654693964250,1654693949250,2590,2600,1,0,1654693984497,1654693984997,1654693987067,77
1,2.586370694,15,15,16,2,1654693979250,1654693964250,2590,2600,1,0,1654693999498,1654693999998,1654694002069,78
