MIN,MAX,MEAN,NUMBER_ESC_RUNNING
1.786563791,4.089479508,1.329697292,1
0.723122696,2.598805474,1.514636414,2
0.91983999,4.088939549,1.832493301,3
0.679764244,4.081915707,1.938323725,4
1.235725491,4.123932648,2.065231695,5
0.705580921,4.113625171,1.896977974,6
0.614856273,3.760722032,1.851810011,7
0.602924819,3.961848388,1.835008913,8
0.611925397,3.11518928,1.797060205,9
0.602366274,4.10065425,1.790588358,10
0.614991269,4.099553316,1.821711448,11
0.608044782,4.118404156,1.899679309,12
0.584262558,3.701087822,1.676370597,13
0.767748487,3.779856787,1.856615089,14
0.585678143,4.026188804,1.656668602,15
