RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,2.669774032,0.068671756,15,50,15,20,1655408773093,1655408723093,2.5,3,2,0,1655408793118,1655408793618,1655408795771,0
1,1.363359585,0.172785834,15,37.5,15,60,1655408788093,1655408750593,2.5,3,2,0,1655408808122,1655408808623,1655408809466,1
1,2.652071634,0.160855554,15,28.125,15,60,1655408803093,1655408774968,2.5,3,2,0,1655408823124,1655408823625,1655408825757,2
1,2.6507941550000003,0.163622719,15,21.09375,15,60,1655408818093,1655408796999.25,2.5,3,3,0,1655408838122,1655408838623,1655408840756,3
1,2.653282542,0.107157866,15,15.8203125,15,40,1655408833093,1655408817272.6875,2.5,3,3,0,1655408853129,1655408853630,1655408855760,4
1,2.616819714,0.110545367,15,15.8203125,15,40,1655408848093,1655408832272.6875,2.5,3,3,0,1655408868124,1655408868625,1655408870724,5
1,1.332289201,0.106683475,15,15.8203125,15,40,1655408863093,1655408847272.6875,2.5,3,3,0,1655408883122,1655408883623,1655408884439,6
1,2.604780314,0.10301862199999999,15,15.8203125,15,40,1655408878093,1655408862272.6875,2.5,3,3,0,1655408898124,1655408898624,1655408900713,7
1,2.64598443,0.123372485,15,15.8203125,15,40,1655408893093,1655408877272.6875,2.5,3,4,0,1655408913128,1655408913628,1655408915755,8
1,1.8873064899999998,0.108094831,15,15.8203125,15,40,1655408908093,1655408892272.6875,2.5,3,4,0,1655408928129,1655408928630,1655408929997,9
1,2.610586248,0.106797015,15,15.8203125,15,40,1655408923093,1655408907272.6875,2.5,3,4,0,1655408943127,1655408943628,1655408945723,10
1,2.686399052,0.125893917,15,15.8203125,15,40,1655408938093,1655408922272.6875,2.5,3,5,0,1655408958129,1655408958630,1655408960799,11
1,2.6544881289999998,0.11514477399999999,15,15.8203125,15,40,1655408953093,1655408937272.6875,2.5,3,5,0,1655408973131,1655408973631,1655408975770,12
1,2.690832774,0.119728488,15,15.8203125,15,40,1655408968093,1655408952272.6875,2.5,3,5,0,1655408988135,1655408988636,1655408990808,13
1,1.9722512710000002,0.11012876799999999,15,15.8203125,15,40,1655408983093,1655408967272.6875,2.5,3,5,0,1655409003132,1655409003633,1655409005089,14
1,2.737665488,0.124801,15,15.8203125,15,40,1655408998093,1655408982272.6875,2.5,3,6,0,1655409018135,1655409018636,1655409020854,15
