MIN,MAX,MEAN,STDEV,NUMBER_ESC_RUNNING
100,0,0,0,1
100,0,0,0,2
100,0,0,0,3
100,0,0,0,4
100,0,0,0,5
100,0,0,0,6
100,0,0,0,7
100,0,0,0,8
100,0,0,0,9
100,0,0,0,10
100,0,0,0,11
100,0,0,0,12
100,0,0,0,13
100,0,0,0,14
100,0,0,0,15
0.815174297,7.3396959729999995,2.788883107082869,0.9737435646353738,16
100,0,0,0,15
100,0,0,0,14
100,0,0,0,13
100,0,0,0,12
100,0,0,0,11
100,0,0,0,10
100,0,0,0,9
100,0,0,0,8
100,0,0,0,7
100,0,0,0,6
2.785172162,3.392335908,1.235501614,1.1877215986175464,5
100,0,0,0,4
100,0,0,0,3
100,0,0,0,2
100,0,0,0,1
