RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,1.141465007,0.067832801,15,30,15,10,1656624745002,1656624715002,3,3.2,16,0,1656624810027,1656624810527,1656624811157,0,4
1,1.314633477,0.09429130399999999,15,37.5,15,20,1656624760002,1656624722502,3,3.2,16,0,1656624825028,1656624825529,1656624826331,1,4
1,1.3829212419999999,0.13150034400000002,15,46.875,15,30,1656624775002,1656624728127,3,3.2,16,0,1656624840030,1656624840531,1656624841399,2,4
1,1.4337492669999998,0.126843721,15,58.59375,15,40,1656624790002,1656624731408.25,3,3.2,16,0,1656624855067,1656624855568,1656624856450,3,4
1,1.5683656639999999,0.23002519899999999,15,73.2421875,15,50,1656624805002,1656624731759.8125,3,3.2,16,0,1656624870031,1656624870533,1656624871585,4,4
1,1.566102392,0.27649222900000003,15,91.552734375,15,60,1656624820002,1656624728449.2656,3,3.2,16,0,1656624885064,1656624885565,1656624886582,5,4
1,1.9602688510000001,0.262291492,15,114.44091796875,15,70,1656624835002,1656624720561.082,3,3.2,16,0,1656624900196,1656624900696,1656624901977,6,4
1,2.430919694,0.400191099,15,143.0511474609375,15,80,1656624850002,1656624706950.8525,3,3.2,16,0,1656624915064,1656624915564,1656624917448,7,4
1,2.628914593,0.565356915,15,178.81393432617188,15,90,1656624865002,1656624686188.0657,3,3.2,16,0,1656624930365,1656624930866,1656624932646,8,4
1,4.287549771,0.769861708,15,223.51741790771484,15,100,1656624880002,1656624656484.582,3,3.2,16,0,1656624945484,1656624945988,1656624949305,9,4
1,4.572347004,0.589593656,15,167.63806343078613,15,110,1656624895002,1656624727363.9365,3,3.2,16,0,1656624960756,1656624961260,1656624964590,10,4
1,2.81894566,0.491881294,15,125.7285475730896,15,90,1656624910002,1656624784273.4524,3,3.2,16,0,1656624975048,1656624975552,1656624977836,11,4
1,2.375783277,0.310547997,15,157.160684466362,15,100,1656624925002,1656624767841.3154,3,3.2,16,0,1656624990333,1656624990834,1656624992394,12,4
1,2.923835501,0.6084877719999999,15,196.4508555829525,15,110,1656624940002,1656624743551.1445,3,3.2,16,0,1656625005048,1656625005548,1656625007942,13,4
