RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES,ESC
1,2.635406449,0.033905106000000004,15,30,15,10,1656873085378,1656873055378,3,3.2,2,0,1656873150426,1656873150928,1656873153040,0,4,undefined
1,1.352645179,0.061526435,15,37.5,15,20,1656873100378,1656873062878,3,3.2,2,0,1656873165418,1656873165919,1656873166756,1,4,undefined
1,1.421209256,0.08847478700000001,15,46.875,15,30,1656873115378,1656873068503,3,3.2,2,0,1656873180421,1656873180922,1656873181825,2,4,undefined
1,1.459768452,0.108189588,15,58.59375,15,40,1656873130378,1656873071784.25,3,3.2,2,0,1656873195422,1656873195923,1656873196864,3,4,undefined
1,1.503899706,0.129559167,15,73.2421875,15,50,1656873145378,1656873072135.8125,3,3.2,2,0,1656873210423,1656873210924,1656873211908,4,4,undefined
1,1.560911371,0.157823756,15,91.552734375,15,60,1656873160378,1656873068825.2656,3,3.2,2,0,1656873225426,1656873225926,1656873226966,5,4,undefined
1,1.589141242,0.181979344,15,114.44091796875,15,70,1656873175378,1656873060937.082,3,3.2,2,0,1656873240430,1656873240930,1656873241995,6,4,undefined
1,1.6500345589999998,0.21985393,15,143.0511474609375,15,80,1656873190378,1656873047326.8525,3,3.2,2,0,1656873255430,1656873255931,1656873257056,7,4,undefined
1,1.699400083,0.23164195799999998,15,178.81393432617188,15,90,1656873205378,1656873026564.0657,3,3.2,2,0,1656873270432,1656873270932,1656873272105,8,4,undefined
1,1.739245152,0.26491256900000004,15,223.51741790771484,15,100,1656873220378,1656872996860.582,3,3.2,2,0,1656873285432,1656873285933,1656873287145,9,4,undefined
1,1.7789210880000002,0.293738023,15,279.39677238464355,15,110,1656873235378,1656872955981.2275,3,3.2,2,0,1656873300433,1656873300933,1656873302185,10,4,undefined
1,1.825856934,0.339067167,15,349.24596548080444,15,120,1656873250378,1656872901132.0344,3,3.2,2,0,1656873315434,1656873315935,1656873317232,11,4,undefined
1,1.886201716,0.36398499700000003,15,436.55745685100555,15,130,1656873265378,1656872828820.5432,3,3.2,2,0,1656873330437,1656873330938,1656873332293,12,4,undefined
1,1.8885771150000001,0.380532393,15,545.6968210637569,15,140,1656873280378,1656872734681.179,3,3.2,2,0,1656873345445,1656873345946,1656873347297,13,4,undefined
1,1.879307373,0.421591631,15,682.1210263296962,15,150,1656873295378,1656872613256.9736,3,3.2,2,0,1656873360441,1656873360942,1656873362288,14,4,undefined
1,1.878639887,0.447601682,15,852.6512829121202,15,160,1656873310378,1656872457726.717,3,3.2,2,0,1656873375449,1656873375950,1656873377288,15,4,undefined
1,1.926964078,0.484311448,15,1065.8141036401503,15,170,1656873325378,1656872259563.8962,3,3.2,2,0,1656873390446,1656873390947,1656873392337,16,4,undefined
