RESPONSES,TOTAL_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,DATA
1,7.875791000366211,10,120,3,1,1652653940644,1652653820644,15,10,1,[object Object]
1,19.383643001556397,10,120,5,6,1652653950644,1652653830644,15,10,1,[object Object]
1,21.308006000518798,10,120,6.25,7,1652653960644,1652653840644,15,10,1,[object Object]
1,26.384895999908448,10,120,7.8125,7,1652653970644,1652653850644,15,10,1,[object Object]
1,26.079151000976562,10,120,9.765625,7,1652653980644,1652653860644,15,10,1,[object Object]
1,22.250118999481202,10,120,12.20703125,7,1652653990644,1652653870644,15,10,1,[object Object]
1,22.58283200073242,10,120,15.2587890625,7,1652654000644,1652653880644,15,10,1,[object Object]
1,21.41238500213623,10,120,19.073486328125,7,1652654010644,1652653890644,15,10,1,[object Object]
1,22.00376600265503,10,120,23.84185791015625,7,1652654020644,1652653900644,15,10,1,[object Object]
1,22.060500999450685,10,120,29.802322387695312,7,1652654030644,1652653910644,15,10,1,[object Object]
1,21.034404998779298,10,120,37.25290298461914,7,1652654040644,1652653920644,15,10,1,[object Object]
1,24.08670299911499,10,120,46.566128730773926,7,1652654050644,1652653930644,15,10,1,[object Object]
1,23.482779998779296,10,120,58.20766091346741,7,1652654060644,1652653940644,15,10,1,[object Object]
1,22.167513999938965,10,120,60,7,1652654070644,1652653950644,15,10,1,[object Object]
1,21.452617000579835,10,120,60,7,1652654080644,1652653960644,15,10,1,[object Object]
1,21.77018200302124,10,120,60,7,1652654090644,1652653970644,15,10,1,[object Object]
1,21.149656997680665,10,120,60,7,1652654100644,1652653980644,15,10,1,[object Object]
1,22.874132999420166,10,120,60,7,1652654110644,1652653990644,15,10,1,[object Object]
1,22.466632999420167,10,120,60,7,1652654120644,1652654000644,15,10,1,[object Object]
1,22.073378997802735,10,120,60,7,1652654130644,1652654010644,15,10,1,[object Object]
1,22.207686000823976,10,120,60,7,1652654140644,1652654020644,15,10,1,[object Object]
1,22.348031997680664,10,120,60,7,1652654150644,1652654030644,15,10,1,[object Object]
1,22.006192001342775,10,120,60,7,1652654160644,1652654040644,15,10,1,[object Object]
1,24.891085998535157,10,120,60,7,1652654170644,1652654050644,15,10,1,[object Object]
1,7.3392410011291505,10,120,60,1,1652654180644,1652654060644,15,10,1,[object Object]
1,7.509415000915527,10,120,45,1,1652654190644,1652654070644,15,10,1,[object Object]
1,8.099626998901368,10,120,33.75,1,1652654200644,1652654080644,15,10,1,[object Object]
1,7.901040000915527,10,120,25.3125,1,1652654210644,1652654090644,15,10,1,[object Object]
1,7.638264999389649,10,120,18.984375,1,1652654220644,1652654100644,15,10,1,[object Object]
1,7.474684997558594,10,120,14.23828125,1,1652654230644,1652654110644,15,10,1,[object Object]
1,7.327166999816894,10,120,10.6787109375,1,1652654240644,1652654120644,15,10,1,[object Object]
1,7.7232319984436035,10,120,8.009033203125,1,1652654250644,1652654130644,15,10,1,[object Object]
1,7.9172330017089845,10,120,6.00677490234375,1,1652654260644,1652654140644,15,10,1,[object Object]
1,8.544236000061035,10,120,5,1,1652654270644,1652654150644,15,10,1,[object Object]
1,9.832937000274658,10,120,5,2,1652654280644,1652654160644,15,10,1,[object Object]
1,13.98179999923706,10,120,6.25,4,1652654290644,1652654170644,15,10,1,[object Object]
1,16.42883200073242,10,120,7.8125,4,1652654300644,1652654180644,15,10,1,[object Object]
1,14.606848999023438,10,120,9.765625,4,1652654310644,1652654190644,15,10,1,[object Object]
1,13.884754001617432,10,120,12.20703125,4,1652654320644,1652654200644,15,10,1,[object Object]
1,14.791628997802734,10,120,15.2587890625,4,1652654330644,1652654210644,15,10,1,[object Object]
1,15.382169998168946,10,120,19.073486328125,4,1652654340644,1652654220644,15,10,1,[object Object]
1,14.909557998657226,10,120,23.84185791015625,4,1652654350644,1652654230644,15,10,1,[object Object]
1,16.388863998413086,10,120,29.802322387695312,4,1652654360644,1652654240644,15,10,1,[object Object]
1,15.782506000518799,10,120,37.25290298461914,4,1652654370644,1652654250644,15,10,1,[object Object]
1,16.736005001068115,10,120,46.566128730773926,4,1652654380644,1652654260644,15,10,1,[object Object]
1,14.874513000488282,10,120,58.20766091346741,4,1652654390644,1652654270644,15,10,1,[object Object]
1,14.857375,10,120,60,4,1652654400644,1652654280644,15,10,1,[object Object]
1,14.011718997955322,10,120,60,4,1652654410644,1652654290644,15,10,1,[object Object]
1,13.19834700012207,10,120,60,4,1652654420644,1652654300644,15,10,1,[object Object]
