RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,2.760252883,0.087178425,15,30,15,10,1657539383631,1657539353631,3,3.2,8,0,1657539403803,1657539404310,1657539406540,0,4
1,2.983190744,0.242038884,15,30,15,30,1657539398631,1657539368631,3,3.2,8,0,1657539418820,1657539419320,1657539421773,1,4
1,2.944516733,0.240791233,15,30,15,30,1657539413631,1657539383631,3,3.2,8,0,1657539433814,1657539434315,1657539436737,2,4
1,2.932877744,0.27040670299999997,15,30,15,30,1657539428631,1657539398631,3,3.2,8,0,1657539448819,1657539449319,1657539451729,3,4
1,2.941342526,0.25045827800000003,15,30,15,30,1657539443631,1657539413631,3,3.2,8,0,1657539463814,1657539464314,1657539466738,4,4
1,2.965357567,0.262344109,15,30,15,30,1657539458631,1657539428631,3,3.2,8,0,1657539478820,1657539479320,1657539481762,5,4
1,2.949923943,0.230816454,15,30,15,30,1657539473631,1657539443631,3,3.2,8,0,1657539493826,1657539494330,1657539496749,6,4
1,2.9898078,0.25614456999999996,15,30,15,30,1657539488631,1657539458631,3,3.2,8,0,1657539508816,1657539509318,1657539511790,7,4
1,2.973897959,0.254992873,15,30,15,30,1657539503631,1657539473631,3,3.2,8,0,1657539523818,1657539524320,1657539526775,8,4
1,2.9808144750000003,0.253399661,15,30,15,30,1657539518631,1657539488631,3,3.2,8,0,1657539538825,1657539539325,1657539541784,9,4
1,2.97013713,0.231354984,15,30,15,30,1657539533631,1657539503631,3,3.2,8,0,1657539553828,1657539554327,1657539556774,10,4
1,2.9985002119999997,0.25886565500000003,15,30,15,30,1657539548631,1657539518631,3,3.2,8,0,1657539568831,1657539569331,1657539571805,11,4
1,2.984026257,0.274176533,15,30,15,30,1657539563631,1657539533631,3,3.2,8,0,1657539583832,1657539584332,1657539586791,12,4
1,2.9760141979999997,0.222166839,15,30,15,30,1657539578631,1657539548631,3,3.2,8,0,1657539598821,1657539599321,1657539601782,13,4
1,3.025479211,0.324308659,15,30,15,30,1657539593631,1657539563631,3,3.2,8,0,1657539613825,1657539614326,1657539616832,14,4
1,3.007726148,0.22566006300000002,15,30,15,30,1657539608631,1657539578631,3,3.2,8,0,1657539628832,1657539629332,1657539631815,15,4
1,3.006560525,0.22971145,15,30,15,30,1657539623631,1657539593631,3,3.2,8,0,1657539643828,1657539644328,1657539646817,16,4
1,2.9674466080000004,0.26228857099999997,15,30,15,30,1657539638631,1657539608631,3,3.2,8,0,1657539658832,1657539659332,1657539661778,17,4
1,2.944063599,0.23143978999999998,15,30,15,30,1657539653631,1657539623631,3,3.2,8,0,1657539673837,1657539674337,1657539676754,18,4
1,2.9879266710000003,0.250344801,15,30,15,30,1657539668631,1657539638631,3,3.2,8,0,1657539688840,1657539689343,1657539691799,19,4
1,2.961417199,0.239429281,15,30,15,30,1657539683631,1657539653631,3,3.2,8,0,1657539703836,1657539704336,1657539706775,20,4
1,2.952917047,0.245067946,15,30,15,30,1657539698631,1657539668631,3,3.2,8,0,1657539718829,1657539719330,1657539721767,21,4
1,2.951596806,0.26387849,15,30,15,30,1657539713631,1657539683631,3,3.2,8,0,1657539733830,1657539734331,1657539736766,22,4
1,2.947763363,0.258235548,15,30,15,30,1657539728631,1657539698631,3,3.2,8,0,1657539748833,1657539749336,1657539751762,23,4
1,2.942930214,0.209785789,15,30,15,30,1657539743631,1657539713631,3,3.2,8,0,1657539763842,1657539764342,1657539766763,24,4
1,2.926580206,0.24461249699999998,15,30,15,30,1657539758631,1657539728631,3,3.2,8,0,1657539778836,1657539779337,1657539781747,25,4
1,2.973268199,0.306142249,15,30,15,30,1657539773631,1657539743631,3,3.2,8,0,1657539793843,1657539794343,1657539796794,26,4
1,2.934419117,0.23188084799999997,15,30,15,30,1657539788631,1657539758631,3,3.2,8,0,1657539808843,1657539809342,1657539811756,27,4
1,2.935404899,0.271702277,15,30,15,30,1657539803631,1657539773631,3,3.2,8,0,1657539823837,1657539824337,1657539826756,28,4
1,2.959567453,0.23083893900000002,15,30,15,30,1657539818631,1657539788631,3,3.2,8,0,1657539838852,1657539839351,1657539841786,29,4
1,2.937206667,0.28068191000000003,15,30,15,30,1657539833631,1657539803631,3,3.2,8,0,1657539853843,1657539854344,1657539856764,30,4
1,2.950581374,0.26397904499999997,15,30,15,30,1657539848631,1657539818631,3,3.2,8,0,1657539868855,1657539869358,1657539871779,31,4
1,2.973516418,0.27161512,15,30,15,30,1657539863631,1657539833631,3,3.2,8,0,1657539883844,1657539884344,1657539886802,32,4
1,2.9885543429999997,0.269192228,15,30,15,30,1657539878631,1657539848631,3,3.2,8,0,1657539898845,1657539899348,1657539901816,33,4
1,2.925484547,0.263258796,15,30,15,30,1657539893631,1657539863631,3,3.2,8,0,1657539913855,1657539914355,1657539916758,34,4
1,2.980969317,0.263995773,15,30,15,30,1657539908631,1657539878631,3,3.2,8,0,1657539928851,1657539929352,1657539931813,35,4
1,2.958328697,0.24456392,15,30,15,30,1657539923631,1657539893631,3,3.2,8,0,1657539943855,1657539944359,1657539946791,36,4
1,2.965855167,0.240703014,15,30,15,30,1657539938631,1657539908631,3,3.2,8,0,1657539958851,1657539959351,1657539961799,37,4
1,2.9530029,0.22172774,15,30,15,30,1657539953631,1657539923631,3,3.2,8,0,1657539973847,1657539974347,1657539976785,38,4
1,3.0067602350000002,0.276778861,15,30,15,30,1657539968631,1657539938631,3,3.2,8,0,1657539988850,1657539989351,1657539991839,39,4
1,2.962535184,0.232669087,15,30,15,30,1657539983631,1657539953631,3,3.2,8,0,1657540003849,1657540004350,1657540006794,40,4
1,2.987182516,0.24108183700000002,15,30,15,30,1657539998631,1657539968631,3,3.2,8,0,1657540018850,1657540019350,1657540021819,41,4
1,2.93855525,0.226514496,15,30,15,30,1657540013631,1657539983631,3,3.2,8,0,1657540033850,1657540034350,1657540036773,42,4
1,2.972083775,0.256388586,15,30,15,30,1657540028631,1657539998631,3,3.2,8,0,1657540048859,1657540049362,1657540051807,43,4
1,2.964912183,0.211618046,15,30,15,30,1657540043631,1657540013631,3,3.2,8,0,1657540063863,1657540064363,1657540066805,44,4
1,2.914348407,0.266568878,15,30,15,30,1657540058631,1657540028631,3,3.2,8,0,1657540078856,1657540079357,1657540081754,45,4
1,2.9504673400000003,0.28294054799999996,15,30,15,30,1657540073631,1657540043631,3,3.2,8,0,1657540093856,1657540094356,1657540096790,46,4
1,2.9358377609999997,0.249499283,15,30,15,30,1657540088631,1657540058631,3,3.2,8,0,1657540108867,1657540109367,1657540111775,47,4
1,2.964008198,0.23357191,15,30,15,30,1657540103631,1657540073631,3,3.2,8,0,1657540123856,1657540124357,1657540126804,48,4
1,2.972831366,0.23893417,15,30,15,30,1657540118631,1657540088631,3,3.2,8,0,1657540138866,1657540139366,1657540141816,49,4
1,2.97288517,0.225198986,15,30,15,30,1657540133631,1657540103631,3,3.2,8,0,1657540153862,1657540154362,1657540156817,50,4
1,2.9647644730000002,0.205969932,15,30,15,30,1657540148631,1657540118631,3,3.2,8,0,1657540168859,1657540169360,1657540171809,51,4
1,2.975153273,0.242033098,15,30,15,30,1657540163631,1657540133631,3,3.2,8,0,1657540183861,1657540184361,1657540186820,52,4
1,2.958678426,0.24074552600000002,15,30,15,30,1657540178631,1657540148631,3,3.2,8,0,1657540198866,1657540199366,1657540201805,53,4
1,2.948300945,0.27818989800000005,15,30,15,30,1657540193631,1657540163631,3,3.2,8,0,1657540213863,1657540214363,1657540216795,54,4
1,2.888341985,0.193616183,15,30,15,30,1657540208631,1657540178631,3,3.2,8,0,1657540228878,1657540229378,1657540231740,55,4
1,2.924535586,0.23895185000000002,15,30,15,30,1657540223631,1657540193631,3,3.2,8,0,1657540243872,1657540244372,1657540246776,56,4
1,2.915088035,0.314608017,15,30,15,30,1657540238631,1657540208631,3,3.2,8,0,1657540258867,1657540259371,1657540261766,57,4
1,2.917000212,0.306584926,15,30,15,30,1657540253631,1657540223631,3,3.2,8,0,1657540273869,1657540274371,1657540276768,58,4
