RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,2.110150629,0.035710107,15,30,15,10,1658590483919,1658590453919,3,3.2,1,0,21482,241981967,1658590506574,0,4
1,2.1479475495,0.086959041,15,30,15,30,1658590498919,1658590468919,3,3.2,1,0,21497,247256586,1658590521654,1,4
1,2.1651085793333333,0.088194317,15,30,15,30,1658590513919,1658590483919,3,3.2,1,0,21512,247934068,1658590536668,2,4
1,2.1712395535,0.087431951,15,30,15,30,1658590528919,1658590498919,3,3.2,1,0,21527,253313268,1658590551664,3,4
1,2.174898606,0.091956014,15,30,15,30,1658590543919,1658590513919,3,3.2,1,0,21542,252498059,1658590566663,4,4
1,2.1907231572,0.087667142,15,30,15,30,1658590558919,1658590528919,3,3.2,1,0,21557,258558671,1658590581669,5,4
1,2.1932912536000004,0.088848488,15,30,15,30,1658590573919,1658590543919,3,3.2,1,0,21572,258360359,1658590596678,6,4
1,2.1906468882,0.08665959100000001,15,30,15,30,1658590588919,1658590558919,3,3.2,1,0,21587,263891735,1658590611671,7,4
1,2.1913050402,0.08567836300000001,15,30,15,30,1658590603919,1658590573919,3,3.2,1,0,21602,263854425,1658590626678,8,4
1,2.1916203361999997,0.08790293099999999,15,30,15,30,1658590618919,1658590588919,3,3.2,1,0,21617,264065708,1658590641676,9,4
1,2.1908315355999997,0.08642317,15,30,15,30,1658590633919,1658590603919,3,3.2,1,0,21632,264560041,1658590656671,10,4
1,2.1885341194,0.08814628299999999,15,30,15,30,1658590648919,1658590618919,3,3.2,1,0,21647,267662964,1658590671676,11,4
1,2.18959549,0.08798577,15,30,15,30,1658590663919,1658590633919,3,3.2,1,0,21662,267152952,1658590686679,12,4
1,2.1869958782,0.087749304,15,30,15,30,1658590678919,1658590648919,3,3.2,1,0,21677,270988661,1658590701672,13,4
1,2.1881072256,0.088003109,15,30,15,30,1658590693919,1658590663919,3,3.2,1,0,21692,270866082,1658590716688,14,4
1,2.1888702093999997,0.09008060500000001,15,30,15,30,1658590708919,1658590678919,3,3.2,1,0,21707,274956706,1658590731685,15,4
1,2.1895350257999997,0.086196185,15,30,15,30,1658590723919,1658590693919,3,3.2,1,0,21722,272787554,1658590746684,16,4
1,2.1886557414,0.086982728,15,30,15,30,1658590738919,1658590708919,3,3.2,1,0,21737,276471981,1658590761684,17,4
1,2.1901996996,0.086654809,15,30,15,30,1658590753919,1658590723919,3,3.2,1,0,21752,276542932,1658590776685,18,4
1,2.1891023566,0.090765931,15,30,15,30,1658590768919,1658590738919,3,3.2,1,0,21767,281081413,1658590791693,19,4
1,2.1917081734,0.087428703,15,30,15,30,1658590783919,1658590753919,3,3.2,1,0,21782,283169802,1658590806706,20,4
1,2.1942492592000002,0.087365849,15,30,15,30,1658590798919,1658590768919,3,3.2,1,0,21797,279697312,1658590821704,21,4
1,2.0420195802,0.087199178,15,30,15,30,1658590813919,1658590783919,3,3.2,1,0,21812,282503133,1658590835929,22,4
1,2.0434652580000003,0.08745449200000001,15,30,15,30,1658590828919,1658590798919,3,3.2,2,0,21827,281842157,1658590851698,23,4
