RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,HOOK_DATA_RETRIES,INIT_EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,2.1121713559999997,0.033481489,30,90,30,10,1658784216342,1658784126342,3,3.2,2,0,0,44284,116207202,1658784263976,0,4
1,2.1393757224999996,0.066366964,30,90,30,20,1658784246342,1658784156342,3,3.2,2,0,0,44314,124268521,1658784294039,1,4
1,2.155904155333333,0.09184671500000001,30,90,30,30,1658784276342,1658784186342,3,3.2,2,0,0,44344,125968102,1658784324063,2,4
1,2.17575620475,0.12385805600000001,30,90,30,40,1658784306342,1658784216342,3,3.2,2,0,0,44374,126672575,1658784354110,3,4
1,2.1879967018,0.12232445900000001,30,90,30,40,1658784336342,1658784246342,3,3.2,2,0,0,44404,121132528,1658784384106,4,4
1,2.2128454728,0.119808384,30,90,30,40,1658784366342,1658784276342,3,3.2,2,0,0,44434,128963802,1658784414113,5,4
1,2.2269796608,0.123729439,30,90,30,40,1658784396342,1658784306342,3,3.2,2,0,0,44464,124078228,1658784444109,6,4
1,2.2364775418,0.118935873,30,90,30,40,1658784426342,1658784336342,3,3.2,2,0,0,44494,130410712,1658784474115,7,4
1,2.2367226054,0.12020409,30,90,30,40,1658784456342,1658784366342,3,3.2,2,0,0,44524,124190938,1658784504109,8,4
1,2.2347669202,0.118316789,30,90,30,40,1658784486342,1658784396342,3,3.2,2,0,0,44554,125486385,1658784534101,9,4
1,2.2336114153999995,0.114561711,30,90,30,40,1658784516342,1658784426342,3,3.2,2,0,0,44584,130285522,1658784564109,10,4
1,2.2313396572000004,0.115962476,30,90,30,40,1658784546342,1658784456342,3,3.2,2,0,0,44614,131873583,1658784594106,11,4
1,2.2312102123999997,0.116388462,30,90,30,40,1658784576342,1658784486342,3,3.2,2,0,0,44644,126896330,1658784624111,12,4
1,2.2314790974,0.120890501,30,90,30,40,1658784606342,1658784516342,3,3.2,2,0,0,44674,127774074,1658784654114,13,4
1,2.2358471777999998,0.115384156,30,90,30,40,1658784636342,1658784546342,3,3.2,2,0,0,44704,132292730,1658784684129,14,4
1,2.2364794661999996,0.120371251,30,90,30,40,1658784666342,1658784576342,3,3.2,2,0,0,44734,129877620,1658784714112,15,4
1,2.2377827601999996,0.11510827,30,90,30,40,1658784696342,1658784606342,3,3.2,2,0,0,44764,129219560,1658784744110,16,4
1,2.2364806398,0.11782031000000001,30,90,30,40,1658784726342,1658784636342,3,3.2,2,0,0,44794,137842758,1658784774115,17,4
1,2.2350686658,0.119250019,30,90,30,40,1658784756342,1658784666342,3,3.2,2,0,0,44824,131141773,1658784804110,18,4
1,2.230355594,0.115484566,30,90,30,40,1658784786342,1658784696342,3,3.2,2,0,0,44854,130938599,1658784834104,19,4
1,2.2304003678,0.115084103,30,90,30,40,1658784816342,1658784726342,3,3.2,2,0,0,44884,138002667,1658784864120,20,4
1,2.2303259576000003,0.117138081,30,90,30,40,1658784846342,1658784756342,3,3.2,2,0,0,44914,140071334,1658784894120,21,4
1,2.2283993474,0.117525255,30,90,30,40,1658784876342,1658784786342,3,3.2,2,0,0,44944,134262264,1658784924102,22,4
1,2.2280796624,0.11793002699999999,30,90,30,40,1658784906342,1658784816342,3,3.2,2,0,0,44974,140927467,1658784954118,23,4
1,2.2285710162,0.116972001,30,90,30,40,1658784936342,1658784846342,3,3.2,2,0,0,45004,141348211,1658784984117,24,4
1,2.2273392686,0.116034183,30,90,30,40,1658784966342,1658784876342,3,3.2,2,0,0,45034,137338295,1658785014113,25,4
1,2.2279875936000004,0.11651169,30,90,30,40,1658784996342,1658784906342,3,3.2,2,0,0,45064,142070959,1658785044125,26,4
1,2.2289276060000005,0.11709274600000001,30,90,30,40,1658785026342,1658784936342,3,3.2,2,0,0,45094,135311792,1658785074108,27,4
1,2.2300294452,0.11797326300000001,30,90,30,40,1658785056342,1658784966342,3,3.2,2,0,0,45124,136168494,1658785104119,28,4
1,2.2296469138,0.114880021,30,90,30,40,1658785086342,1658784996342,3,3.2,2,0,0,45154,142489899,1658785134116,29,4
1,2.2306569244000003,0.116417095,30,90,30,40,1658785116342,1658785026342,3,3.2,2,0,0,45184,137656161,1658785164119,30,4
1,2.228223231,0.115214631,30,90,30,40,1658785146342,1658785056342,3,3.2,2,0,0,45214,137190335,1658785194108,31,4
1,2.2298550124000003,0.12030233200000001,30,90,30,40,1658785176342,1658785086342,3,3.2,2,0,0,45244,135991264,1658785224116,32,4
1,2.2295597338,0.117941101,30,90,30,40,1658785206342,1658785116342,3,3.2,2,0,0,45274,141802974,1658785254124,33,4
1,2.2300601594,0.115340411,30,90,30,40,1658785236342,1658785146342,3,3.2,2,0,0,45304,158377614,1658785284135,34,4
1,2.2301815605999997,0.116446034,30,90,30,40,1658785266342,1658785176342,3,3.2,2,0,0,45334,166079596,1658785314148,35,4
1,2.2309631414,0.119373716,30,90,30,40,1658785296342,1658785206342,3,3.2,2,0,0,45364,170664038,1658785344146,36,4
1,2.2310873674,0.115851468,30,90,30,40,1658785326342,1658785236342,3,3.2,2,0,0,45394,179130283,1658785374160,37,4
1,2.229499039,0.11606443799999999,30,90,30,40,1658785356342,1658785266342,3,3.2,2,0,0,45424,182187648,1658785404155,38,4
