VELOCITY,TIME_START
20,-115560
32,-108675
36,-90500
32,-82800
24,-77700
42,-73714
30,-70800
22,-70690
37,-66064
57,-51347
64,-51243
57,-50147
40,-50040
67,-42447
65,-41538
34,-36529
28,-36000
34,-33776
57,-29810
22,-27654
52,-27553
52,-26723
62,-26245
65,-21317
58,-20482
35,-17382
55,-8312
26,-7892
36,-7600
46,-5478
64,-1968
60,0
55,400
52,700
49,1200
64,1270
44,1900
46,2050
22,3000
70,3600
10,3800
39,4700
30,6000
47,8000
56,8800
43,10000
58,10500
31,12000
66,13200
40,13500
48,14100
70,15500
28,18000
36,18700
42,21000
49,21600
55,21900
61,22700
41,23900
25,25300
45,25800
46,26600
54,27900
63,29000
31,35000
39,37200
56,38100
69,40500
24,41600
36,42400
44,44200
55,45900
70,47700
47,50000
51,52000
66,52400
68,53100
54,54700
45,56900
69,58800
35,60000
40,166000
55,119218
42,124839
39,84197
43,129770
37,148526
22,78572
70,107301
40,99974
55,153496
32,116994
46,76616
27,113713
53,132705
22,67601
39,158472
49,133395
61,137615
34,149013
26,116984
56,113148
27,76172
23,91111
37,86384
65,133256
62,131274
54,139814
31,98122
58,99519
51,149740
31,94106
58,84753
27,130896
34,66452
59,125885
63,135904
69,150028
44,132675
25,121648
69,153248
30,143226
59,139040
28,76640
46,97805
26,134437
68,124383
23,110937
64,161089
29,72022
55,70412
60,163953
57,120439
35,76697
52,101266
29,107148
36,152799
47,116396
22,74602
34,156608
70,132313
51,115843
24,133590
34,103718
23,113149
23,156573
39,96690
43,113207
24,128817
58,130264
37,61707
58,98661
47,112100
50,102058
48,151572
30,60276
31,158317
