NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL
3,0,1.2633339996337891,[0;0;0],0
3,0,0.6701380004882812,[0;0;0],0
3,4,0.730715000152588,[0.133;0;0],0.044333333333333336
3,13,0.5815349998474121,[0.432;0;0],0.144
3,23,0.8027709999084472,[0.631;0.133;0],0.25466666666666665
3,35,0.6758509979248047,[0.764;0.365;0.033],0.3873333333333333
3,42,0.5331760025024415,[0.697;0.531;0.166],0.4646666666666666
3,49,0.8884450035095215,[0.764;0.531;0.332],0.5423333333333333
3,47,0.670375,[0.465;0.664;0.432],0.5203333333333333
3,46,1.6749440002441407,[0.332;0.664;0.531],0.509
3,40,0.8939949989318847,[0.1;0.531;0.697],0.4426666666666666
