NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL
1,0,1.0371799993515014,[0],0
1,0,0.8410729999542237,[0],0
1,0,0.8451020002365113,[0],0
1,0,0.8066909999847413,[0],0
1,0,0.7290570001602172,[0],0
1,0,0.7247930002212525,[0],0
1,3,0.7548920001983642,[0.093],0.093
1,9,0.9060900001525879,[0.277],0.277
1,13,0.7845510005950928,[0.405],0.405
1,17,1.045007999420166,[0.528],0.528
1,20,0.5403420000076294,[0.623],0.623
1,17,0.5970030002593995,[0.529],0.529
1,18,0.5867000007629395,[0.56],0.56
1,12,0.5393009996414184,[0.371],0.371
1,10,0.6865920000076294,[0.311],0.311
1,5,2.2330290002822877,[0.152],0.152
1,6,1.6800150003433227,[0.187],0.187
1,3,0.4946879997253418,[0.092],0.092
1,3,0.6600349998474121,[0.093],0.093
1,1,0.6547849998474121,[0.031],0.031
1,1,0.5662849998474121,[0.031],0.031
1,0,0.6816659994125366,[0],0
1,0,0.5756409997940064,[0],0
1,0,0.7066499996185303,[0],0
2,0,0.638246000289917,[0],0
2,0,1.103116000175476,[0;0],0
2,0,0.43952699947357177,[0;0],0
2,0,0.5592489995956421,[0;0],0
2,6,0.4992269992828369,[0.187;0],0.0935
2,13,0.5303709993362427,[0.405;0],0.2025
2,20,0.41590199947357176,[0.589;0.031],0.31
2,29,0.46399100017547606,[0.716;0.187],0.4515
2,30,0.5954200000762939,[0.616;0.308],0.46199999999999997
2,36,0.4118549995422363,[0.685;0.436],0.5605
2,34,0.48622900009155273,[0.557;0.495],0.526
2,34,0.4726539993286133,[0.436;0.622],0.529
2,23,0.82644700050354,[0.186;0.527],0.35650000000000004
2,20,0.7257650012969971,[0.062;0.555],0.3085
2,10,0.7459479999542237,[0.031;0.28],0.15550000000000003
2,9,0.6228150005340576,[0;0.28],0.14
2,5,0.5230240001678467,[0;0.153],0.0765
2,5,0.3599679985046387,[0;0.156],0.078
2,4,0.4816259994506836,[0.03;0.091],0.0605
2,3,0.4892559986114502,[0.03;0.061],0.0455
2,2,0.5727060012817383,[0.031;0.031],0.031
2,1,0.4645669994354248,[0;0.031],0.0155
2,0,1.5882390003204345,[0;0],0
2,0,0.6245170001983642,[0;0],0
2,0,0.6006450004577637,[0;0],0
4,0,0.5561439990997314,[0;0],0
4,0,0.3974300003051758,[0;0;0;0],0
4,4,0.5553880004882813,[0.123;0;0;0],0.03075
4,13,1.2695279998779296,[0.395;0;0;0],0.09875
4,26,0.42589299964904787,[0.614;0.184;0;0],0.1995
4,43,0.5531919994354249,[0.773;0.433;0.124;0],0.3325
4,54,0.5751000003814697,[0.647;0.585;0.339;0.092],0.41575
4,69,0.5704810009002685,[0.685;0.716;0.529;0.218],0.537
4,70,0.5322030010223389,[0.517;0.669;0.577;0.365],0.532
4,70,0.5470149993896485,[0.405;0.716;0.591;0.467],0.54475
4,55,0.4474680004119873,[0.123;0.491;0.552;0.522],0.422
