NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA
1,0,45.636152000427245,[0],0,8,32
1,0,8.02803600025177,[0],0,8,32
1,0,47.880982000350954,[0],0,8,32
1,0,11.472104999542236,[0],0,8,32
1,0,13.06794099998474,[0],0,8,32
1,0,16.576866000175475,[0],0,8,32
1,3,12.1136890001297,[0.093],0.093,8,32
1,6,15.021415999412536,[0.187],0.187,8,32
1,10,15.013914999961854,[0.311],0.311,8,32
1,14,15.695223999977111,[0.436],0.436,8,32
1,17,15.388781999588012,[0.529],0.529,8,32
1,20,18.74181299972534,[0.621],0.621,8,32
1,18,16.212258999824524,[0.561],0.561,8,32
1,17,17.759331000328064,[0.529],0.529,8,32
1,13,16.529467999458312,[0.405],0.405,8,32
1,10,16.816876000404356,[0.311],0.311,8,32
1,9,18.0240670003891,[0.28],0.28,8,32
1,6,20.85831599998474,[0.187],0.187,8,32
1,5,19.208073999404906,[0.156],0.156,8,32
1,3,22.928921999931337,[0.093],0.093,8,32
1,3,22.65403100013733,[0.093],0.093,8,32
1,1,18.548862000465395,[0.031],0.031,8,32
1,1,26.004273999214174,[0.031],0.031,8,32
1,0,19.791262000083922,[0],0,8,32
1,0,21.3598109998703,[0],0,8,32
1,0,24.904059999465943,[0],0,8,32
2,0,21.590365999221802,[0],0,8,32
2,0,37.217935000419615,[0;0],0,8,32
2,0,35.468348000526426,[0;0],0,8,32
2,0,47.27892399978638,[0;0],0,8,32
2,4,53.98105599975586,[0.125;0],0.0625,8,32
2,12,48.418560998916625,[0.374;0],0.187,8,32
2,17,51.0032140007019,[0.529;0],0.2645,8,32
2,22,46.31352899932861,[0.591;0.093],0.34199999999999997,8,32
2,27,56.721927000045774,[0.623;0.218],0.4205,8,32
2,32,64.52397399902344,[0.653;0.342],0.49750000000000005,8,32
2,35,51.196418998718265,[0.654;0.436],0.545,8,32
2,32,54.328625,[0.498;0.498],0.498,8,32
2,33,72.13464500045777,[0.373;0.653],0.513,8,32
2,23,60.85202800178528,[0.187;0.529],0.358,8,32
2,20,66.00876099967957,[0.062;0.56],0.31100000000000005,8,32
2,14,73.36250699996948,[0.062;0.374],0.218,8,32
2,11,68.22721500015258,[0;0.342],0.171,8,32
2,4,67.02998999977112,[0;0.124],0.062,8,32
2,5,66.55455900001526,[0;0.156],0.078,8,32
2,3,79.18559000015259,[0;0.093],0.0465,8,32
2,4,75.43905999946594,[0.031;0.093],0.062,8,32
2,3,78.39994899940491,[0.031;0.062],0.0465,8,32
2,2,82.50471199989319,[0.031;0.031],0.031,8,32
2,1,189.22295000076295,[0;0.031],0.0155,8,32
2,0,70.36365099906921,[0;0],0,8,32
2,0,79.620827999115,[0;0],0,8,32
2,0,79.44647200012207,[0;0],0,8,32
4,0,83.7135359992981,[0;0],0,8,32
4,0,162.86303099823,[0;0;0;0],0,8,32
4,2,181.66730999946594,[0.062;0;0;0],0.0155,8,32
4,9,192.53253800010683,[0.28;0;0;0],0.07,8,32
4,23,193.29208799934386,[0.56;0.156;0;0],0.17900000000000002,8,32
4,42,214.89639900016783,[0.809;0.405;0.093;0],0.32675,8,32
4,54,287.5561850013733,[0.62;0.651;0.31;0.093],0.4185,8,32
4,65,220.81825,[0.716;0.685;0.436;0.187],0.506,8,32
4,68,242.5083179988861,[0.529;0.685;0.592;0.311],0.52925,8,32
4,71,244.79864999961853,[0.498;0.685;0.591;0.436],0.5525,8,32
4,55,224.4379200000763,[0.125;0.498;0.591;0.498],0.428,8,32
4,54,263.77589599990847,[0.062;0.405;0.56;0.654],0.42025,8,32
4,38,266.14890200042726,[0.031;0.124;0.467;0.56],0.2955,8,32
4,29,283.8693840007782,[0;0.062;0.342;0.498],0.2255,8,32
4,18,291.934813999176,[0;0.031;0.218;0.311],0.14,8,32
4,13,276.2153980007172,[0;0;0.125;0.28],0.10125,8,32
4,7,652.2230760002136,[0;0;0.062;0.156],0.0545,8,32
4,5,309.1481219997406,[0;0;0.031;0.124],0.03875,8,32
4,4,313.7888409996033,[0;0.031;0;0.093],0.031,8,32
4,3,218.25988600158692,[0;0.031;0;0.062],0.02325,8,32
4,2,285.8314230003357,[0;0.031;0;0.031],0.0155,8,32
4,1,320.1586219997406,[0;0;0;0.031],0.00775,8,32
4,0,321.826125,[0;0;0;0],0,8,32
4,0,443.34260799980166,[0;0;0;0],0,8,32
8,0,116.3153309993744,[0;0;0;0;0;0;0;0],0,8,32
8,4,180.75872199821472,[0.124;0;0;0;0;0;0;0],0.0155,8,32
8,17,161.68313699913026,[0.373;0.156;0;0;0;0;0;0],0.066125,8,32
8,40,185.54444000053405,[0.622;0.435;0.187;0;0;0;0;0],0.1555,8,32
