NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA
4,0,1.3180889987945557,[0;0;0;0],0,8,1
4,0,0.8144490013122558,[0;0;0;0],0,8,1
4,0,0.6476070003509522,[0;0;0;0],0,8,1
4,0,1.0030570011138915,[0;0;0;0],0,8,1
4,0,0.5256340007781982,[0;0;0;0],0,8,1
4,0,0.502847999572754,[0;0;0;0],0,8,1
4,0,0.5273939990997314,[0;0;0;0],0,8,1
4,1,0.46170299911499024,[0;0;0;0.64],0.16,8,1
4,0,0.43794300079345705,[0;0;0;0],0,8,1
4,3,0.5916800003051758,[0.673;0;1.347;0],0.505,8,1
4,0,0.38467399978637695,[0;0;0;0],0,8,1
4,0,0.41339499855041506,[0;0;0;0],0,8,1
4,0,0.5671560001373291,[0;0;0;0],0,8,1
4,0,0.4906300010681152,[0;0;0;0],0,8,1
4,0,0.5811499996185303,[0;0;0;0],0,8,1
4,0,0.409015998840332,[0;0;0;0],0,8,1
4,0,1.0626119995117187,[0;0;0;0],0,8,1
4,0,0.3894969997406006,[0;0;0;0],0,8,1
4,0,0.8618360004425049,[0;0;0;0],0,8,1
4,0,0.4765380001068115,[0;0;0;0],0,8,1
4,0,0.5545970001220704,[0;0;0;0],0,8,1
4,0,0.4913819999694824,[0;0;0;0],0,8,1
4,0,2.6197919998168944,[0;0;0;0],0,8,1
4,0,0.39585400009155275,[0;0;0;0],0,8,1
4,0,0.4024610004425049,[0;0;0;0],0,8,2
4,0,0.5271029987335205,[0;0;0;0],0,8,2
4,0,0.40217999839782714,[0;0;0;0],0,8,2
4,2,0.37995899963378904,[0.876;0;0;0],0.219,8,2
4,2,0.3808970012664795,[0.344;0.344;0;0],0.172,8,2
4,0,0.3681160011291504,[0;0;0;0],0,8,2
4,1,0.5253849983215332,[0;0;0;0.441],0.11025,8,2
4,5,0.5375409965515137,[0.605;0.605;0;0.303],0.37825,8,2
4,0,0.5584619979858398,[0;0;0;0],0,8,2
4,1,0.5563450012207031,[0;0;0;0.394],0.0985,8,2
4,5,0.503906997680664,[0;0;0.365;1.46],0.45625,8,2
4,1,0.5385900001525878,[0;0;0.365;0],0.09125,8,2
4,1,0.6792559967041015,[0;0;0;0.336],0.084,8,2
4,1,0.5247980003356933,[0;0;0;0.307],0.07675,8,2
4,0,0.5982230033874512,[0;0;0;0],0,8,2
4,0,0.5555260009765625,[0;0;0;0],0,8,2
4,0,0.39991499710083006,[0;0;0;0],0,8,2
4,1,0.506120002746582,[0;0;0;0.466],0.1165,8,2
4,0,0.447359001159668,[0;0;0;0],0,8,2
4,0,0.4410270004272461,[0;0;0;0],0,8,2
4,0,0.3375620002746582,[0;0;0;0],0,8,2
4,0,0.7637410011291504,[0;0;0;0],0,8,2
4,0,0.8080989990234375,[0;0;0;0],0,8,2
4,0,0.35486199951171876,[0;0;0;0],0,8,4
4,0,0.7188660011291504,[0;0;0;0],0,8,4
4,4,0.4235490036010742,[0.84;0;0;0],0.21,8,4
4,4,0.4505510025024414,[0.218;0.655;0;0],0.21825,8,4
4,13,0.40256099700927733,[0.975;1.17;0.39;0],0.63375,8,4
4,7,0.520507999420166,[0.223;0.223;0.891;0.223],0.39,8,4
4,4,0.4135540008544922,[0.243;0.243;0.243;0.243],0.243,8,4
4,8,0.4400709991455078,[0.185;0.555;0.37;0.37],0.37,8,4
4,8,0.361023998260498,[0.199;0.397;0.596;0.397],0.39725000000000005,8,4
4,9,0.6274720001220703,[0;0;0.967;1.209],0.544,8,4
4,2,0.35761199951171874,[0;0;0.233;0.233],0.1165,8,4
4,1,0.4659720001220703,[0;0;0;0.198],0.0495,8,4
4,1,0.5820660018920898,[0;0;0;0.186],0.0465,8,4
4,0,0.5128120002746582,[0;0;0;0],0,8,4
4,1,0.518254997253418,[0;0;0;0.243],0.06075,8,4
