NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA
32,0,204.5541240005493,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0,8,32
32,0,204.5541240005493,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0,8,32
32,301,217.5300380001068,[0.344;0.375;0.219;0.281;0.344;0.375;0.344;0.375;0.281;0.281;0.563;0.531;0.375;0.406;0.344;0.281;0.219;0.156;0.188;0.344;0.344;0.344;0.375;0.188;0.281;0.219;0.125;0.188;0.156;0.188;0.156;0.219],0.29403125,8,32
32,628,236.1679449996948,[0.688;0.656;0.531;0.531;0.688;0.625;0.625;0.688;0.75;0.719;0.938;0.906;0.813;0.75;0.813;0.813;0.625;0.5;0.563;0.563;0.531;0.438;0.688;0.656;0.563;0.594;0.344;0.469;0.406;0.406;0.375;0.375],0.6134375000000002,8,32
32,954,234.0710259990692,[0.969;1.063;0.875;0.75;0.938;0.969;1;0.969;0.969;1;1.281;1.25;1.156;1.156;1.188;1.25;1.156;0.719;1;1.125;1;0.781;0.813;0.875;0.75;0.781;0.719;0.656;0.719;0.656;0.563;0.719],0.9317187499999999,8,32
32,1305,262.8222400016785,[1.375;1.406;1.156;1.188;1.375;1.375;1.219;1.25;1.219;1.375;1.563;1.531;1.469;1.5;1.469;1.469;1.5;1.344;1.5;1.531;1.313;1.219;1.344;1.406;1.125;1.031;0.906;0.906;1.031;0.969;0.781;0.938],1.27446875,8,32
32,1349,241.66378100013733,[1.281;1.281;1.344;1.25;1.406;1.375;1.344;1.344;1.281;1.281;1.188;1.281;1.344;1.375;1.375;1.5;1.531;1.5;1.594;1.469;1.438;1.313;1.469;1.625;1.188;1.313;1.313;1;1.219;1.031;0.906;1],1.3174687500000002,8,32
32,1376,510.79922900009154,[1.281;1.313;1.344;1.313;1.406;1.469;1.375;1.375;1.25;1.219;1.219;1.219;1.25;1.313;1.156;1.188;1.438;1.438;1.438;1.531;1.563;1.531;1.469;1.656;1.375;1.375;1.531;1.188;1.313;1.219;1.063;1.188],1.3439375,8,32
32,1399,242.5105419998169,[1.344;1.156;1.375;1.375;1.5;1.406;1.344;1.375;1.313;1.313;1.156;1.25;1.281;1.156;1.188;1.094;1.25;1.563;1.219;1.313;1.406;1.438;1.656;1.719;1.688;1.531;1.469;1.313;1.375;1.406;1.375;1.375],1.3663125,8,32
32,1396,263.4552560005188,[1.281;1.188;1.531;1.313;1.344;1.406;1.469;1.375;1.406;1.188;1.25;1.25;1.344;1.25;1.094;1.188;1.25;1.313;1.125;1.313;1.375;1.438;1.344;1.469;1.531;1.625;1.625;1.469;1.531;1.406;1.531;1.406],1.363375,8,32
32,1382,260.7162890014648,[1.375;1.25;1.344;1.219;1.281;1.375;1.438;1.25;1.344;1.5;1.25;1.25;1.344;1.188;1.188;1.125;1.375;1.313;1.094;1.219;1.25;1.344;1.281;1.5;1.625;1.438;1.406;1.406;1.531;1.5;1.563;1.625],1.3497187499999999,8,32
32,1365,240.36189599990846,[1.344;1.219;1.438;1.313;1.313;1.313;1.375;1.188;1.25;1.219;1.281;1.281;1.438;1.344;1.375;1.219;1.313;1.281;1.219;1.219;1.313;1.281;1.219;1.156;1.438;1.344;1.313;1.438;1.563;1.531;1.594;1.531],1.3332187500000003,8,32
32,1332,247.88369000053405,[1.281;1.313;1.344;1.281;1.344;1.438;1.563;1.281;1.219;1.188;1.156;1.188;1.219;1.313;1.313;1.188;1.469;1.281;1.313;1.219;1.281;1.313;1.25;1.188;1.188;1.219;1.25;1.406;1.375;1.438;1.281;1.531],1.3009687499999998,8,32
32,1292,244.2879589996338,[1.219;1.219;1.188;1.219;1.406;1.281;1.469;1.313;1.406;1.344;1.219;1.313;1.188;1.156;1.281;1;1.313;1.188;1.313;1.188;1.469;1.25;1.344;1.125;1.313;1.188;1.125;1.156;1.125;1.375;1.188;1.5],1.2619062499999998,8,32
32,1247,272.5488229999542,[1.219;1.125;1.375;1.281;1.281;1.156;1.281;1.344;1.375;1.094;1.344;1.313;1.375;1.344;1.313;1.094;1.188;0.969;1.188;1.188;1.375;1.156;1.156;1.063;1.344;1.344;1;1.188;1.125;1.219;1.031;1.125],1.21790625,8,32
32,1233,236.73104000091553,[1.156;1.219;1.281;1.125;1.25;1.219;1.313;1.344;1.375;1.344;1.156;1.344;1.375;1.25;1.094;1.156;1.313;1.063;1.219;1.313;1.219;1;1.125;1.188;1.313;1.188;1.094;1.188;1.125;1.125;0.906;1.156],1.2042499999999998,8,32
