NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA
1,2,200.8696360015869,[0.062],0.062,8,32
1,8,10.075975997924804,[0.249],0.249,8,32
1,8,47.62746600341797,[0.249],0.249,8,32
1,8,16.205163009643556,[0.249],0.249,8,32
1,11,12.623100997924805,[0.342],0.342,8,32
1,9,13.153349014282227,[0.28],0.28,8,32
1,10,16.59287600708008,[0.311],0.311,8,32
1,14,13.089761001586915,[0.435],0.435,8,32
1,14,15.606320999145508,[0.435],0.435,8,32
1,18,20.50879000854492,[0.56],0.56,8,32
1,19,16.382272994995116,[0.591],0.591,8,32
1,25,15.756688995361328,[0.777],0.777,8,32
1,23,16.149412994384765,[0.715],0.715,8,32
1,24,21.266585006713868,[0.746],0.746,8,32
1,21,24.557643997192383,[0.653],0.653,8,32
1,17,16.861093002319336,[0.528],0.528,8,32
1,18,15.514748001098633,[0.56],0.56,8,32
1,14,15.202848007202148,[0.435],0.435,8,32
1,14,17.045276992797852,[0.435],0.435,8,32
1,13,23.30468099975586,[0.404],0.404,8,32
1,13,25.341664001464842,[0.404],0.404,8,32
1,13,18.443126007080078,[0.404],0.404,8,32
1,18,19.556407989501952,[0.56],0.56,8,32
1,23,22.613192001342775,[0.715],0.715,8,32
1,28,20.574809997558592,[0.87],0.87,8,32
1,29,20.886886001586912,[0.902],0.902,8,32
1,30,20.473975997924803,[0.933],0.933,8,32
1,24,26.88607600402832,[0.747],0.747,8,32
1,20,25.539302001953125,[0.622],0.622,8,32
1,15,27.578675003051757,[0.466],0.466,8,32
1,11,20.18797799682617,[0.342],0.342,8,32
1,12,21.453332000732424,[0.373],0.373,8,32
2,3,56.84622399902344,[0.062;0.031],0.0465,8,32
2,15,28.880753997802735,[0.218;0.249],0.23349999999999999,8,32
2,17,22.55711099243164,[0.28;0.249],0.2645,8,32
2,24,27.2267440032959,[0.466;0.28],0.373,8,32
2,27,25.818850006103517,[0.497;0.342],0.4195,8,32
2,29,33.27682000732422,[0.622;0.28],0.451,8,32
2,37,32.514236999511716,[0.777;0.373],0.575,8,32
2,36,34.85460299682617,[0.684;0.435],0.5595,8,32
2,44,30.173158004760744,[0.87;0.497],0.6835,8,32
2,39,31.504848999023437,[0.653;0.56],0.6065,8,32
2,43,43.14328500366211,[0.715;0.622],0.6685,8,32
2,46,35.111713989257815,[0.684;0.746],0.7150000000000001,8,32
2,39,32.70924699401856,[0.497;0.715],0.606,8,32
2,39,43.12664700317383,[0.466;0.746],0.606,8,32
2,34,40.350511001586916,[0.404;0.653],0.5285,8,32
2,26,42.14333399963379,[0.311;0.497],0.404,8,32
2,31,43.0194940032959,[0.404;0.56],0.48200000000000004,8,32
2,32,50.408266006469724,[0.56;0.435],0.49750000000000005,8,32
2,31,71.77544500732422,[0.527;0.434],0.48050000000000004,8,32
2,38,48.299947998046875,[0.839;0.342],0.5905,8,32
2,40,51.239702987670896,[0.839;0.404],0.6214999999999999,8,32
2,46,54.193837997436525,[0.995;0.435],0.715,8,32
2,48,52.65821900939942,[0.933;0.56],0.7465,8,32
2,51,53.243225006103515,[0.808;0.777],0.7925,8,32
2,51,53.33095100402832,[0.715;0.871],0.7929999999999999,8,32
2,48,76.06554100036621,[0.653;0.839],0.746,8,32
2,51,62.95595600891113,[0.653;0.933],0.793,8,32
