NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA
4,1,73.46238999938964,[0;0;0.848;0],0.212,8,1
4,0,61.570669998168945,[0;0;0;0],0,8,1
4,0,46.56491500854492,[0;0;0;0],0,8,1
4,0,42.37146499633789,[0;0;0;0],0,8,1
4,0,49.093122009277344,[0;0;0;0],0,8,1
4,0,59.001546005249025,[0;0;0;0],0,8,1
4,0,56.46606199645996,[0;0;0;0],0,8,1
4,1,71.36862100219727,[0.864;0;0;0],0.216,8,1
4,0,63.92043899536133,[0;0;0;0],0,8,1
4,0,70.37459700012207,[0;0;0;0],0,8,1
4,0,85.03897900390625,[0;0;0;0],0,8,1
4,0,82.43683699035644,[0;0;0;0],0,8,1
4,0,93.2475,[0;0;0;0],0,8,1
4,0,119.6969640045166,[0;0;0;0],0,8,1
4,0,109.00875,[0;0;0;0],0,8,1
4,0,97.34824699401855,[0;0;0;0],0,8,1
4,2,124.24761399841309,[0.859;0;0.859;0],0.4295,8,1
4,0,285.17432499694826,[0;0;0;0],0,8,1
4,0,118.63275999450684,[0;0;0;0],0,8,1
4,0,119.51052499389648,[0;0;0;0],0,8,1
4,0,151.9052989959717,[0;0;0;0],0,8,1
4,0,140.7697080078125,[0;0;0;0],0,8,1
4,2,142.31897300720215,[0.88;0;0.88;0],0.44,8,1
4,1,152.26775698852538,[0;0;0.86;0],0.215,8,1
4,0,177.64372698974609,[0;0;0;0],0,8,1
4,0,180.30649600219726,[0;0;0;0],0,8,1
4,0,189.62724099731446,[0;0;0;0],0,8,1
4,0,198.30683000183106,[0;0;0;0],0,8,1
4,0,140.146862991333,[0;0;0;0],0,8,1
4,0,251.75626298522948,[0;0;0;0],0,8,1
4,0,184.830703994751,[0;0;0;0],0,8,1
4,0,205.50247399902344,[0;0;0;0],0,8,1
4,4,66.90011000061035,[0;0.239;0.239;0.479],0.23925,8,4
4,6,64.86133500671387,[0.479;0.239;0;0.718],0.359,8,4
4,6,37.72305999755859,[0.482;0.241;0.723;0],0.3615,8,4
4,8,43.20799800109863,[0.72;0.96;0;0.24],0.48,8,4
4,6,49.81129899597168,[0.962;0.481;0;0],0.36075,8,4
4,10,60.04975700378418,[1.686;0;0.722;0],0.602,8,4
4,10,70.35887800598144,[0.48;1.199;0.719;0],0.5995,8,4
4,10,67.72365299987793,[0.955;0.477;0.716;0.239],0.5967499999999999,8,4
4,5,80.9406660003662,[0.24;0.481;0.24;0.24],0.30025,8,4
4,3,69.93675700378418,[0.24;0;0.481;0],0.18025,8,4
4,13,82.90814199829101,[0.716;0.954;0.716;0.716],0.7755000000000001,8,4
4,14,76.269512008667,[0.479;0.479;0.959;1.438],0.8387499999999999,8,4
4,3,91.53396000671387,[0.241;0;0.241;0.241],0.18075,8,4
4,6,110.52351100158691,[1.19;0;0.238;0],0.357,8,4
4,9,112.99803500366211,[0.719;0.719;0.48;0.24],0.5395,8,4
4,1,98.61269499206543,[0.24;0;0;0],0.06,8,4
4,4,110.87175801086426,[0.479;0.24;0.24;0],0.23975,8,4
4,2,118.39992098999024,[0.241;0.241;0;0],0.1205,8,4
4,3,125.28747799682617,[0.48;0.24;0;0],0.18,8,4
4,9,132.14862600708008,[0.478;1.196;0.478;0],0.538,8,4
4,3,121.79660900878906,[0.24;0.24;0.24;0],0.18,8,4
4,10,148.7028390045166,[0.48;0.96;0.72;0.24],0.6000000000000001,8,4
4,8,157.8125240020752,[0.479;0.479;0.479;0.479],0.479,8,4
4,7,155.81828700256347,[0.481;0.241;0.241;0.722],0.42125,8,4
4,4,159.22436100769042,[0.239;0;0;0.718],0.23925,8,4
4,5,213.07575201416014,[0;0.959;0.24;0],0.29974999999999996,8,4
4,2,168.02940998840333,[0;0;0.24;0.24],0.12,8,4
4,2,167.50683699035645,[0;0;0.242;0.242],0.121,8,4
