NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA
4,0,28.25873500061035,[0;0;0;0],0,8,1024
4,35,22.06177099609375,[0.006;0.012;0.009;0.008],0.00875,8,1024
4,73,23.93374099731445,[0.016;0.025;0.018;0.013],0.018,8,1024
4,111,20.9444169921875,[0.025;0.035;0.029;0.019],0.027000000000000003,8,1024
4,146,23.71250099182129,[0.034;0.041;0.04;0.027],0.035500000000000004,8,1024
4,198,24.661412994384765,[0.046;0.052;0.056;0.04],0.0485,8,1024
4,231,24.331794006347657,[0.054;0.06;0.058;0.055],0.056749999999999995,8,1024
4,281,26.275018997192383,[0.064;0.073;0.068;0.068],0.06825,8,1024
4,316,27.648679000854493,[0.074;0.084;0.08;0.07],0.077,8,1024
4,352,28.54106100463867,[0.082;0.094;0.091;0.077],0.08600000000000001,8,1024
4,393,29.389077011108398,[0.092;0.107;0.102;0.083],0.096,8,1024
4,436,28.012994995117186,[0.099;0.116;0.113;0.098],0.10650000000000001,8,1024
4,487,30.853893005371095,[0.117;0.125;0.127;0.106],0.11875,8,1024
4,522,31.08083399963379,[0.124;0.132;0.14;0.114],0.1275,8,1024
4,577,31.865335998535155,[0.137;0.146;0.147;0.133],0.14075000000000001,8,1024
4,623,30.74439599609375,[0.144;0.165;0.152;0.147],0.152,8,1024
4,663,32.81612300109863,[0.156;0.171;0.163;0.157],0.16175,8,1024
4,713,33.11956100463867,[0.169;0.181;0.183;0.164],0.17425,8,1024
4,750,34.3209049987793,[0.179;0.19;0.191;0.172],0.183,8,1024
4,788,35.365261001586916,[0.187;0.197;0.203;0.183],0.1925,8,1024
4,833,38.04480299377441,[0.196;0.213;0.21;0.194],0.20325,8,1024
4,878,35.18720399475097,[0.21;0.221;0.216;0.211],0.2145,8,1024
4,912,35.95019500732422,[0.221;0.225;0.228;0.218],0.223,8,1024
4,958,38.32610700988769,[0.234;0.235;0.238;0.228],0.23374999999999999,8,1024
4,992,35.7866190032959,[0.239;0.245;0.248;0.236],0.242,8,1024
4,1037,37.18549501037597,[0.252;0.258;0.255;0.248],0.25325,8,1024
4,1068,40.128311004638675,[0.261;0.264;0.265;0.254],0.261,8,1024
4,1118,49.32284300231934,[0.271;0.276;0.28;0.265],0.273,8,1024
4,1154,40.80499000549317,[0.282;0.286;0.288;0.271],0.28174999999999994,8,1024
4,1201,44.817455993652345,[0.291;0.296;0.3;0.286],0.29325,8,1024
4,1239,54.57901599121094,[0.304;0.3;0.308;0.299],0.30274999999999996,8,1024
4,1277,49.28231300354004,[0.31;0.309;0.322;0.307],0.312,8,1024
4,1322,54.48675999450683,[0.322;0.322;0.328;0.318],0.3225,8,1024
4,1364,50.14074598693848,[0.336;0.333;0.335;0.328],0.333,8,1024
4,1402,47.90450700378418,[0.343;0.34;0.343;0.344],0.3425,8,1024
4,1450,48.855199996948244,[0.354;0.35;0.361;0.352],0.35424999999999995,8,1024
4,1486,50.89421099853516,[0.365;0.359;0.365;0.361],0.3625,8,1024
4,1529,58.60215800476074,[0.375;0.371;0.379;0.368],0.37324999999999997,8,1024
4,1579,69.3926609954834,[0.385;0.384;0.388;0.386],0.38575000000000004,8,1024
4,1625,65.83538200378418,[0.396;0.393;0.404;0.395],0.397,8,1024
4,1662,63.14503700256348,[0.402;0.4;0.416;0.404],0.40549999999999997,8,1024
4,1710,59.53763400268555,[0.414;0.415;0.428;0.413],0.4175,8,1024
4,1752,73.55871099853516,[0.427;0.421;0.434;0.43],0.428,8,1024
4,1806,56.651740997314455,[0.438;0.434;0.447;0.445],0.441,8,1024
4,1835,64.79785099792481,[0.444;0.442;0.454;0.451],0.44775000000000004,8,1024
4,1876,69.11850799560547,[0.457;0.452;0.465;0.458],0.458,8,1024
4,1913,64.22533399963379,[0.466;0.459;0.476;0.468],0.46725,8,1024
4,1956,60.437343994140626,[0.48;0.468;0.485;0.477],0.4774999999999999,8,1024
4,1989,73.00539100646972,[0.489;0.477;0.492;0.484],0.4855,8,1024
