NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA
16,0,108.032952999115,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0,8,32
16,60,118.17259099960327,[0.156;0.063;0.188;0.125;0.188;0.125;0.156;0.156;0.031;0.188;0.063;0.125;0.031;0.063;0.125;0.094],0.11731249999999997,8,32
16,228,131.1442849998474,[0.531;0.375;0.594;0.5;0.469;0.625;0.656;0.563;0.281;0.406;0.469;0.469;0.313;0.344;0.25;0.281],0.44537499999999997,8,32
16,386,113.44056399917602,[0.875;0.625;0.875;0.781;0.875;1.063;0.938;0.969;0.688;0.813;0.625;0.719;0.656;0.531;0.5;0.531],0.7540000000000001,8,32
16,532,140.73408800125122,[1.219;0.844;1.094;1.125;1.094;1.281;1.25;1.406;1.063;1.156;1.094;0.938;0.844;0.813;0.656;0.75],1.0391875000000002,8,32
16,632,134.76658100128174,[1.406;1.188;1.25;1.25;1.219;1.438;1.406;1.531;1.406;1.406;1.25;1.375;1;0.906;0.844;0.875],1.234375,8,32
16,648,144.47721799850464,[1.375;1.156;1.219;1.219;1.313;1.188;1.094;1.344;1.469;1.563;1.406;1.406;1.313;1.188;1;1],1.2658125,8,32
16,647,139.58369200134277,[1.25;1.25;1.25;1.188;1.188;1.094;1.125;1.125;1.281;1.344;1.594;1.5;1.25;1.438;1.25;1.094],1.2638125,8,32
16,659,127.49040600204468,[1.25;1.406;1.344;1.188;1.281;1.094;1.094;1.031;1.25;1.281;1.188;1.594;1.469;1.5;1.219;1.406],1.2871875000000002,8,32
16,667,138.5580250015259,[1.156;1.344;1.313;1.344;1.281;1.188;1.063;1.094;1.219;1.156;1.313;1.281;1.563;1.625;1.406;1.5],1.302875,8,32
16,623,127.594422000885,[1.094;1.219;1.094;1.313;1.25;1.219;1.063;1.031;1.281;0.938;1.031;1.219;1.281;1.438;1.469;1.531],1.2169375000000002,8,32
16,637,138.1646859970093,[1.188;1.313;1.219;1.281;1.219;1.219;1.156;1.313;1.313;1.063;1;1.094;1.188;1.281;1.469;1.594],1.2443750000000002,8,32
16,626,132.8347329978943,[1.25;1.281;1.313;1.375;1.156;1.219;1.063;1.219;1.438;1.156;1.125;1.094;0.969;1.094;1.469;1.344],1.2228125,8,32
16,596,137.21262900161744,[1.25;1.094;1.313;1.25;1.313;1.156;1.094;0.969;1.25;1.156;1.188;1.063;1;0.969;1.188;1.375],1.16425,8,32
16,622,122.28872200012206,[1.281;1.25;1.406;1.344;1.281;1.313;1.313;1.25;1.156;1.125;1.219;1.094;1.156;1;1.156;1.094],1.214875,8,32
16,617,132.7999939994812,[1.25;1.094;1.406;1.344;1.281;1.125;1.281;1.125;1.219;1.25;1.281;1.094;1.188;1.094;1.094;1.156],1.205125,8,32
32,617,132.7999939994812,[1.25;1.094;1.406;1.344;1.281;1.125;1.281;1.125;1.219;1.25;1.281;1.094;1.188;1.094;1.094;1.156],1.205125,8,32
