NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA
4,0,36.24426100158691,[0;0;0;0],0,8,10000
4,20,31.7914760055542,[0.001;0.001;0.001;0],0.00075,8,10000
4,66,37.523166999816894,[0.002;0.002;0.002;0.001],0.00175,8,10000
4,105,37.069484001159665,[0.003;0.004;0.002;0.002],0.0027500000000000003,8,10000
4,140,28.828404006958007,[0.004;0.005;0.003;0.002],0.0035,8,10000
4,179,40.623917999267576,[0.005;0.006;0.005;0.003],0.00475,8,10000
4,224,30.58536700439453,[0.006;0.006;0.006;0.004],0.0055000000000000005,8,10000
4,257,31.621987998962403,[0.007;0.007;0.007;0.005],0.006500000000000001,8,10000
4,302,34.4884760055542,[0.008;0.008;0.008;0.006],0.0075,8,10000
4,353,37.47211199951172,[0.009;0.01;0.009;0.008],0.009,8,10000
4,382,37.82741600036621,[0.01;0.01;0.01;0.008],0.0095,8,10000
4,424,33.21287999725342,[0.01;0.011;0.011;0.01],0.0105,8,10000
4,459,43.81535400390625,[0.012;0.012;0.012;0.011],0.01175,8,10000
4,496,48.7662260055542,[0.013;0.013;0.013;0.011],0.0125,8,10000
4,533,33.92170300292969,[0.014;0.014;0.014;0.012],0.013500000000000002,8,10000
4,573,38.84291400146484,[0.015;0.015;0.015;0.013],0.014499999999999999,8,10000
4,607,41.848646995544435,[0.015;0.015;0.016;0.014],0.015,8,10000
4,648,38.68992999267578,[0.016;0.017;0.017;0.015],0.01625,8,10000
4,689,41.90393899536133,[0.017;0.017;0.018;0.016],0.017,8,10000
4,723,46.67977100372315,[0.018;0.018;0.019;0.017],0.018,8,10000
4,763,39.23271800231934,[0.019;0.019;0.02;0.018],0.019,8,10000
4,807,46.20307699584961,[0.021;0.02;0.021;0.019],0.02025,8,10000
4,835,46.069789993286136,[0.021;0.021;0.022;0.019],0.02075,8,10000
4,876,42.499156997680664,[0.022;0.022;0.023;0.021],0.022000000000000002,8,10000
4,921,46.63332600402832,[0.023;0.023;0.024;0.022],0.023,8,10000
4,950,55.001875,[0.024;0.023;0.025;0.022],0.0235,8,10000
4,993,45.91075300598145,[0.025;0.024;0.026;0.024],0.02475,8,10000
4,1041,57.24931900024414,[0.026;0.025;0.028;0.025],0.026000000000000002,8,10000
4,1075,51.43202100372314,[0.028;0.026;0.028;0.026],0.027,8,10000
4,1116,52.55683499908447,[0.029;0.027;0.029;0.027],0.028,8,10000
4,1156,53.02342600250244,[0.03;0.029;0.03;0.028],0.029249999999999998,8,10000
4,1201,60.93920300292969,[0.03;0.03;0.031;0.029],0.03,8,10000
4,1237,54.65270899963379,[0.032;0.031;0.032;0.029],0.031,8,10000
4,1284,59.17182200622558,[0.032;0.032;0.034;0.031],0.03225,8,10000
4,1317,58.430455993652345,[0.033;0.032;0.035;0.032],0.033,8,10000
4,1355,58.80647700500488,[0.034;0.034;0.035;0.033],0.034,8,10000
4,1403,55.52676499938965,[0.035;0.035;0.036;0.034],0.035,8,10000
4,1435,59.625964004516604,[0.035;0.036;0.037;0.035],0.035750000000000004,8,10000
