NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA,FREQUENCY_DATA
4,0,19.165539001464843,[0;0;0;0],0,8,600,1
4,35,25.991806999206542,[0.01;0.02;0.015;0.013],0.014499999999999999,8,600,1
4,74,28.877807998657225,[0.028;0.043;0.03;0.022],0.03075,8,600,1
4,111,22.830371994018556,[0.045;0.06;0.048;0.032],0.04625,8,600,1
4,144,24.585550994873046,[0.06;0.068;0.065;0.047],0.06,8,600,1
4,196,34.21304599761963,[0.08;0.087;0.092;0.068],0.08175,8,600,1
4,229,24.169908004760742,[0.093;0.1;0.095;0.093],0.09525,8,600,1
4,277,26.871271003723145,[0.112;0.122;0.113;0.115],0.11549999999999999,8,600,1
4,313,27.237971000671386,[0.128;0.14;0.135;0.118],0.13025,8,600,1
4,348,28.795125,[0.14;0.157;0.153;0.13],0.14500000000000002,8,600,1
4,390,31.514504997253418,[0.157;0.18;0.173;0.14],0.1625,8,600,1
4,434,29.500488998413086,[0.168;0.197;0.193;0.165],0.18075000000000002,8,600,1
4,484,31.67719699859619,[0.2;0.21;0.217;0.18],0.20174999999999998,8,600,1
4,519,29.616082000732423,[0.212;0.222;0.238;0.193],0.21625,8,600,1
4,572,32.25416000366211,[0.233;0.245;0.252;0.223],0.23825,8,600,1
4,618,30.81411199951172,[0.245;0.277;0.26;0.248],0.2575,8,600,1
4,658,36.10963800048828,[0.267;0.287;0.278;0.265],0.27425,8,600,1
4,708,33.028531997680666,[0.288;0.303;0.312;0.277],0.29500000000000004,8,600,1
4,746,35.46186799621582,[0.307;0.32;0.327;0.29],0.311,8,600,1
4,784,34.27997599792481,[0.32;0.332;0.347;0.308],0.32675,8,600,1
4,829,33.47265999603272,[0.337;0.358;0.358;0.328],0.34525,8,600,1
4,874,34.94017000579834,[0.36;0.372;0.368;0.357],0.36425,8,600,1
4,907,35.12178099822998,[0.377;0.378;0.388;0.368],0.37775000000000003,8,600,1
4,953,44.688189994812,[0.4;0.397;0.407;0.385],0.39725,8,600,1
4,988,43.25492700195313,[0.41;0.413;0.423;0.4],0.4115,8,600,1
4,1034,42.700567001342776,[0.432;0.437;0.435;0.42],0.431,8,600,1
4,1066,41.3489820022583,[0.447;0.448;0.452;0.43],0.44425,8,600,1
4,1116,43.595967002868655,[0.463;0.47;0.478;0.448],0.46475,8,600,1
4,1152,43.03878900146484,[0.483;0.487;0.492;0.458],0.48,8,600,1
4,1201,54.19680899810791,[0.498;0.507;0.512;0.485],0.5005,8,600,1
4,1241,51.81638600158691,[0.522;0.515;0.525;0.507],0.51725,8,600,1
4,1279,52.58775299835205,[0.532;0.53;0.55;0.52],0.533,8,600,1
4,1321,51.571062995910644,[0.552;0.55;0.56;0.54],0.5505,8,600,0.75
4,1363,54.07139599609375,[0.58;0.568;0.568;0.555],0.56775,8,600,0.75
4,1427,53.4264460067749,[0.6;0.59;0.597;0.592],0.59475,8,600,0.75
4,1482,61.400687995910644,[0.627;0.61;0.628;0.605],0.6175,8,600,0.75
4,1531,55.3008629989624,[0.65;0.64;0.637;0.625],0.638,8,600,0.75
4,1597,61.97492199707031,[0.673;0.673;0.667;0.648],0.66525,8,600,0.5625
4,1679,60.8650179977417,[0.707;0.705;0.69;0.697],0.69975,8,600,0.5625
4,1764,69.99223400115967,[0.74;0.732;0.743;0.725],0.735,8,600,0.5625
4,1836,60.07940700531006,[0.765;0.755;0.787;0.753],0.765,8,600,0.5625
4,1934,73.49289400482178,[0.805;0.803;0.825;0.79],0.80575,8,600,0.5625
4,2009,63.57929000091553,[0.848;0.823;0.842;0.835],0.837,8,600,0.5625
4,2103,65.8255179977417,[0.878;0.858;0.88;0.888],0.876,8,600,0.5625
4,2166,75.37454699707031,[0.903;0.887;0.908;0.912],0.9025,8,600,0.5625
4,2240,71.1098399963379,[0.938;0.918;0.94;0.937],0.9332499999999999,8,600,0.5625
4,2302,83.54539199829101,[0.962;0.94;0.967;0.968],0.9592499999999999,8,600,0.5625
4,2394,79.81068700408936,[1.013;0.975;1;1.002],0.9975,8,600,0.5625
4,2457,85.25826100158692,[1.04;1.007;1.025;1.023],1.02375,8,600,0.5625
4,2559,85.828779006958,[1.078;1.055;1.073;1.058],1.066,8,600,0.5625
4,2629,94.73929699707031,[1.113;1.087;1.098;1.083],1.09525,8,600,0.5625
4,2730,85.69217099761963,[1.148;1.135;1.142;1.125],1.1375,8,600,0.5625
4,2801,96.95041399383545,[1.168;1.167;1.182;1.152],1.16725,8,600,0.5625
4,2889,85.65863200378418,[1.203;1.193;1.23;1.188],1.2035,8,600,0.5625
4,2984,86.3958690032959,[1.248;1.233;1.268;1.223],1.2429999999999999,8,600,0.5625
4,3060,92.88631900024414,[1.277;1.253;1.298;1.272],1.275,8,600,0.5625
4,3144,98.9559649963379,[1.305;1.287;1.33;1.318],1.31,8,600,0.5625
4,3221,91.73965299987793,[1.345;1.322;1.358;1.343],1.342,8,600,0.5625
4,3308,107.7607440032959,[1.38;1.358;1.393;1.382],1.37825,8,600,0.5625
4,3365,93.23696499633789,[1.41;1.378;1.42;1.4],1.4020000000000001,8,600,0.703125
4,3464,102.01814500427245,[1.448;1.42;1.465;1.44],1.44325,8,600,0.703125
4,3508,104.32452599334717,[1.462;1.435;1.49;1.46],1.46175,8,600,0.703125
4,3565,95.13194900512696,[1.475;1.462;1.522;1.483],1.4855,8,600,0.703125
4,3630,100.90402199554444,[1.51;1.488;1.547;1.505],1.5125,8,600,0.703125
4,3702,111.01098500061035,[1.543;1.51;1.582;1.535],1.5425,8,600,0.703125
4,3765,97.1684169998169,[1.567;1.542;1.602;1.565],1.569,8,600,0.703125
4,3817,110.45365299987793,[1.583;1.565;1.615;1.598],1.59025,8,600,0.703125
4,3882,117.80349799346924,[1.617;1.593;1.645;1.615],1.6175000000000002,8,600,0.703125
4,3933,112.80503499603272,[1.65;1.6;1.665;1.64],1.63875,8,600,0.703125
4,4017,104.7995709991455,[1.695;1.638;1.697;1.665],1.67375,8,600,0.87890625
4,4079,110.4257080001831,[1.75;1.655;1.705;1.688],1.6995,8,600,0.87890625
4,4162,120.23973899841309,[1.818;1.695;1.718;1.705],1.734,8,600,0.87890625
4,4264,118.45800699615478,[1.873;1.762;1.743;1.728],1.7765,8,600,0.87890625
4,4359,124.28615600585937,[1.933;1.8;1.788;1.743],1.816,8,600,0.87890625
4,4467,112.68504599761962,[1.988;1.86;1.83;1.767],1.86125,8,600,1.0986328125
4,4595,126.63960900115967,[2.055;1.918;1.88;1.805],1.9144999999999999,8,600,1.0986328125
4,4650,115.10500600433349,[2.095;1.935;1.893;1.827],1.9375,8,600,1.0986328125
4,4699,116.6940299987793,[2.107;1.967;1.912;1.847],1.95825,8,600,1.0986328125
4,4756,127.43786199951172,[2.133;1.997;1.922;1.875],1.98175,8,600,1.373291015625
4,4819,110.64271199798584,[2.165;2.033;1.945;1.888],2.00775,8,600,1.373291015625
4,4866,113.34401000213623,[2.172;2.055;1.982;1.902],2.02775,8,600,1.373291015625
4,4915,118.11681800079346,[2.193;2.085;2.005;1.908],2.04775,8,600,1.373291015625
4,4961,118.51349500274658,[2.22;2.092;2.022;1.935],2.06725,8,600,1.373291015625
4,5014,128.88884999847411,[2.243;2.097;2.037;1.98],2.08925,8,600,1.373291015625
