NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+REAL_CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE+MINIMUM_TIME+MAXIMUM_TIME
4+0+23,708704986572265+[0;0;0;0]+0+0,5413822222222223+0,042057357870370356+8+600+1+20+1605050326203+1605049726203+50+100
4+10+27,313824981689454+[0,002;0,012;0,003;0]+0,00425+0,5193388888888889+0,0529045087962963+8+600+1+60+1605050334203+1605049734203+50+100
4+24+20,566033996582032+[0,012;0,017;0,012;0]+0,01025+0,48998111111111103+0,057817298611111095+8+600+1+80+1605050342203+1605049742203+50+100
4+37+24,51579299926758+[0,018;0,018;0,018;0,007]+0,015249999999999998+0,49833333333333335+0,06269953287037038+8+600+1+100+1605050350203+1605049750203+50+100
4+52+21,87544500732422+[0,022;0,025;0,023;0,017]+0,021750000000000002+0,5141666666666668+0,06787694768518518+8+600+1+120+1605050358203+1605049758203+50+100
4+71+25,83682598876953+[0,03;0,033;0,033;0,022]+0,0295+0,49333333333333296+0,07775069814814814+8+600+1+160+1605050366203+1605049766203+50+100
4+86+21,51425601196289+[0,04;0,037;0,038;0,028]+0,03575+0,4830033333333331+0,08277085185185186+8+600+1+180+1605050374203+1605049774203+50+100
4+93+23,433011016845704+[0,043;0,037;0,043;0,032]+0,03874999999999999+0,48495555555555553+0,08756666527777777+8+600+1+200+1605050382203+1605049782203+50+100
4+113+26,219334991455078+[0,05;0,05;0,047;0,042]+0,04725000000000001+0,5307333333333331+0,09768408518518519+8+600+1+240+1605050390203+1605049790203+50+100
4+123+26,311385986328126+[0,053;0,058;0,048;0,045]+0,051000000000000004+0,5369444444444444+0,10310832453703708+8+600+1+260+1605050398203+1605049798203+50+100
4+137+36,05407598876953+[0,067;0,06;0,053;0,048]+0,056999999999999995+0,5566666666666665+0,11388658425925925+8+600+1+300+1605050406203+1605049806203+50+100
4+154+32,90406298828125+[0,072;0,063;0,068;0,053]+0,064+0,5145688888888887+0,11940795046296299+8+600+1+320+1605050414203+1605049814203+50+100
4+164+28,75390899658203+[0,072;0,073;0,068;0,06]+0,06825+0,5198722222222224+0,12437521574074074+8+600+1+340+1605050422203+1605049822203+50+100
4+178+28,20674200439453+[0,077;0,083;0,07;0,067]+0,07425000000000001+0,549861111111111+0,1297123347222222+8+600+1+360+1605050430203+1605049830203+50+100
4+194+26,188580993652344+[0,085;0,085;0,078;0,075]+0,08075+0,5112074999999997+0,14059597037037025+8+600+1+400+1605050438203+1605049838203+50+100
