NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+26,61415899848938+[0;0;0;0]+0+8+600+1+20
4+10+21,667784999847413+[0,002;0,012;0,003;0]+0,00425+8+600+1+60
4+24+21,838831998825075+[0,012;0,017;0,012;0]+0,01025+8+600+1+80
4+37+23,68198399925232+[0,018;0,018;0,018;0,007]+0,015249999999999998+8+600+1+100
4+52+25,514373001098633+[0,022;0,025;0,023;0,017]+0,021750000000000002+8+600+1+140
4+71+29,50480999946594+[0,03;0,033;0,033;0,022]+0,0295+8+600+1+160
4+86+23,883659999847414+[0,04;0,037;0,038;0,028]+0,03575+8+600+1+180
4+93+25,049158000946044+[0,043;0,037;0,043;0,032]+0,03874999999999999+8+600+1+220
4+113+26,552263999938965+[0,05;0,05;0,047;0,042]+0,04725000000000001+8+600+1+240
4+123+33,810954000473025+[0,053;0,058;0,048;0,045]+0,051000000000000004+8+600+1+260
4+137+29,065745000839232+[0,067;0,06;0,053;0,048]+0,056999999999999995+8+600+1+300
4+154+27,69972200012207+[0,072;0,063;0,068;0,053]+0,064+8+600+1+320
4+164+29,684218000411988+[0,072;0,073;0,068;0,06]+0,06825+8+600+1+340
4+178+35,69370100021362+[0,077;0,083;0,07;0,067]+0,07425000000000001+8+600+1+360
4+194+31,432594999313356+[0,085;0,085;0,078;0,075]+0,08075+8+600+1+400
4+211+32,96393099975586+[0,093;0,087;0,09;0,082]+0,08800000000000001+8+600+1+420
4+223+37,119209999084475+[0,097;0,095;0,092;0,088]+0,093+8+600+1+440
4+237+32,5971219997406+[0,103;0,103;0,097;0,092]+0,09875+8+600+1+480
4+247+36,42219099998474+[0,105;0,11;0,103;0,093]+0,10275000000000001+8+600+1+500
4+266+36,71069499969482+[0,112;0,117;0,113;0,102]+0,111+8+600+1+520
4+281+37,33177899932861+[0,118;0,118;0,12;0,112]+0,11699999999999999+8+600+1+560
4+294+35,70244000053406+[0,125;0,12;0,128;0,117]+0,1225+8+600+1+580
4+307+36,216175998687746+[0,13;0,127;0,13;0,125]+0,128+8+600+1+620
4+319+39,018629999160765+[0,133;0,137;0,13;0,132]+0,133+8+600+1+640
4+335+38,28714299964905+[0,14;0,143;0,138;0,137]+0,1395+8+600+1+660
4+344+40,782469999313356+[0,145;0,147;0,145;0,137]+0,1435+8+600+1+700
4+360+47,12605900001526+[0,152;0,152;0,157;0,14]+0,15025+8+600+1+720
4+375+48,027000999450685+[0,16;0,157;0,162;0,147]+0,1565+8+600+1+740
4+384+44,29662300109863+[0,162;0,157;0,167;0,155]+0,16025+8+600+1+780
4+401+43,06079199981689+[0,167;0,17;0,172;0,16]+0,16725+8+600+1+800
4+415+48,814819999694826+[0,175;0,178;0,173;0,165]+0,17275000000000001+8+600+1+820
