NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+0+26,68746301269531+[0;0;0;0]+0+0,5440880555555556+8+600+1+20+1604869412300+1604868812300
4+10+21,474561004638673+[0,002;0,012;0,003;0]+0,00425+0,5222513888888887+8+600+1+60+1604869420300+1604868820300
4+24+18,162095001220703+[0,012;0,017;0,012;0]+0,01025+0,4894111111111109+8+600+1+80+1604869428300+1604868828300
4+37+22,172184005737304+[0,018;0,018;0,018;0,007]+0,015249999999999998+0,498333333333333+8+600+1+100+1604869436300+1604868836300
4+52+28,659085998535158+[0,022;0,025;0,023;0,017]+0,021750000000000002+0,5047222222222224+8+600+1+140+1604869444300+1604868844300
4+71+21,20079200744629+[0,03;0,033;0,033;0,022]+0,0295+0,4933333333333337+8+600+1+160+1604869452300+1604868852300
4+86+24,635966995239258+[0,04;0,037;0,038;0,028]+0,03575+0,4820583333333329+8+600+1+180+1604869460300+1604868860300
4+93+21,74146499633789+[0,043;0,037;0,043;0,032]+0,03874999999999999+0,5192363888888891+8+600+1+220+1604869468300+1604868868300
4+113+22,810059997558593+[0,05;0,05;0,047;0,042]+0,04725000000000001+0,5310583333333334+8+600+1+240+1604869476300+1604868876300
4+123+28,265523010253908+[0,053;0,058;0,048;0,045]+0,051000000000000004+0,5369444444444446+8+600+1+260+1604869484300+1604868884300
4+137+23,17777000427246+[0,067;0,06;0,053;0,048]+0,056999999999999995+0,5566666666666663+8+600+1+300+1604869492300+1604868892300
4+154+25,548876998901367+[0,072;0,063;0,068;0,053]+0,064+0,5142666666666665+8+600+1+320+1604869500300+1604868900300
4+164+25,50763800048828+[0,072;0,073;0,068;0,06]+0,06825+0,5191933333333336+8+600+1+340+1604869508300+1604868908300
4+178+26,179901992797852+[0,077;0,083;0,07;0,067]+0,07425000000000001+0,5520566666666666+8+600+1+360+1604869516300+1604868916300
4+194+28,426035003662108+[0,085;0,085;0,078;0,075]+0,08075+0,511675+8+600+1+400+1604869524300+1604868924300
4+211+29,653285995483397+[0,093;0,087;0,09;0,082]+0,08800000000000001+0,5255555555555554+8+600+1+420+1604869532300+1604868932300
4+223+27,999007995605467+[0,097;0,095;0,092;0,088]+0,093+0,5502777777777779+8+600+1+460+1604869540300+1604868940300
4+237+25,666577987670898+[0,103;0,103;0,097;0,092]+0,09875+0,5472222222222219+8+600+1+480+1604869548300+1604868948300
4+246+31,220884994506836+[0,105;0,11;0,102;0,093]+0,10250000000000001+0,5160188888888889+8+600+1+500+1604869556300+1604868956300
4+265+26,49607499694824+[0,112;0,117;0,112;0,102]+0,11075+0,5488138888888887+8+600+1+520+1604869564300+1604868964300
4+279+34,74364599609375+[0,118;0,118;0,117;0,112]+0,11624999999999999+0,4942805555555553+8+600+1+560+1604869572300+1604868972300
4+292+34,93271000671387+[0,125;0,12;0,125;0,117]+0,12175+0,4777777777777777+8+600+1+580+1604869580300+1604868980300
4+305+30,98603399658203+[0,13;0,127;0,127;0,125]+0,12725+0,4975000000000001+8+600+1+620+1604869588300+1604868988300
4+317+38,13987599182129+[0,133;0,137;0,127;0,132]+0,13225+0,5458333333333334+8+600+1+640+1604869596300+1604868996300
4+333+33,501350006103515+[0,14;0,143;0,135;0,137]+0,13875+0,5461333333333334+8+600+1+660+1604869604300+1604869004300
4+343+31,039001007080078+[0,145;0,148;0,142;0,137]+0,143+0,5606188888888887+8+600+1+680+1604869612300+1604869012300
4+358+30,130189010620118+[0,15;0,153;0,153;0,14]+0,149+0,491513333333333+8+600+1+720+1604869620300+1604869020300
4+374+36,3805230102539+[0,158;0,158;0,16;0,147]+0,15575+0,48500000000000004+8+600+1+740+1604869628300+1604869028300
4+383+33,505039001464844+[0,16;0,158;0,165;0,155]+0,1595+0,5013888888888889+8+600+1+780+1604869636300+1604869036300
4+400+32,72980700683594+[0,165;0,172;0,17;0,16]+0,16675+0,5019444444444441+8+600+1+800+1604869644300+1604869044300
4+414+34,97034199523926+[0,173;0,18;0,172;0,165]+0,1725+0,5186511111111112+8+600+1+820+1604869652300+1604869052300
4+428+44,20388900756836+[0,18;0,183;0,182;0,168]+0,17825+0,5245755555555557+8+600+1+860+1604869660300+1604869060300
4+440+35,122640991210936+[0,185;0,188;0,187;0,173]+0,18325000000000002+0,5303294444444447+8+600+1+880+1604869668300+1604869068300
4+455+33,43956100463867+[0,192;0,195;0,193;0,178]+0,1895+0,5305555555555549+8+600+1+900+1604869676300+1604869076300
