NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA
4+0+20,554790000915528+[0;0;0;0]+0+8+1800
4+35+21,894876998901367+[0,003;0,007;0,005;0,004]+0,00475+8+1800
4+74+23,785819999694823+[0,009;0,014;0,01;0,007]+0,01+8+1800
4+111+21,906959999084474+[0,015;0,02;0,016;0,011]+0,0155+8+1800
4+144+26,210815002441407+[0,02;0,023;0,022;0,016]+0,02025+8+1800
4+196+28,35696900177002+[0,027;0,029;0,031;0,023]+0,027499999999999997+8+1800
4+229+23,03778200531006+[0,031;0,033;0,032;0,031]+0,03175+8+1800
4+277+24,6652739944458+[0,037;0,041;0,038;0,038]+0,0385+8+1800
4+313+25,53693500518799+[0,043;0,047;0,045;0,039]+0,043500000000000004+8+1800
4+348+26,33181600189209+[0,047;0,052;0,051;0,043]+0,04825+8+1800
4+390+40,13564400482178+[0,052;0,06;0,058;0,047]+0,05424999999999999+8+1800
4+434+30,54512799835205+[0,056;0,066;0,064;0,055]+0,06025+8+1800
4+484+29,223810997009277+[0,067;0,07;0,072;0,06]+0,06725+8+1800
4+519+28,194853004455567+[0,071;0,074;0,079;0,064]+0,072+8+1800
4+572+29,361263999938966+[0,078;0,082;0,084;0,074]+0,0795+8+1800
4+619+35,29846799468994+[0,082;0,092;0,087;0,083]+0,08600000000000001+8+1800
4+659+32,37233000183105+[0,089;0,096;0,093;0,089]+0,09175+8+1800
4+709+32,71757399749756+[0,096;0,101;0,104;0,093]+0,0985+8+1800
4+747+31,350327003479006+[0,102;0,107;0,109;0,097]+0,10375000000000001+8+1800
4+785+33,881988998413085+[0,106;0,111;0,116;0,103]+0,109+8+1800
4+829+40,745136001586914+[0,112;0,119;0,119;0,11]+0,11499999999999999+8+1800
4+874+34,371873001098635+[0,119;0,124;0,123;0,119]+0,12125+8+1800
4+907+37,07783200073242+[0,125;0,126;0,129;0,123]+0,12575+8+1800
4+953+37,645595001220705+[0,133;0,132;0,136;0,129]+0,1325+8+1800
4+988+38,820580001831054+[0,136;0,138;0,141;0,134]+0,13725+8+1800
4+1034+42,94777600097656+[0,143;0,146;0,145;0,141]+0,14375+8+1800
4+1066+45,38690200042725+[0,148;0,149;0,151;0,144]+0,148+8+1800
4+1116+40,29140999603271+[0,154;0,157;0,159;0,15]+0,155+8+1800
4+1152+41,69931999969482+[0,161;0,162;0,164;0,153]+0,16+8+1800
4+1201+53,699746002197266+[0,166;0,169;0,171;0,162]+0,167+8+1800
4+1241+44,31140100097656+[0,173;0,172;0,175;0,169]+0,17225000000000001+8+1800
