NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+20,295525000095367+[0;0;0;0]+0+8+600+1+20
4+35+23,083014999866485+[0,01;0,02;0,015;0,013]+0,014499999999999999+8+600+1+44
4+77+25,536594999790193+[0,03;0,042;0,035;0,022]+0,03225+8+600+1+84
4+115+20,245067999839783+[0,048;0,057;0,055;0,032]+0,048+8+600+1+104
4+160+21,577799999713896+[0,07;0,07;0,077;0,05]+0,06675+8+600+1+124
4+201+24,666420000076293+[0,088;0,087;0,093;0,067]+0,08375+8+600+1+164
4+233+27,260745000362395+[0,098;0,102;0,097;0,092]+0,09725+8+600+1+184
4+283+25,38594400024414+[0,122;0,122;0,112;0,117]+0,11825+8+600+1+204
4+312+28,04143700027466+[0,137;0,137;0,128;0,118]+0,13+8+600+1+244
4+354+26,3623140001297+[0,157;0,157;0,143;0,133]+0,1475+8+600+1+264
4+399+29,870929000377654+[0,178;0,183;0,163;0,14]+0,166+8+600+1+284
4+440+29,456960000038148+[0,19;0,203;0,178;0,162]+0,18325+8+600+1+324
4+491+34,3245609998703+[0,223;0,217;0,197;0,182]+0,20475+8+600+1+344
4+533+32,33147100019455+[0,24;0,228;0,22;0,2]+0,22199999999999998+8+600+1+364
4+575+32,00718600034714+[0,257;0,245;0,232;0,225]+0,23975+8+600+1+404
4+619+33,99601000022888+[0,267;0,278;0,242;0,245]+0,258+8+600+1+428
4+658+31,975554000377656+[0,285;0,293;0,258;0,26]+0,274+8+600+1+449
4+699+39,92340799999237+[0,305;0,307;0,283;0,27]+0,29125+8+600+1+472
4+736+35,23644500017166+[0,323;0,32;0,3;0,283]+0,3065+8+600+1+515
4+780+34,5035689997673+[0,34;0,33;0,322;0,308]+0,325+8+600+1+536
4+819+34,50577499961853+[0,352;0,35;0,333;0,33]+0,34125+8+600+1+559
4+858+39,22686600017548+[0,368;0,363;0,345;0,353]+0,35725+8+600+1+580
4+898+35,66312599992752+[0,385;0,377;0,365;0,37]+0,37424999999999997+8+600+1+604
4+944+40,46228200006485+[0,408;0,395;0,383;0,387]+0,39325+8+600+1+647
4+978+41,42684499979019+[0,422;0,412;0,402;0,395]+0,40775+8+600+1+668
4+1027+41,26124800014496+[0,442;0,438;0,413;0,418]+0,42774999999999996+8+600+1+692
4+1054+40,862094999790195+[0,458;0,445;0,423;0,43]+0,439+8+600+1+712
4+1101+41,21621500015259+[0,472;0,468;0,448;0,447]+0,45875+8+600+1+760
4+1142+45,939679999828336+[0,49;0,49;0,465;0,458]+0,47575+8+600+1+784
4+1193+50,07996500015259+[0,507;0,512;0,485;0,485]+0,49724999999999997+8+600+1+808
4+1235+47,85964899969101+[0,532;0,522;0,503;0,502]+0,51475+8+600+1+832
4+1282+54,47182100009918+[0,542;0,547;0,53;0,518]+0,53425+8+600+1+856
4+1313+54,34108500003815+[0,555;0,563;0,542;0,528]+0,5469999999999999+8+600+1+880
4+1351+50,06986999988556+[0,575;0,578;0,552;0,547]+0,5630000000000001+8+600+1+904
4+1397+52,01632100009918+[0,587;0,595;0,573;0,573]+0,582+8+600+1+952
4+1440+54,39488800001144+[0,607;0,613;0,593;0,587]+0,6+8+600+1+976
4+1474+60,30008699989319+[0,627;0,628;0,598;0,603]+0,6139999999999999+8+600+1+1000
4+1524+56,52445399999618+[0,647;0,657;0,62;0,617]+0,63525+8+600+1+1024
4+1573+57,734666999816895+[0,665;0,677;0,633;0,647]+0,6555+8+600+1+1048
4+1611+56,035136000156406+[0,683;0,688;0,652;0,662]+0,67125+8+600+1+1072
4+1653+69,4124019999504+[0,7;0,702;0,677;0,677]+0,689+8+600+1+1096
4+1703+66,42619199991226+[0,72;0,725;0,698;0,695]+0,7094999999999999+8+600+1+1140
4+1746+59,61001200008393+[0,742;0,738;0,708;0,722]+0,7274999999999999+8+600+1+1160
4+1800+64,57858799982071+[0,762;0,763;0,73;0,745]+0,75+8+600+1+1180
4+1831+62,593743000030514+[0,773;0,773;0,747;0,758]+0,76275+8+600+1+1220
4+1870+63,48700900030136+[0,788;0,79;0,767;0,772]+0,77925+8+600+1+1240
4+1903+76,13014299964905+[0,803;0,803;0,778;0,787]+0,7927500000000001+8+600+1+1260
4+1940+61,22258400011063+[0,825;0,817;0,792;0,8]+0,8085+8+600+1+1300
