NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+29,22806900024414+[0;0;0;0]+0+8+1800+1+20
4+10+24,19733800125122+[0,001;0,004;0,001;0]+0,0015+8+1800+1+40
4+24+27,302295000076295+[0,004;0,006;0,004;0]+0,0035+8+1800+1+80
4+37+21,734089000701903+[0,006;0,006;0,006;0,002]+0,005000000000000001+8+1800+1+100
4+52+25,025631999969484+[0,007;0,008;0,008;0,006]+0,0072499999999999995+8+1800+1+120
4+71+31,398612998962403+[0,01;0,011;0,011;0,007]+0,00975+8+1800+1+160
4+86+21,988651000976564+[0,013;0,012;0,013;0,009]+0,01175+8+1800+1+180
4+93+25,35818099975586+[0,014;0,012;0,014;0,011]+0,012750000000000001+8+1800+1+200
4+113+24,6968780002594+[0,017;0,017;0,016;0,014]+0,016+8+1800+1+240
4+123+24,40592200088501+[0,018;0,019;0,016;0,015]+0,017+8+1800+1+260
4+137+27,944267000198366+[0,022;0,02;0,018;0,016]+0,019+8+1800+1+280
4+154+26,888298000335695+[0,024;0,021;0,023;0,018]+0,021500000000000002+8+1800+1+320
4+164+30,196336999893187+[0,024;0,024;0,023;0,02]+0,022750000000000003+8+1800+1+340
4+178+29,877445999145507+[0,026;0,028;0,023;0,022]+0,02475+8+1800+1+360
4+194+31,37461900138855+[0,028;0,028;0,026;0,025]+0,026750000000000003+8+1800+1+400
4+211+30,83054400062561+[0,031;0,029;0,03;0,027]+0,029249999999999998+8+1800+1+420
4+223+36,63981400108337+[0,032;0,032;0,031;0,029]+0,031+8+1800+1+440
4+237+33,06856000137329+[0,034;0,034;0,032;0,031]+0,03275+8+1800+1+480
4+247+33,83806200027466+[0,035;0,037;0,034;0,031]+0,03425+8+1800+1+500
4+266+34,446322999954226+[0,037;0,039;0,038;0,034]+0,037+8+1800+1+520
4+280+33,62491300010681+[0,039;0,039;0,039;0,037]+0,0385+8+1800+1+560
4+293+40,51643999862671+[0,042;0,04;0,042;0,039]+0,04075+8+1800+1+580
4+306+40,04727899932861+[0,043;0,042;0,043;0,042]+0,0425+8+1800+1+600
4+318+35,61996500015259+[0,044;0,046;0,043;0,044]+0,04425+8+1800+1+640
4+334+37,241364999771115+[0,047;0,048;0,046;0,046]+0,04675+8+1800+1+660
4+343+42,806934999465945+[0,048;0,049;0,048;0,046]+0,04775+8+1800+1+680
4+359+38,485314998626706+[0,051;0,051;0,052;0,047]+0,05025+8+1800+1+720
4+374+40,39705500030517+[0,053;0,052;0,053;0,049]+0,051750000000000004+8+1800+1+740
4+383+40,65113199996948+[0,054;0,052;0,055;0,052]+0,05325+8+1800+1+760
4+400+53,69218199920654+[0,056;0,057;0,057;0,053]+0,05575+8+1800+1+800
4+414+45,06815299987793+[0,058;0,059;0,057;0,055]+0,057249999999999995+8+1800+1+820
4+428+53,90235899925232+[0,061;0,061;0,061;0,056]+0,05975+8+1800+1+840
4+440+51,150985000610355+[0,062;0,062;0,062;0,058]+0,061+8+1800+1+880
4+455+49,60328100013733+[0,064;0,064;0,064;0,059]+0,06275+8+1800+1+900
4+467+52,393109001159665+[0,067;0,066;0,066;0,061]+0,065+8+1800+1+920
4+480+49,29044300079346+[0,069;0,067;0,067;0,064]+0,06675+8+1800+1+960
4+496+51,774179000854495+[0,072;0,068;0,069;0,066]+0,06875+8+1800+1+980
4+507+50,12986600112915+[0,074;0,069;0,072;0,067]+0,07050000000000001+8+1800+1+1000
4+520+57,056513999938964+[0,074;0,073;0,073;0,068]+0,072+8+1800+1+1040
4+538+57,98162200164795+[0,078;0,075;0,074;0,072]+0,07475+8+1800+1+1060
4+548+51,243726999282835+[0,079;0,076;0,077;0,073]+0,07625+8+1800+1+1080
4+565+234,89494199943542+[0,081;0,078;0,079;0,076]+0,0785+8+1800+1+1120
4+579+59,21208200073242+[0,082;0,08;0,082;0,077]+0,08025+8+1800+1+1140
4+594+58,59329999923706+[0,084;0,084;0,084;0,078]+0,0825+8+1800+1+1160
4+607+61,23932699966431+[0,087;0,084;0,085;0,082]+0,0845+8+1800+1+1200
4+624+73,37577300071716+[0,088;0,086;0,088;0,085]+0,08675000000000001+8+1800+1+1220
4+632+58,778793001174925+[0,089;0,087;0,09;0,085]+0,08775000000000001+8+1800+1+1240
4+649+76,9174260005951+[0,091;0,09;0,091;0,089]+0,09025+8+1800+1+1280
4+659+61,58097800064087+[0,092;0,091;0,093;0,09]+0,0915+8+1800+1+1300
4+669+61,56854699897766+[0,094;0,092;0,094;0,091]+0,09275+8+1800+1+1320
4+684+70,11443400001527+[0,097;0,093;0,098;0,092]+0,095+8+1800+1+1360
4+692+67,74224200057984+[0,098;0,096;0,099;0,092]+0,09625+8+1800+1+1380
4+709+71,99416099929809+[0,099;0,098;0,101;0,096]+0,0985+8+1800+1+1400
4+721+67,74203100013733+[0,101;0,101;0,103;0,096]+0,10025+8+1800+1+1440
4+736+82,3386310005188+[0,103;0,103;0,105;0,098]+0,10225000000000001+8+1800+1+1460
4+747+71,51505799865723+[0,104;0,103;0,107;0,1]+0,10350000000000001+8+1800+1+1480
4+764+77,8556430015564+[0,106;0,107;0,109;0,102]+0,106+8+1800+1+1520
4+774+87,18887699890136+[0,108;0,109;0,11;0,103]+0,1075+8+1800+1+1540
4+790+76,91545400047302+[0,11;0,111;0,114;0,104]+0,10975+8+1800+1+1560
4+805+81,63569199943542+[0,112;0,112;0,117;0,106]+0,11175+8+1800+1+1600
4+824+88,00227600097656+[0,115;0,114;0,118;0,111]+0,11449999999999999+8+1800+1+1620
4+837+74,53837699890137+[0,117;0,116;0,121;0,112]+0,11649999999999999+8+1800+1+1640
4+855+88,23817700004578+[0,118;0,119;0,124;0,114]+0,11875+8+1800+1+1680
4+868+75,24290500068665+[0,121;0,121;0,126;0,116]+0,121+8+1800+1+1700
4+879+82,82048299980164+[0,121;0,122;0,128;0,118]+0,12225+8+1800+1+1720
4+899+87,97536100006104+[0,122;0,123;0,131;0,123]+0,12475+8+1800+1+1760
