NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+25,102861000061036+[0;0;0;0]+0+8+1800+1+20
4+35+22,500368000030516+[0,003;0,007;0,005;0,004]+0,00475+8+1800+1+40
4+74+24,606174999237062+[0,009;0,014;0,01;0,007]+0,01+8+1800+1+80
4+111+27,64082199859619+[0,015;0,02;0,016;0,011]+0,0155+8+1800+1+100
4+144+22,511744998931885+[0,02;0,023;0,022;0,016]+0,02025+8+1800+1+120
4+196+23,730115997314453+[0,027;0,029;0,031;0,023]+0,027499999999999997+8+1800+1+160
4+229+34,48656200027466+[0,031;0,033;0,032;0,031]+0,03175+8+1800+1+180
4+277+28,527645999908447+[0,037;0,041;0,038;0,038]+0,0385+8+1800+1+200
4+313+27,11510599899292+[0,043;0,047;0,045;0,039]+0,043500000000000004+8+1800+1+240
4+348+27,544618000030518+[0,047;0,052;0,051;0,043]+0,04825+8+1800+1+260
4+389+27,88226599884033+[0,052;0,06;0,057;0,047]+0,05399999999999999+8+1800+1+280
4+432+27,065455001831054+[0,056;0,066;0,063;0,055]+0,06+8+1800+1+320
4+482+33,17754100036621+[0,067;0,07;0,071;0,06]+0,067+8+1800+1+340
4+517+30,12048699951172+[0,071;0,074;0,078;0,064]+0,07175+8+1800+1+360
4+571+30,594469997406005+[0,078;0,082;0,083;0,075]+0,0795+8+1800+1+400
4+617+30,87105599975586+[0,082;0,092;0,086;0,083]+0,08575+8+1800+1+420
4+657+29,769641998291014+[0,089;0,096;0,092;0,089]+0,0915+8+1800+1+440
4+707+30,50447499847412+[0,096;0,101;0,103;0,093]+0,09825+8+1800+1+480
4+745+32,68507299804688+[0,102;0,107;0,108;0,097]+0,10350000000000001+8+1800+1+500
4+783+38,50737899780273+[0,106;0,111;0,115;0,103]+0,10875+8+1800+1+520
4+828+40,43890699768066+[0,112;0,119;0,119;0,11]+0,11499999999999999+8+1800+1+560
4+873+33,40969899749756+[0,119;0,124;0,122;0,119]+0,121+8+1800+1+580
4+906+36,30229600143433+[0,125;0,126;0,129;0,123]+0,12575+8+1800+1+600
4+952+36,58198400115967+[0,133;0,132;0,135;0,129]+0,13225+8+1800+1+640
4+987+40,13984000015259+[0,136;0,138;0,141;0,134]+0,13725+8+1800+1+660
4+1033+47,1338330001831+[0,143;0,146;0,144;0,141]+0,1435+8+1800+1+680
4+1065+43,68863499832153+[0,148;0,149;0,15;0,144]+0,14775+8+1800+1+720
4+1115+329,61179999923706+[0,154;0,157;0,159;0,15]+0,155+8+1800+1+740
4+1151+40,127619998931884+[0,161;0,162;0,163;0,153]+0,15975+8+1800+1+760
4+1200+48,51649499893188+[0,166;0,169;0,17;0,162]+0,16675+8+1800+1+800
4+1240+47,55985199737549+[0,173;0,172;0,174;0,169]+0,172+8+1800+1+820
4+1279+49,31098399734497+[0,177;0,177;0,183;0,174]+0,17774999999999996+8+1800+1+840
4+1322+44,48570499801636+[0,184;0,183;0,186;0,181]+0,1835+8+1800+1+880
4+1363+50,246938999176024+[0,192;0,189;0,189;0,187]+0,18925000000000003+8+1800+1+900
4+1401+50,25777600097656+[0,196;0,193;0,194;0,196]+0,19474999999999998+8+1800+1+920
4+1449+51,171979000091554+[0,202;0,198;0,205;0,2]+0,20124999999999998+8+1800+1+960
4+1483+58,69810300064087+[0,208;0,203;0,207;0,206]+0,206+8+1800+1+980
4+1525+54,14306100082398+[0,214;0,21;0,214;0,209]+0,21175+8+1800+1+1000
4+1572+58,479671001434326+[0,219;0,216;0,218;0,219]+0,218+8+1800+1+1040
4+1621+57,30911000061035+[0,226;0,222;0,228;0,225]+0,22525+8+1800+1+1060
4+1657+60,22018399810791+[0,229;0,226;0,235;0,23]+0,22999999999999998+8+1800+1+1080
4+1708+63,918+[0,236;0,234;0,242;0,237]+0,23725+8+1800+1+1120
4+1747+58,296219997406006+[0,243;0,237;0,246;0,245]+0,24275+8+1800+1+1140
4+1798+65,99369400024415+[0,249;0,244;0,253;0,253]+0,24975+8+1800+1+1160
4+1829+63,97307399749756+[0,253;0,249;0,258;0,256]+0,254+8+1800+1+1200
4+1872+59,13446000289917+[0,26;0,255;0,265;0,26]+0,26+8+1800+1+1220
4+1905+59,68820199966431+[0,265;0,259;0,269;0,266]+0,26475000000000004+8+1800+1+1240
4+1952+61,08486100006103+[0,274;0,265;0,274;0,271]+0,271+8+1800+1+1280
4+1987+72,48785199737549+[0,279;0,271;0,279;0,275]+0,276+8+1800+1+1300
