NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+0+21,198030990600586+[0;0;0;0]+0+1,476516111111111+8+1800+1+20+1604851289036+1604849489036
4+35+24,498912994384767+[0,003;0,007;0,005;0,004]+0,00475+1,5474533333333331+8+1800+1+40+1604851297036+1604849497036
4+74+24,286064987182616+[0,009;0,014;0,01;0,007]+0,01+1,5687255555555566+8+1800+1+80+1604851305036+1604849505036
4+111+24,370998001098634+[0,015;0,02;0,016;0,011]+0,0155+1,4913508333333338+8+1800+1+100+1604851313036+1604849513036
4+144+23,845671997070312+[0,02;0,023;0,022;0,016]+0,02025+1,5397511111111108+8+1800+1+120+1604851321036+1604849521036
4+196+23,06276399230957+[0,027;0,029;0,031;0,023]+0,027499999999999997+1,4070416666666672+8+1800+1+160+1604851329036+1604849529036
4+229+22,827477005004884+[0,031;0,033;0,032;0,031]+0,03175+1,52247111111111+8+1800+1+180+1604851337036+1604849537036
4+278+21,899969009399413+[0,037;0,041;0,038;0,039]+0,03875+1,5451655555555557+8+1800+1+200+1604851345036+1604849545036
4+313+21,295595001220704+[0,043;0,047;0,044;0,04]+0,043500000000000004+1,6507213888888883+8+1800+1+240+1604851353036+1604849553036
4+350+32,47518699645996+[0,047;0,052;0,051;0,044]+0,0485+1,631026388888889+8+1800+1+260+1604851361036+1604849561036
4+393+26,618656997680663+[0,053;0,061;0,057;0,047]+0,05449999999999999+1,630383333333333+8+1800+1+280+1604851369036+1604849569036
4+437+23,588531997680665+[0,057;0,066;0,064;0,056]+0,06075+1,6525355555555554+8+1800+1+320+1604851377036+1604849577036
4+488+27,16307699584961+[0,068;0,071;0,072;0,061]+0,068+1,5983672222222218+8+1800+1+340+1604851385036+1604849585036
4+524+27,63443099975586+[0,072;0,075;0,079;0,066]+0,073+1,5996411111111108+8+1800+1+360+1604851393036+1604849593036
4+579+25,21865200805664+[0,079;0,083;0,083;0,076]+0,08025+1,5610888888888879+8+1800+1+400+1604851401036+1604849601036
4+624+26,272925994873045+[0,082;0,094;0,086;0,084]+0,08650000000000001+1,621573888888889+8+1800+1+420+1604851409036+1604849609036
4+664+26,376307998657225+[0,089;0,097;0,092;0,09]+0,092+1,5798622222222227+8+1800+1+440+1604851417036+1604849617036
4+712+25,66779899597168+[0,096;0,103;0,103;0,093]+0,09875+1,5620483333333333+8+1800+1+480+1604851425036+1604849625036
4+750+31,187069992065428+[0,102;0,108;0,108;0,098]+0,10400000000000001+1,5165972222222224+8+1800+1+500+1604851433036+1604849633036
4+787+27,34610499572754+[0,107;0,112;0,115;0,104]+0,1095+1,4529261111111111+8+1800+1+520+1604851441036+1604849641036
4+832+28,941549987792968+[0,112;0,121;0,119;0,111]+0,11574999999999999+1,4794222222222226+8+1800+1+560+1604851449036+1604849649036
4+877+28,655130996704102+[0,12;0,125;0,122;0,12]+0,12175+1,499508333333333+8+1800+1+580+1604851457036+1604849657036
4+913+29,44034800720215+[0,127;0,127;0,129;0,124]+0,12675+1,515760555555555+8+1800+1+600+1604851465036+1604849665036
4+958+27,927725006103515+[0,134;0,133;0,136;0,129]+0,133+1,5061916666666664+8+1800+1+640+1604851473036+1604849673036
4+988+32,72427200317383+[0,137;0,138;0,141;0,133]+0,13725+1,5800486111111112+8+1800+1+660+1604851481036+1604849681036
4+1032+30,115975997924803+[0,144;0,144;0,145;0,14]+0,14325+1,5728252777777767+8+1800+1+680+1604851489036+1604849689036
4+1063+36,401677001953125+[0,148;0,148;0,151;0,143]+0,1475+1,6558738888888886+8+1800+1+720+1604851497036+1604849697036
4+1111+30,371808990478517+[0,154;0,154;0,159;0,149]+0,154+1,604408888888888+8+1800+1+740+1604851505036+1604849705036
4+1146+30,12463900756836+[0,161;0,159;0,164;0,153]+0,15925+1,5945555555555553+8+1800+1+760+1604851513036+1604849713036
4+1190+36,20664599609375+[0,166;0,164;0,17;0,161]+0,16525+1,5761958333333335+8+1800+1+800+1604851521036+1604849721036
4+1226+34,2635650024414+[0,172;0,167;0,174;0,168]+0,17024999999999998+1,5895869444444437+8+1800+1+820+1604851529036+1604849729036
4+1265+33,73662200927734+[0,175;0,172;0,183;0,173]+0,17575000000000002+1,6021905555555551+8+1800+1+840+1604851537036+1604849737036
4+1307+32,992838012695316+[0,182;0,178;0,186;0,179]+0,18125000000000002+1,5569630555555551+8+1800+1+880+1604851545036+1604849745036
4+1351+34,5018030090332+[0,191;0,185;0,19;0,184]+0,1875+1,6171911111111115+8+1800+1+900+1604851553036+1604849753036
4+1390+34,73272801208496+[0,195;0,189;0,195;0,193]+0,193+1,63786888888889+8+1800+1+920+1604851561036+1604849761036
4+1435+40,19545500183106+[0,201;0,194;0,204;0,198]+0,19924999999999998+1,645631666666667+8+1800+1+960+1604851569036+1604849769036
4+1472+42,12509800720215+[0,208;0,2;0,208;0,202]+0,20450000000000002+1,6343466666666666+8+1800+1+980+1604851577036+1604849777036
4+1518+40,052057998657226+[0,213;0,208;0,216;0,206]+0,21075+1,5712113888888886+8+1800+1+1000+1604851585036+1604849785036
4+1559+41,745957000732425+[0,218;0,214;0,219;0,215]+0,2165+1,6512988888888895+8+1800+1+1040+1604851593036+1604849793036
4+1603+36,406878997802735+[0,224;0,219;0,227;0,221]+0,22275+1,626995277777778+8+1800+1+1060+1604851601036+1604849801036
4+1645+39,96209700012207+[0,228;0,224;0,237;0,226]+0,22875+1,572718888888888+8+1800+1+1080+1604851609036+1604849809036
4+1691+36,80977900695801+[0,233;0,233;0,243;0,231]+0,23500000000000001+1,4559433333333345+8+1800+1+1120+1604851617036+1604849817036
4+1734+37,557066009521485+[0,242;0,237;0,246;0,239]+0,241+1,477066666666666+8+1800+1+1140+1604851625036+1604849825036
4+1789+39,72548200988769+[0,248;0,245;0,253;0,248]+0,2485+1,4765697222222218+8+1800+1+1160+1604851633036+1604849833036
4+1815+43,013203002929686+[0,252;0,248;0,258;0,251]+0,25225+1,5316361111111123+8+1800+1+1200+1604851641036+1604849841036
4+1855+37,21613400268555+[0,258;0,254;0,264;0,254]+0,2575+1,5385680555555554+8+1800+1+1220+1604851649036+1604849849036
4+1891+47,316845001220706+[0,262;0,258;0,27;0,26]+0,2625+1,5630050000000006+8+1800+1+1240+1604851657036+1604849857036
4+1932+41,33625300598145+[0,27;0,263;0,275;0,266]+0,2685+1,6181800000000002+8+1800+1+1280+1604851665036+1604849865036
4+1962+40,895079010009766+[0,275;0,267;0,278;0,269]+0,27225+1,6488111111111112+8+1800+1+1300+1604851673036+1604849873036
4+2022+46,11667700195313+[0,282;0,278;0,287;0,276]+0,28075+1,7055074999999986+8+1800+1+1320+1604851681036+1604849881036
4+2051+41,024352996826174+[0,287;0,282;0,291;0,281]+0,28525+1,6509988888888876+8+1800+1+1360+1604851689036+1604849889036
4+2108+43,00622801208496+[0,293;0,291;0,299;0,288]+0,29275+1,5992941666666671+8+1800+1+1380+1604851697036+1604849897036
4+2145+41,894046005249024+[0,297;0,297;0,306;0,292]+0,298+1,5936550000000007+8+1800+1+1400+1604851705036+1604849905036
4+2187+46,07482598876953+[0,302;0,302;0,313;0,298]+0,30375+1,5768861111111112+8+1800+1+1440+1604851713036+1604849913036
4+2237+52,78043701171875+[0,31;0,31;0,32;0,303]+0,31074999999999997+1,5325391666666657+8+1800+1+1460+1604851721036+1604849921036
4+2279+53,72035299682617+[0,315;0,314;0,326;0,311]+0,3165+1,540551111111111+8+1800+1+1480+1604851729036+1604849929036
4+2321+43,86028900146484+[0,319;0,32;0,332;0,319]+0,3225+1,5626547222222222+8+1800+1+1520+1604851737036+1604849937036
4+2365+48,18101400756836+[0,326;0,328;0,337;0,323]+0,3285+1,5845038888888892+8+1800+1+1540+1604851745036+1604849945036
4+2412+45,7846909942627+[0,332;0,334;0,344;0,33]+0,335+1,5788297222222227+8+1800+1+1560+1604851753036+1604849953036
4+2440+46,88754699707031+[0,337;0,337;0,348;0,334]+0,339+1,604542222222222+8+1800+1+1600+1604851761036+1604849961036
4+2494+46,646947998046876+[0,346;0,346;0,355;0,339]+0,3465+1,5972894444444443+8+1800+1+1620+1604851769036+1604849969036
4+2532+46,385172988891604+[0,35;0,352;0,361;0,344]+0,35175+1,5803577777777775+8+1800+1+1640+1604851777036+1604849977036
4+2570+52,04982499694824+[0,354;0,358;0,367;0,349]+0,357+1,5801241666666659+8+1800+1+1680+1604851785036+1604849985036
4+2617+47,85577499389648+[0,361;0,365;0,372;0,356]+0,36349999999999993+1,5354316666666674+8+1800+1+1700+1604851793036+1604849993036
4+2662+55,50219500732422+[0,368;0,369;0,38;0,362]+0,36975+1,4918777777777776+8+1800+1+1720+1604851801036+1604850001036
4+2700+50,97766999816894+[0,373;0,375;0,384;0,368]+0,375+1,8889747222222217+8+1800+1+1760+1604851809036+1604850009036
4+2747+54,83764700317383+[0,378;0,382;0,388;0,378]+0,38150000000000006+2,1099738888888875+8+1800+1+1780+1604851817036+1604850017036
4+2782+57,86328799438476+[0,383;0,388;0,396;0,379]+0,3865+2,396332777777779+8+1800+1+1800+1604851825036+1604850025036
4+2817+51,77263600158692+[0,388;0,389;0,402;0,386]+0,39125+2,9173836111111093+8+1800+1+1840+1604851833036+1604850033036
4+2866+58,13803700256348+[0,398;0,396;0,408;0,39]+0,398+3,2109338888888868+8+1800+1+1860+1604851841036+1604850041036
4+2931+54,15944400024414+[0,419;0,402;0,413;0,394]+0,40700000000000003+3,4471483333333324+8+1800+1+1880+1604851849036+1604850049036
4+2996+52,20806600952148+[0,434;0,413;0,418;0,399]+0,416+4,007196666666666+8+1800+1+1920+1604851857036+1604850057036
4+3077+53,077069000244144+[0,451;0,429;0,424;0,406]+0,4275+4,2249825+8+1800+1+1940+1604851865036+1604850065036
4+3173+57,047125+[0,469;0,444;0,439;0,411]+0,44075000000000003+4,306513333333331+8+1800+1+1960+1604851873036+1604850073036
4+3260+49,96169100952149+[0,484;0,458;0,451;0,418]+0,45275+4,467142777777778+8+1800+1+2000+1604851881036+1604850081036
4+3388+53,89594000244141+[0,506;0,476;0,469;0,431]+0,47050000000000003+4,572183611111109+8+1800+1+2020+1604851889036+1604850089036
4+3500+57,93553700256348+[0,523;0,492;0,483;0,446]+0,48600000000000004+4,64709111111111+8+1800+1+2040+1604851897036+1604850097036
4+3604+54,35126499938965+[0,536;0,513;0,497;0,457]+0,5007499999999999+4,671828055555555+8+1800+1+2080+1604851905036+1604850105036
4+3730+59,54694700622559+[0,556;0,536;0,511;0,471]+0,5185000000000001+4,712501666666672+8+1800+1+2100+1604851913036+1604850113036
4+3860+58,57991499328613+[0,573;0,552;0,532;0,488]+0,53625+4,726029444444445+8+1800+1+2120+1604851921036+1604850121036
4+3970+59,987684997558596+[0,588;0,569;0,549;0,5]+0,5515+4,671776666666666+8+1800+1+2160+1604851929036+1604850129036
4+4090+54,89045199584961+[0,605;0,584;0,567;0,517]+0,56825+4,63699194444444+8+1800+1+2180+1604851937036+1604850137036
4+4228+58,291149002075194+[0,625;0,602;0,585;0,537]+0,5872499999999999+4,620141666666665+8+1800+1+2200+1604851945036+1604850145036
