NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA
4+0+26,360607002258302+[0;0;0;0]+0+8+1800
4+35+23,022862998962403+[0,003;0,007;0,005;0,004]+0,00475+8+1800
4+73+21,509914001464843+[0,009;0,014;0,01;0,007]+0,01+8+1800
4+110+22,936639999389648+[0,014;0,02;0,016;0,011]+0,01525+8+1800
4+145+22,895827003479003+[0,019;0,023;0,022;0,016]+0,02+8+1800
4+197+26,509391998291015+[0,026;0,029;0,031;0,023]+0,027249999999999996+8+1800
4+230+28,135380001068114+[0,031;0,034;0,032;0,031]+0,032+8+1800
4+279+29,325531997680663+[0,037;0,041;0,038;0,039]+0,03875+8+1800
4+315+35,4363929977417+[0,042;0,047;0,046;0,04]+0,043750000000000004+8+1800
4+351+37,2798510017395+[0,047;0,053;0,052;0,044]+0,049+8+1800
4+393+26,746840999603272+[0,053;0,061;0,058;0,047]+0,05474999999999999+8+1800
4+437+30,731731998443603+[0,057;0,066;0,064;0,056]+0,06075+8+1800
4+488+26,230930000305175+[0,067;0,071;0,072;0,061]+0,06775+8+1800
4+523+30,66607200241089+[0,071;0,075;0,079;0,065]+0,0725+8+1800
4+576+32,99805699920654+[0,078;0,082;0,084;0,076]+0,08+8+1800
4+622+30,96755199813843+[0,082;0,093;0,087;0,084]+0,08650000000000001+8+1800
4+662+50,225689998626706+[0,089;0,096;0,093;0,089]+0,09175+8+1800
4+712+38,812180000305176+[0,097;0,102;0,104;0,093]+0,099+8+1800
4+749+35,831893001556395+[0,102;0,107;0,109;0,098]+0,10400000000000001+8+1800
4+787+34,83387599945068+[0,107;0,111;0,116;0,104]+0,1095+8+1800
4+832+34,69420299911499+[0,112;0,12;0,119;0,111]+0,11549999999999999+8+1800
4+877+39,52015000152588+[0,12;0,124;0,123;0,12]+0,12175+8+1800
4+911+39,05955099868775+[0,126;0,127;0,129;0,124]+0,1265+8+1800
4+957+186,20344599914552+[0,134;0,133;0,136;0,129]+0,133+8+1800
4+991+39,24001900100708+[0,137;0,138;0,141;0,134]+0,1375+8+1800
4+1037+39,70932799911499+[0,144;0,146;0,145;0,141]+0,144+8+1800
4+1069+38,22029899978638+[0,149;0,15;0,151;0,144]+0,1485+8+1800
4+1119+42,57759999847412+[0,154;0,157;0,159;0,151]+0,15525+8+1800
4+1155+42,18485200119019+[0,161;0,163;0,164;0,154]+0,1605+8+1800
4+1203+47,01349699783325+[0,166;0,169;0,171;0,163]+0,16725+8+1800
4+1243+42,22468499755859+[0,174;0,172;0,175;0,17]+0,17275+8+1800
4+1281+44,32907799911499+[0,177;0,177;0,183;0,174]+0,17774999999999996+8+1800
4+1324+45,50553800201416+[0,184;0,183;0,187;0,181]+0,18375000000000002+8+1800
4+1365+51,66293199920654+[0,192;0,189;0,19;0,187]+0,1895+8+1800
4+1404+55,92971899795532+[0,196;0,193;0,195;0,196]+0,195+8+1800
4+1452+53,65818099975586+[0,202;0,199;0,206;0,2]+0,20174999999999998+8+1800
4+1487+53,275954002380374+[0,209;0,204;0,208;0,206]+0,20675+8+1800
4+1529+48,80789399719238+[0,214;0,211;0,215;0,209]+0,21225+8+1800
4+1577+59,522788997650146+[0,22;0,217;0,219;0,219]+0,21875+8+1800
4+1625+61,9180359992981+[0,226;0,222;0,229;0,225]+0,2255+8+1800
4+1661+57,2501429977417+[0,23;0,227;0,236;0,23]+0,23075+8+1800
4+1712+64,7513689994812+[0,237;0,234;0,243;0,237]+0,23775+8+1800
4+1752+58,16393999862671+[0,243;0,238;0,247;0,246]+0,2435+8+1800
4+1803+60,087625+[0,249;0,245;0,254;0,253]+0,25025+8+1800
4+1832+64,0222619972229+[0,253;0,249;0,259;0,257]+0,2545+8+1800
4+1878+61,20232399749756+[0,261;0,256;0,266;0,261]+0,261+8+1800
4+1911+72,13208700180054+[0,266;0,26;0,27;0,266]+0,2655+8+1800
4+1956+60,157875+[0,274;0,266;0,276;0,271]+0,27175000000000005+8+1800
4+1989+69,48467599868775+[0,279;0,271;0,279;0,276]+0,27625+8+1800
4+2044+63,37742900085449+[0,285;0,28;0,288;0,282]+0,28375+8+1800
4+2077+76,03597500228882+[0,291;0,284;0,292;0,287]+0,2885+8+1800
4+2134+69,11691199874878+[0,298;0,293;0,3;0,294]+0,29625+8+1800
4+2169+86,82246099853515+[0,301;0,298;0,308;0,299]+0,3015+8+1800
4+2211+86,56455999755859+[0,306;0,303;0,315;0,305]+0,30724999999999997+8+1800
4+2260+71,64800500106811+[0,312;0,311;0,322;0,311]+0,314+8+1800
4+2301+69,3723159980774+[0,317;0,315;0,328;0,319]+0,31975+8+1800
4+2344+74,13645800018311+[0,322;0,321;0,332;0,328]+0,32575000000000004+8+1800
4+2390+73,8708870010376+[0,329;0,327;0,339;0,332]+0,33175000000000004+8+1800
4+2436+74,4947910003662+[0,336;0,334;0,345;0,339]+0,3385+8+1800
4+2465+83,71533400344849+[0,34;0,338;0,349;0,343]+0,3425+8+1800
4+2520+82,64667799758911+[0,348;0,348;0,356;0,348]+0,35+8+1800
4+2562+78,70935300064087+[0,353;0,353;0,363;0,355]+0,356+8+1800
4+2601+94,62549700164794+[0,356;0,359;0,369;0,36]+0,361+8+1800
4+2646+92,29951300048828+[0,363;0,366;0,375;0,366]+0,36750000000000005+8+1800
4+2692+74,3422379989624+[0,369;0,371;0,383;0,372]+0,37375+8+1800
4+2728+82,71525099945069+[0,374;0,376;0,387;0,378]+0,37875000000000003+8+1800
4+2773+83,69161600112915+[0,378;0,383;0,392;0,387]+0,385+8+1800
4+2805+89,18958499908447+[0,384;0,387;0,398;0,389]+0,3895+8+1800
4+2842+89,32225900268554+[0,391;0,389;0,404;0,395]+0,39475000000000005+8+1800
4+2896+95,40756399917602+[0,403;0,395;0,411;0,4]+0,40225+8+1800
4+2960+88,9790480003357+[0,422;0,402;0,416;0,404]+0,41100000000000003+8+1800
4+3023+88,06094899749756+[0,438;0,413;0,421;0,408]+0,42+8+1800
4+3103+93,14304399871826+[0,453;0,429;0,427;0,414]+0,43074999999999997+8+1800
4+3196+86,54308699798584+[0,473;0,443;0,441;0,419]+0,444+8+1800
4+3275+88,4436429977417+[0,486;0,457;0,453;0,424]+0,455+8+1800
4+3406+92,5054339981079+[0,508;0,476;0,469;0,438]+0,47274999999999995+8+1800
4+3516+100,20730799865723+[0,529;0,492;0,482;0,451]+0,4885+8+1800
4+3614+99,82968700027466+[0,543;0,51;0,496;0,459]+0,502+8+1800
4+3741+98,25200399780273+[0,562;0,531;0,509;0,476]+0,5195+8+1800
4+3873+98,08929299926758+[0,581;0,548;0,529;0,493]+0,53775+8+1800
4+3979+109,80398699951172+[0,593;0,565;0,548;0,504]+0,5525+8+1800
4+4104+98,20671000289917+[0,611;0,584;0,565;0,521]+0,5702499999999999+8+1800
4+4242+98,8007620010376+[0,633;0,598;0,584;0,541]+0,589+8+1800
4+4345+116,90856900024414+[0,649;0,609;0,596;0,56]+0,6035+8+1800
4+4482+111,25336100006103+[0,671;0,631;0,613;0,576]+0,62275+8+1800
4+4608+116,18575+[0,69;0,65;0,627;0,593]+0,6399999999999999+8+1800
4+4709+112,81246400070191+[0,704;0,667;0,638;0,607]+0,6539999999999999+8+1800
4+4847+96,33963800048828+[0,722;0,687;0,662;0,622]+0,67325+8+1800
4+4976+102,71324699783325+[0,74;0,704;0,681;0,639]+0,6910000000000001+8+1800
4+5099+101,05513499832153+[0,756;0,718;0,703;0,657]+0,7085+8+1800
4+5229+97,42203400039674+[0,773;0,736;0,722;0,673]+0,726+8+1800
4+5360+100,61391300201416+[0,79;0,757;0,739;0,692]+0,7444999999999999+8+1800
4+5470+110,12016999816895+[0,803;0,774;0,751;0,711]+0,7597499999999999+8+1800
4+5609+115,90469500350952+[0,821;0,793;0,77;0,732]+0,7789999999999999+8+1800
4+5736+127,06465100097657+[0,842;0,808;0,792;0,745]+0,7967500000000001+8+1800
4+5845+130,62738600158693+[0,856;0,822;0,808;0,762]+0,8119999999999999+8+1800
4+5976+119,7813390007019+[0,876;0,837;0,825;0,782]+0,8300000000000001+8+1800
4+6121+102,48147600173951+[0,898;0,852;0,847;0,804]+0,85025+8+1800
4+6227+102,11190600204468+[0,912;0,869;0,86;0,818]+0,86475+8+1800
4+6368+111,06100999832154+[0,929;0,895;0,874;0,839]+0,88425+8+1800
4+6494+116,52388999938965+[0,947;0,911;0,893;0,857]+0,9020000000000001+8+1800
4+6603+123,65392600250244+[0,964;0,922;0,917;0,865]+0,917+8+1800
4+6738+105,78234000015259+[0,982;0,941;0,937;0,883]+0,9357500000000001+8+1800
4+6864+126,3025+[1,002;0,957;0,946;0,908]+0,95325+8+1800
4+7002+134,30581699752807+[1,021;0,981;0,963;0,926]+0,97275+8+1800
4+7087+124,96506000137329+[1,032;0,987;0,977;0,942]+0,9844999999999999+8+1800
4+7185+112,83148600006103+[1,044;1,001;0,99;0,957]+0,998+8+1800
4+7233+126,2775769996643+[1,048;1,009;0,996;0,965]+1,0045+8+1800
4+7342+113,08879100036621+[1,063;1,026;1,009;0,982]+1,02+8+1800
4+6351+86,20588500213623+[0,926;0,888;0,873;0,842]+0,8822500000000001+8+1800
4+6389+88,09589599990845+[0,932;0,893;0,879;0,846]+0,8875000000000001+8+1800
4+6494+104,84237599945068+[0,943;0,912;0,892;0,86]+0,9017499999999999+8+1800
4+6594+100,26571900177002+[0,957;0,932;0,904;0,871]+0,916+8+1800
4+5800+88,49230199813843+[0,852;0,825;0,787;0,758]+0,8055+8+1800
4+5907+71,96586800003051+[0,864;0,841;0,81;0,767]+0,8205+8+1800
4+6001+74,85163599777222+[0,878;0,851;0,821;0,784]+0,8334999999999999+8+1800
4+6060+81,79213800048828+[0,884;0,855;0,829;0,798]+0,8414999999999999+8+1800
4+6144+81,37464199829101+[0,898;0,866;0,838;0,811]+0,85325+8+1800
4+6241+72,64002600097656+[0,912;0,878;0,852;0,824]+0,8664999999999999+8+1800
4+6274+84,21305499649048+[0,916;0,888;0,852;0,83]+0,8715+8+1800
4+6378+85,25257400131225+[0,933;0,899;0,864;0,847]+0,88575+8+1800
4+6479+79,59032500076295+[0,948;0,914;0,882;0,854]+0,8995000000000001+8+1800
4+6504+74,97562099838257+[0,951;0,918;0,886;0,858]+0,90325+8+1800
4+6621+83,92914699935913+[0,966;0,932;0,901;0,88]+0,9197500000000001+8+1800
4+6717+77,83656399917602+[0,983;0,947;0,912;0,889]+0,93275+8+1800
4+6777+73,1276370010376+[0,993;0,958;0,918;0,896]+0,94125+8+1800
4+6871+75,37016799926758+[1,004;0,972;0,93;0,911]+0,95425+8+1800
4+6975+93,33635099792481+[1,017;0,993;0,943;0,923]+0,969+8+1800
