NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+20,129081000089645+[0;0;0;0]+0+8+1800+1+20
4+35+23,28134700012207+[0,003;0,007;0,005;0,004]+0,00475+8+1800+1+43
4+74+21,915117000102995+[0,01;0,014;0,01;0,007]+0,01025+8+1800+1+83
4+111+23,428735000133514+[0,016;0,019;0,016;0,011]+0,0155+8+1800+1+103
4+153+27,381351000070573+[0,023;0,023;0,022;0,017]+0,02125+8+1800+1+123
4+200+24,218011999845505+[0,029;0,029;0,031;0,022]+0,027749999999999997+8+1800+1+165
4+232+25,08534699988365+[0,033;0,034;0,032;0,031]+0,0325+8+1800+1+188
4+282+28,001638000011443+[0,041;0,041;0,037;0,039]+0,0395+8+1800+1+211
4+316+24,19952900004387+[0,046;0,047;0,042;0,04]+0,043750000000000004+8+1800+1+232
4+355+27,118990999937058+[0,052;0,052;0,049;0,044]+0,04925+8+1800+1+256
4+397+29,50737700009346+[0,059;0,06;0,054;0,048]+0,055249999999999994+8+1800+1+296
4+439+33,344267999887464+[0,062;0,065;0,06;0,057]+0,061+8+1800+1+317
4+478+30,313710999965668+[0,068;0,068;0,066;0,063]+0,06625+8+1800+1+340
4+517+29,591197999954225+[0,074;0,072;0,074;0,068]+0,072+8+1800+1+383
4+573+37,21792899990082+[0,081;0,081;0,079;0,078]+0,07975+8+1800+1+404
4+620+32,51354400014878+[0,084;0,091;0,082;0,087]+0,086+8+1800+1+428
4+664+33,09374699997902+[0,092;0,096;0,089;0,092]+0,09225+8+1800+1+451
4+705+31,709356999874114+[0,097;0,102;0,098;0,095]+0,098+8+1800+1+472
4+741+35,52655800008774+[0,103;0,105;0,104;0,1]+0,10300000000000001+8+1800+1+519
4+784+38,34465700006485+[0,107;0,109;0,111;0,109]+0,109+8+1800+1+540
4+828+37,052986999988555+[0,111;0,117;0,116;0,116]+0,115+8+1800+1+560
4+867+37,77875900006294+[0,116;0,122;0,119;0,124]+0,12025+8+1800+1+583
4+908+37,442470000028614+[0,123;0,126;0,126;0,129]+0,126+8+1800+1+628
4+955+36,941983999967576+[0,129;0,134;0,133;0,134]+0,1325+8+1800+1+648
4+991+41,02984100008011+[0,133;0,139;0,139;0,139]+0,1375+8+1800+1+668
4+1037+39,25658999991417+[0,141;0,147;0,143;0,146]+0,14425+8+1800+1+691
4+1073+44,85151999998093+[0,147;0,152;0,148;0,149]+0,149+8+1800+1+733
4+1119+46,73143700003624+[0,152;0,159;0,157;0,154]+0,1555+8+1800+1+756
4+1151+44,596693000078204+[0,157;0,163;0,162;0,157]+0,15975+8+1800+1+780
4+1198+41,43661500000954+[0,164;0,169;0,168;0,165]+0,1665+8+1800+1+804
4+1234+53,22646100020409+[0,172;0,17;0,173;0,171]+0,17149999999999999+8+1800+1+825
4+1283+45,22525699996948+[0,177;0,177;0,181;0,177]+0,178+8+1800+1+868
4+1329+50,693851999998095+[0,183;0,186;0,186;0,183]+0,1845+8+1800+1+891
4+1370+52,04745599985122+[0,191;0,192;0,189;0,188]+0,19+8+1800+1+912
4+1409+57,041254999876024+[0,195;0,196;0,196;0,197]+0,196+8+1800+1+936
4+1455+49,17245799994469+[0,201;0,201;0,206;0,201]+0,20224999999999999+8+1800+1+980
4+1497+58,610614000082016+[0,209;0,207;0,209;0,207]+0,208+8+1800+1+1004
4+1546+49,914358999967575+[0,215;0,214;0,217;0,213]+0,21475+8+1800+1+1028
4+1588+57,20611699986458+[0,219;0,221;0,221;0,221]+0,2205+8+1800+1+1052
