NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+0+27,045830993652345+[0;0;0;0]+0+1,4785788888888898+8+1800+1+20+1604855970007+1604854170007
4+35+20,356888000488283+[0,003;0,007;0,005;0,004]+0,00475+1,5461891666666674+8+1800+1+40+1604855978007+1604854178007
4+73+20,613843002319335+[0,009;0,014;0,01;0,007]+0,01+1,5672038888888902+8+1800+1+80+1604855986007+1604854186007
4+110+28,12198599243164+[0,014;0,02;0,016;0,011]+0,01525+1,490618888888889+8+1800+1+100+1604855994007+1604854194007
4+143+25,468406005859375+[0,019;0,023;0,022;0,016]+0,02+1,5433344444444446+8+1800+1+120+1604856002007+1604854202007
4+195+24,047345993041993+[0,026;0,029;0,031;0,023]+0,027249999999999996+1,4067527777777773+8+1800+1+160+1604856010007+1604854210007
4+228+23,223210998535155+[0,031;0,033;0,032;0,031]+0,03175+1,51934111111111+8+1800+1+180+1604856018007+1604854218007
4+277+21,891102005004882+[0,037;0,041;0,038;0,039]+0,03875+1,5456911111111122+8+1800+1+200+1604856026007+1604854226007
4+312+23,149984008789062+[0,042;0,047;0,044;0,04]+0,043250000000000004+1,6529486111111107+8+1800+1+240+1604856034007+1604854234007
4+349+23,627364990234376+[0,047;0,052;0,051;0,044]+0,0485+1,6327063888888882+8+1800+1+260+1604856042007+1604854242007
4+392+25,353959991455078+[0,053;0,061;0,057;0,047]+0,05449999999999999+1,6321700000000003+8+1800+1+280+1604856050007+1604854250007
4+436+28,391691986083984+[0,057;0,066;0,064;0,056]+0,06075+1,6561802777777765+8+1800+1+320+1604856058007+1604854258007
4+487+33,69108399963379+[0,067;0,071;0,071;0,061]+0,0675+1,5999536111111112+8+1800+1+340+1604856066007+1604854266007
4+523+32,73961700439453+[0,071;0,075;0,078;0,066]+0,0725+1,6019127777777773+8+1800+1+360+1604856074007+1604854274007
4+578+27,537935989379882+[0,078;0,083;0,083;0,077]+0,08025+1,5582055555555556+8+1800+1+400+1604856082007+1604854282007
4+623+33,62303799438477+[0,082;0,094;0,086;0,085]+0,08675000000000001+1,6248713888888884+8+1800+1+420+1604856090007+1604854290007
4+663+35,72076400756836+[0,089;0,097;0,092;0,091]+0,09225+1,578982222222223+8+1800+1+440+1604856098007+1604854298007
4+711+28,78753500366211+[0,096;0,103;0,103;0,094]+0,099+1,5508272222222217+8+1800+1+480+1604856106007+1604854306007
4+749+27,35466799926758+[0,102;0,108;0,108;0,098]+0,10400000000000001+1,5149469444444454+8+1800+1+500+1604856114007+1604854314007
4+787+34,020328994750976+[0,106;0,112;0,114;0,104]+0,109+1,453105555555556+8+1800+1+520+1604856122007+1604854322007
4+830+27,25233299255371+[0,111;0,121;0,118;0,111]+0,11524999999999999+1,4779644444444455+8+1800+1+560+1604856130007+1604854330007
4+875+28,706537002563476+[0,119;0,126;0,122;0,12]+0,12175+1,5013119444444438+8+1800+1+580+1604856138007+1604854338007
4+911+33,5003990020752+[0,126;0,128;0,129;0,124]+0,12675+1,5612125000000001+8+1800+1+600+1604856146007+1604854346007
4+954+29,025335006713867+[0,132;0,133;0,135;0,129]+0,13225+1,5012466666666668+8+1800+1+640+1604856154007+1604854354007
4+983+30,32685499572754+[0,135;0,138;0,14;0,133]+0,1365+1,5769330555555554+8+1800+1+660+1604856162007+1604854362007
4+1026+33,73404800415039+[0,142;0,145;0,143;0,14]+0,1425+1,5741625+8+1800+1+680+1604856170007+1604854370007
4+1058+30,667572998046875+[0,146;0,149;0,149;0,144]+0,147+1,6549463888888887+8+1800+1+720+1604856178007+1604854378007
4+1107+33,13940399169922+[0,152;0,155;0,158;0,15]+0,15375+1,5909436111111106+8+1800+1+740+1604856186007+1604854386007
4+1142+32,25243798828125+[0,158;0,16;0,163;0,153]+0,1585+1,6030044444444433+8+1800+1+760+1604856194007+1604854394007
4+1186+31,65141600036621+[0,163;0,165;0,169;0,161]+0,1645+1,5680252777777768+8+1800+1+800+1604856202007+1604854402007
4+1222+32,9533690032959+[0,17;0,167;0,174;0,167]+0,1695+1,5909186111111113+8+1800+1+820+1604856210007+1604854410007
4+1263+35,8295+[0,173;0,172;0,183;0,173]+0,17525000000000002+1,587915555555555+8+1800+1+840+1604856218007+1604854418007
4+1303+37,80356700134277+[0,18;0,179;0,187;0,178]+0,181+1,5566830555555549+8+1800+1+880+1604856226007+1604854426007
4+1343+33,937677001953126+[0,188;0,186;0,189;0,184]+0,18674999999999997+1,6227775+8+1800+1+900+1604856234007+1604854434007
4+1389+34,579682998657226+[0,193;0,189;0,196;0,194]+0,193+1,638046666666667+8+1800+1+920+1604856242007+1604854442007
4+1434+35,27779699707031+[0,199;0,196;0,205;0,197]+0,19924999999999998+1,6476527777777767+8+1800+1+960+1604856250007+1604854450007
4+1469+34,902447998046874+[0,206;0,201;0,208;0,202]+0,20425+1,6347111111111114+8+1800+1+980+1604856258007+1604854458007
4+1518+38,053639999389645+[0,212;0,208;0,217;0,207]+0,211+1,5733930555555553+8+1800+1+1000+1604856266007+1604854466007
4+1558+37,34639401245117+[0,216;0,216;0,22;0,214]+0,2165+1,650955555555555+8+1800+1+1040+1604856274007+1604854474007
4+1603+37,50323899841309+[0,223;0,219;0,227;0,221]+0,2225+1,6280886111111101+8+1800+1+1060+1604856282007+1604854482007
4+1646+36,21738400268555+[0,226;0,224;0,237;0,227]+0,2285+1,5574444444444442+8+1800+1+1080+1604856290007+1604854490007
4+1691+37,351070999145506+[0,231;0,233;0,243;0,232]+0,23475000000000001+1,4537900000000001+8+1800+1+1120+1604856298007+1604854498007
4+1733+37,53477099609375+[0,239;0,237;0,246;0,241]+0,24075+1,4771288888888883+8+1800+1+1140+1604856306007+1604854506007
4+1788+36,86758100891113+[0,246;0,245;0,254;0,249]+0,2485+1,4780519444444438+8+1800+1+1160+1604856314007+1604854514007
4+1813+41,276547012329104+[0,249;0,247;0,258;0,252]+0,2515+1,5337338888888887+8+1800+1+1200+1604856322007+1604854522007
4+1855+39,12621900939941+[0,256;0,254;0,264;0,256]+0,2575+1,5401430555555562+8+1800+1+1220+1604856330007+1604854530007
4+1890+38,31745098876953+[0,26;0,258;0,271;0,261]+0,2625+1,5602088888888879+8+1800+1+1240+1604856338007+1604854538007
4+1930+44,0927559967041+[0,268;0,263;0,276;0,266]+0,26825+1,6151766666666671+8+1800+1+1280+1604856346007+1604854546007
4+1962+40,59229100036621+[0,273;0,267;0,279;0,271]+0,2725+1,6497444444444458+8+1800+1+1300+1604856354007+1604854554007
4+2021+48,280143005371094+[0,28;0,277;0,288;0,277]+0,28049999999999997+1,7033377777777778+8+1800+1+1320+1604856362007+1604854562007
4+2051+45,04097200012207+[0,284;0,281;0,292;0,282]+0,28475+1,638275833333333+8+1800+1+1360+1604856370007+1604854570007
4+2108+42,66768899536133+[0,291;0,29;0,301;0,289]+0,29274999999999995+1,5988644444444444+8+1800+1+1380+1604856378007+1604854578007
4+2144+45,71033399963379+[0,294;0,296;0,307;0,294]+0,29775+1,5921858333333339+8+1800+1+1400+1604856386007+1604854586007
4+2185+43,48045100402832+[0,3;0,301;0,314;0,299]+0,3035+1,5756469444444445+8+1800+1+1440+1604856394007+1604854594007
4+2236+48,67867500305176+[0,308;0,309;0,321;0,304]+0,3105+1,5271147222222219+8+1800+1+1460+1604856402007+1604854602007
4+2277+47,36268899536133+[0,313;0,313;0,327;0,312]+0,31625000000000003+1,5421711111111116+8+1800+1+1480+1604856410007+1604854610007
4+2319+43,32953800964356+[0,317;0,318;0,333;0,321]+0,32225+1,5596466666666673+8+1800+1+1520+1604856418007+1604854618007
4+2363+45,37694000244141+[0,324;0,326;0,338;0,326]+0,3285+1,5878847222222234+8+1800+1+1540+1604856426007+1604854626007
4+2412+51,524859008789065+[0,33;0,333;0,345;0,332]+0,335+1,5782988888888907+8+1800+1+1560+1604856434007+1604854634007
4+2441+45,92021800231934+[0,334;0,337;0,349;0,336]+0,339+1,6054133333333327+8+1800+1+1600+1604856442007+1604854642007
4+2494+59,15120799255371+[0,343;0,346;0,356;0,341]+0,3465+1,5874683333333326+8+1800+1+1620+1604856450007+1604854650007
4+2530+50,91074699401855+[0,348;0,351;0,361;0,346]+0,35150000000000003+1,5868150000000008+8+1800+1+1640+1604856458007+1604854658007
4+2566+51,18448098754883+[0,352;0,356;0,368;0,35]+0,35650000000000004+1,5825411111111112+8+1800+1+1680+1604856466007+1604854666007
4+2613+51,94147200012207+[0,358;0,363;0,373;0,357]+0,36274999999999996+1,5355205555555556+8+1800+1+1700+1604856474007+1604854674007
4+2658+51,587434997558596+[0,366;0,367;0,381;0,363]+0,36924999999999997+1,4741555555555557+8+1800+1+1720+1604856482007+1604854682007
4+2696+49,51109999084473+[0,371;0,373;0,384;0,37]+0,37450000000000006+1,8724902777777772+8+1800+1+1760+1604856490007+1604854690007
4+2743+50,74489601135254+[0,376;0,38;0,389;0,379]+0,381+2,1000180555555543+8+1800+1+1780+1604856498007+1604854698007
4+2776+55,15723500061035+[0,381;0,384;0,396;0,381]+0,3855+2,400274444444445+8+1800+1+1800+1604856506007+1604854706007
4+2815+51,24993099975586+[0,386;0,387;0,403;0,388]+0,391+2,9035688888888878+8+1800+1+1840+1604856514007+1604854714007
4+2863+64,72985400390625+[0,396;0,392;0,409;0,393]+0,3975+3,2103388888888866+8+1800+1+1860+1604856522007+1604854722007
4+2928+54,24281999206543+[0,417;0,398;0,414;0,398]+0,40674999999999994+3,45013111111111+8+1800+1+1880+1604856530007+1604854730007
4+2991+50,237557006835935+[0,431;0,409;0,419;0,403]+0,4155+4,013737499999998+8+1800+1+1920+1604856538007+1604854738007
4+3069+58,55289999389648+[0,447;0,425;0,425;0,408]+0,42624999999999996+4,225268055555554+8+1800+1+1940+1604856546007+1604854746007
4+3168+52,98514500427246+[0,466;0,441;0,44;0,413]+0,44+4,305515833333333+8+1800+1+1960+1604856554007+1604854754007
4+3255+55,631851989746096+[0,481;0,454;0,452;0,421]+0,452+4,481403055555558+8+1800+1+2000+1604856562007+1604854762007
4+3384+51,92842098999024+[0,503;0,472;0,471;0,435]+0,47025+4,569042222222222+8+1800+1+2020+1604856570007+1604854770007
4+3498+54,293460006713865+[0,521;0,487;0,485;0,451]+0,486+4,649624444444444+8+1800+1+2040+1604856578007+1604854778007
4+3599+57,69056999206543+[0,532;0,506;0,499;0,462]+0,49974999999999997+4,668858055555564+8+1800+1+2080+1604856586007+1604854786007
4+3725+57,766802001953124+[0,553;0,529;0,512;0,476]+0,5175000000000001+4,707480000000003+8+1800+1+2100+1604856594007+1604854794007
