NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA,FREQUENCY_DATA
4,0,21.258337997436524,[0;0;0;0],0,8,1800,1
4,35,23.769462997436523,[0.003;0.007;0.005;0.004],0.00475,8,1800,1
4,74,23.343158004760742,[0.009;0.014;0.01;0.007],0.01,8,1800,1
4,111,25.37693099975586,[0.015;0.02;0.016;0.011],0.0155,8,1800,1
4,144,20.02884400177002,[0.02;0.023;0.022;0.016],0.02025,8,1800,1
4,196,27.509367996215822,[0.027;0.029;0.031;0.023],0.027499999999999997,8,1800,1
4,229,33.593611999511715,[0.031;0.033;0.032;0.031],0.03175,8,1800,1
4,277,26.85226499938965,[0.037;0.041;0.038;0.038],0.0385,8,1800,1
4,313,26.492578994750975,[0.043;0.047;0.045;0.039],0.043500000000000004,8,1800,1
4,348,26.010718002319337,[0.047;0.052;0.051;0.043],0.04825,8,1800,1
4,390,33.72890000152588,[0.052;0.06;0.058;0.047],0.05424999999999999,8,1800,1
4,434,29.221436004638672,[0.056;0.066;0.064;0.055],0.06025,8,1800,1
4,484,28.501249000549315,[0.067;0.07;0.072;0.06],0.06725,8,1800,1
4,518,30.36273900604248,[0.071;0.074;0.079;0.064],0.072,8,1800,1
4,571,31.037109001159667,[0.078;0.082;0.084;0.074],0.0795,8,1800,1
4,618,37.960207000732424,[0.082;0.092;0.087;0.083],0.08600000000000001,8,1800,1
4,658,36.50468899536133,[0.088;0.096;0.093;0.089],0.0915,8,1800,1
4,708,33.603078002929685,[0.096;0.101;0.104;0.093],0.0985,8,1800,1
4,746,33.16491500091553,[0.102;0.107;0.109;0.097],0.10375000000000001,8,1800,1
4,784,36.700510002136234,[0.106;0.111;0.116;0.103],0.109,8,1800,1
4,829,36.19928800201416,[0.112;0.119;0.119;0.11],0.11499999999999999,8,1800,1
4,874,37.01899600219726,[0.119;0.124;0.123;0.119],0.12125,8,1800,1
4,907,35.321208000183105,[0.125;0.126;0.129;0.123],0.12575,8,1800,1
4,953,44.60966300201416,[0.133;0.132;0.136;0.129],0.1325,8,1800,1
4,989,35.53314100646973,[0.137;0.138;0.141;0.134],0.1375,8,1800,1
4,1035,49.53524800109863,[0.144;0.146;0.145;0.141],0.144,8,1800,1
4,1067,42.495127998352054,[0.149;0.149;0.151;0.144],0.14825,8,1800,1
4,1117,43.70904299926758,[0.154;0.157;0.159;0.15],0.155,8,1800,1
4,1153,46.30434999847412,[0.161;0.162;0.164;0.153],0.16,8,1800,1
4,1201,50.08557400512695,[0.166;0.168;0.171;0.162],0.16675,8,1800,1
4,1241,51.3141489944458,[0.174;0.171;0.175;0.169],0.17225000000000001,8,1800,1
4,1279,60.07566500091553,[0.177;0.176;0.183;0.174],0.1775,8,1800,1
4,1322,56.20903200531006,[0.184;0.183;0.187;0.181],0.18375000000000002,8,1800,1
4,1360,56.019692001342776,[0.191;0.189;0.19;0.186],0.189,8,1800,1
4,1401,55.239144004821775,[0.196;0.192;0.195;0.195],0.1945,8,1800,1
4,1448,53.86405899810791,[0.202;0.198;0.206;0.199],0.20124999999999998,8,1800,1
4,1482,55.097890998840334,[0.209;0.203;0.207;0.204],0.20575,8,1800,1
4,1525,55.252069999694825,[0.215;0.209;0.214;0.209],0.21175,8,1800,1
4,1569,56.93984200286865,[0.219;0.215;0.219;0.219],0.218,8,1800,1
4,1621,52.38729000091553,[0.227;0.221;0.229;0.224],0.22525,8,1800,1
4,1657,53.5121310043335,[0.231;0.225;0.236;0.229],0.23024999999999998,8,1800,1
4,1706,58.39703900146485,[0.236;0.233;0.243;0.236],0.237,8,1800,1
4,1748,58.17077899932861,[0.244;0.237;0.246;0.244],0.24275,8,1800,1
4,1800,71.78688499450683,[0.251;0.244;0.253;0.252],0.25,8,1800,1
4,1832,60.395163993835446,[0.254;0.249;0.258;0.256],0.25425,8,1800,1
4,1875,60.153427001953126,[0.262;0.254;0.266;0.26],0.2605,8,1800,1
4,1906,66.1006129989624,[0.267;0.258;0.269;0.264],0.2645,8,1800,1
4,1951,64.54395000457764,[0.274;0.264;0.275;0.27],0.27075000000000005,8,1800,1
4,1990,62.983681999206546,[0.28;0.271;0.279;0.276],0.2765,8,1800,1
4,2045,76.5669580001831,[0.287;0.28;0.289;0.281],0.28425,8,1800,1
4,2077,80.66803499603272,[0.292;0.283;0.293;0.285],0.28824999999999995,8,1800,1
4,2129,71.66796800231934,[0.299;0.291;0.302;0.291],0.29574999999999996,8,1800,1
4,2160,78.93874900054932,[0.302;0.295;0.308;0.295],0.3,8,1800,1
4,2207,73.33017400360107,[0.307;0.302;0.316;0.302],0.30675,8,1800,1
4,2249,80.16104599761962,[0.313;0.308;0.321;0.307],0.31224999999999997,8,1800,1
4,2291,83.46138400268555,[0.318;0.312;0.326;0.316],0.318,8,1800,1
4,2330,80.40868900299073,[0.323;0.317;0.332;0.322],0.3235,8,1800,1
4,2378,84.70212200164795,[0.331;0.324;0.338;0.328],0.33025000000000004,8,1800,1
4,2424,80.39805500030518,[0.337;0.331;0.344;0.335],0.33675,8,1800,1
4,2452,82.86354100036621,[0.342;0.333;0.349;0.338],0.3405,8,1800,1
4,2500,76.59105599975587,[0.349;0.341;0.357;0.342],0.34725,8,1800,1
4,2540,85.62772100067139,[0.355;0.347;0.363;0.347],0.353,8,1800,1
4,2574,83.19856300354004,[0.358;0.351;0.369;0.352],0.35749999999999993,8,1800,1
4,2618,81.91230799865723,[0.365;0.357;0.374;0.358],0.36350000000000005,8,1800,1
4,2663,83.31139400482178,[0.372;0.362;0.381;0.364],0.36975,8,1800,1
4,2701,79.79154700469971,[0.377;0.367;0.384;0.372],0.375,8,1800,1
4,2746,93.84772399902344,[0.381;0.374;0.389;0.381],0.38125000000000003,8,1800,1
4,2787,80.09804000091553,[0.387;0.382;0.395;0.384],0.387,8,1800,1
4,2823,89.42156999969482,[0.393;0.384;0.399;0.392],0.392,8,1800,1
4,2878,92.04624300384522,[0.406;0.39;0.406;0.398],0.4,8,1800,1
4,2942,82.21985400390625,[0.424;0.396;0.41;0.404],0.4085,8,1800,1
4,3005,84.76084000396729,[0.44;0.406;0.414;0.409],0.41725,8,1800,1
4,3080,84.60194599914551,[0.454;0.422;0.421;0.414],0.42774999999999996,8,1800,1
4,3178,90.74338500213624,[0.475;0.436;0.434;0.42],0.44125,8,1800,1
4,3258,98.46685500335694,[0.487;0.45;0.446;0.427],0.4525,8,1800,1
4,3387,87.48929299926758,[0.509;0.468;0.462;0.442],0.47025,8,1800,1
4,3504,99.97879499816895,[0.53;0.483;0.476;0.458],0.48674999999999996,8,1800,1
4,3610,100.59335299682617,[0.725;0.674;0.651;0.624],0.6685,8,1350,1
4,3734,91.07242500305176,[0.751;0.703;0.667;0.644],0.69125,8,1350,1
4,3861,94.25385600280762,[0.776;0.726;0.694;0.664],0.715,8,1350,1
4,3975,97.90167900085449,[0.793;0.745;0.722;0.684],0.736,8,1350,1
4,4096,95.56417500305176,[0.816;0.768;0.744;0.707],0.75875,8,1350,1
4,4236,103.99445000457764,[0.846;0.79;0.77;0.732],0.7845,8,1350,1
4,4340,97.84648499298096,[0.867;0.804;0.789;0.756],0.804,8,1350,1
4,4482,94.30971600341798,[0.896;0.831;0.814;0.779],0.83,8,1350,1
4,4610,109.94396900177001,[0.921;0.856;0.836;0.801],0.8535,8,1350,1
4,4714,112.05109300231933,[1.251;1.176;1.134;1.094],1.1637499999999998,8,1012.5,1
4,4849,112.45281099700928,[1.285;1.214;1.171;1.119],1.19725,8,1012.5,1
4,4975,104.01690299987793,[1.316;1.242;1.207;1.149],1.2285,8,1012.5,1
4,5096,103.48345999908447,[1.342;1.269;1.24;1.181],1.258,8,1012.5,1
4,5219,106.26901499938965,[1.373;1.298;1.275;1.209],1.28875,8,1012.5,1
4,5344,109.90565699768067,[1.402;1.334;1.304;1.238],1.3195000000000001,8,1012.5,1
4,5452,112.34164399719238,[1.425;1.367;1.325;1.267],1.346,8,1012.5,1
4,5598,112.82716100311279,[1.457;1.402;1.364;1.306],1.38225,8,1012.5,1
4,5734,118.83467399597168,[1.493;1.431;1.406;1.332],1.4155,8,1012.5,1
4,5845,105.81372800445557,[1.514;1.46;1.434;1.365],1.4432500000000001,8,1012.5,1
4,5914,121.12207800292968,[2.055;1.963;1.934;1.839],1.94775,8,759,1
4,6022,121.93721900177002,[2.094;1.979;1.975;1.887],1.9837500000000001,8,759,1
4,6097,118.7692679977417,[2.109;2.02;1.992;1.912],2.00825,8,759,1
4,6180,109.4590540008545,[2.136;2.065;2;1.942],2.03575,8,759,1
4,5258,87.75351999664306,[2.445;2.35;2.257;2.184],2.309,8,569.25,1
4,5340,88.20628899383544,[2.484;2.389;2.321;2.187],2.3452499999999996,8,569.25,1
4,5413,95.53328700256348,[2.516;2.422;2.345;2.226],2.37725,8,569.25,1
4,5515,83.94090399932861,[2.554;2.468;2.379;2.287],2.4219999999999997,8,569.25,1
4,5629,91.47776599884033,[2.609;2.519;2.433;2.328],2.47225,8,569.25,1
4,4920,73.95584400177002,[3.058;2.95;2.819;2.702],2.88225,8,426.75,1
4,5010,72.68909600067138,[3.11;3.018;2.868;2.744],2.935,8,426.75,1
4,5093,71.5451189956665,[3.154;3.072;2.92;2.789],2.98375,8,426.75,1
4,5161,79.06276999664307,[3.199;3.117;2.957;2.821],3.0235,8,426.75,1
4,5255,73.79121600341797,[3.271;3.159;3.013;2.871],3.0785,8,426.75,1
4,5357,71.34373899841309,[3.342;3.215;3.067;2.929],3.13825,8,426.75,1
4,5408,77.0198809967041,[3.36;3.262;3.098;2.953],3.1682499999999996,8,426.75,1
4,5513,72.00534000396729,[3.419;3.349;3.138;3.013],3.22975,8,426.75,1
4,5595,76.59416500091552,[3.456;3.393;3.194;3.067],3.2775,8,426.75,1
4,5661,75.5623989944458,[3.484;3.426;3.241;3.114],3.31625,8,426.75,1
4,5768,77.16242100524903,[3.531;3.473;3.302;3.21],3.3789999999999996,8,426.75,1
4,5879,64.44800299835205,[3.611;3.522;3.372;3.271],3.444,8,426.75,1
4,5932,74.70617900085449,[3.651;3.545;3.386;3.318],3.475,8,426.75,1
4,6017,77.01581700134277,[3.693;3.604;3.447;3.356],3.525,8,426.75,1
4,6112,82.22201899719238,[3.761;3.691;3.484;3.386],3.5805,8,426.75,1
4,6163,71.66068600463868,[3.794;3.707;3.517;3.424],3.6104999999999996,8,426.75,1
4,6270,74.20769699859619,[3.859;3.777;3.59;3.466],3.673,8,426.75,1
4,6332,78.65213400268554,[3.885;3.831;3.637;3.484],3.70925,8,426.75,1
4,6383,73.17784099578857,[3.876;3.857;3.67;3.555],3.7395,8,426.75,1
4,6439,71.37185099792481,[3.878;3.878;3.719;3.613],3.772,8,426.75,1
4,6512,78.53035499572754,[3.911;3.902;3.773;3.674],3.815,8,426.75,1
4,6507,68.26637200164795,[3.871;3.897;3.773;3.707],3.8120000000000003,8,426.75,1
4,6573,68.91014699554444,[3.906;3.93;3.822;3.745],3.8507500000000006,8,426.75,1
4,6593,81.50903400421143,[3.92;3.923;3.855;3.752],3.8625,8,426.75,1
4,6559,69.94053299713134,[3.843;3.932;3.838;3.756],3.84225,8,426.75,1
4,6584,73.16389799499511,[3.866;3.902;3.864;3.796],3.857,8,426.75,1
4,6611,71.07308200073243,[3.89;3.895;3.899;3.808],3.873,8,426.75,1
4,6579,75.54918900299073,[3.859;3.866;3.878;3.813],3.854,8,426.75,1
4,6585,82.26299900054931,[3.878;3.895;3.848;3.81],3.85775,8,426.75,1
4,6614,79.2301370010376,[3.895;3.904;3.871;3.829],3.87475,8,426.75,1
