NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+REAL_CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE+MINIMUM_TIME+MAXIMUM_TIME
4+0+23,287917999267577+[0;0;0;0]+0+0,5433938888888888+0,01406274922839506+8+1800+1+20+1605046416451+1605044616451+50+100
4+10+19,143226013183593+[0,001;0,004;0,001;0]+0,0015+0,5184263888888889+0,017614288117283952+8+1800+1+60+1605046424451+1605044624451+50+100
4+24+19,98361199951172+[0,004;0,006;0,004;0]+0,0035+0,4892011111111109+0,019251151388888887+8+1800+1+80+1605046432451+1605044632451+50+100
4+37+21,082530029296876+[0,006;0,006;0,006;0,002]+0,005000000000000001+0,4983333333333336+0,020935281327160493+8+1800+1+100+1605046440451+1605044640451+50+100
4+52+22,07743600463867+[0,007;0,008;0,008;0,006]+0,0072499999999999995+0,504722222222222+0,024241903086419762+8+1800+1+140+1605046448451+1605044648451+50+100
4+71+22,3046669921875+[0,01;0,011;0,011;0,007]+0,00975+0,4933333333333338+0,025959380864197523+8+1800+1+160+1605046456451+1605044656451+50+100
4+86+23,272748992919922+[0,013;0,012;0,013;0,009]+0,01175+0,4819708333333335+0,027574541512345663+8+1800+1+180+1605046464451+1605044664451+50+100
4+93+22,069420989990235+[0,014;0,012;0,014;0,011]+0,012750000000000001+0,48710555555555557+0,029224343518518513+8+1800+1+200+1605046472451+1605044672451+50+100
4+113+28,16506399536133+[0,017;0,017;0,016;0,014]+0,016+0,5329324999999999+0,03262150987654322+8+1800+1+240+1605046480451+1605044680451+50+100
4+123+23,52256900024414+[0,018;0,019;0,016;0,015]+0,017+0,5369444444444438+0,0343703364197531+8+1800+1+260+1605046488451+1605044688451+50+100
4+137+26,668010009765624+[0,022;0,02;0,018;0,016]+0,019+0,556666666666667+0,03799868179012345+8+1800+1+300+1605046496451+1605044696451+50+100
4+154+27,94811898803711+[0,024;0,021;0,023;0,018]+0,021500000000000002+0,5138888888888888+0,03978029135802468+8+1800+1+320+1605046504451+1605044704451+50+100
4+164+25,234371002197264+[0,024;0,024;0,023;0,02]+0,022750000000000003+0,5181388888888889+0,04142292376543209+8+1800+1+340+1605046512451+1605044712451+50+100
4+178+28,917031982421875+[0,026;0,028;0,023;0,022]+0,02475+0,5519611111111112+0,045077093518518505+8+1800+1+380+1605046520451+1605044720451+50+100
4+194+29,240824981689453+[0,028;0,028;0,026;0,025]+0,026750000000000003+0,5105566666666667+0,046845765586419744+8+1800+1+400+1605046528451+1605044728451+50+100
4+211+25,859359008789063+[0,031;0,029;0,03;0,027]+0,029249999999999998+0,5255555555555556+0,048556738734567895+8+1800+1+420+1605046536451+1605044736451+50+100
4+222+30,820682006835938+[0,032;0,031;0,031;0,029]+0,03075+0,5433333333333334+0,05035442345679012+8+1800+1+440+1605046544451+1605044744451+50+100
4+236+27,839834991455078+[0,034;0,034;0,032;0,031]+0,03275+0,5472222222222226+0,05403381882716052+8+1800+1+480+1605046552451+1605044752451+50+100
4+245+26,293732971191407+[0,035;0,036;0,034;0,031]+0,034+0,5122988888888886+0,05578988641975308+8+1800+1+500+1605046560451+1605044760451+50+100
4+264+30,691323974609375+[0,037;0,038;0,037;0,034]+0,0365+0,5350005555555553+0,05932072098765432+8+1800+1+540+1605046568451+1605044768451+50+100
4+278+26,986787994384766+[0,039;0,039;0,039;0,037]+0,0385+0,4934283333333335+0,06106670246913581+8+1800+1+560+1605046576451+1605044776451+50+100
4+291+33,97860501098633+[0,042;0,039;0,042;0,039]+0,0405+0,4777777777777777+0,06266738132716049+8+1800+1+580+1605046584451+1605044784451+50+100
4+304+30,119634979248048+[0,043;0,042;0,042;0,042]+0,04225+0,4975+0,06583448503086421+8+1800+1+620+1605046592451+1605044792451+50+100
4+316+27,22507699584961+[0,044;0,045;0,042;0,044]+0,04375+0,5458333333333336+0,06756085493827162+8+1800+1+640+1605046600451+1605044800451+50+100
4+332+28,770609008789062+[0,047;0,047;0,045;0,046]+0,04625+0,5443933333333334+0,06943189104938269+8+1800+1+660+1605046608451+1605044808451+50+100
4+342+30,500316986083984+[0,048;0,049;0,047;0,046]+0,0475+0,5525338888888885+0,07135002098765429+8+1800+1+680+1605046616451+1605044816451+50+100
4+357+31,041848999023436+[0,05;0,051;0,051;0,047]+0,04975+0,4909266666666665+0,0746845225308642+8+1800+1+720+1605046624451+1605044824451+50+100
4+373+31,021779998779298+[0,053;0,052;0,053;0,049]+0,051750000000000004+0,49444444444444446+0,07625679027777778+8+1800+1+740+1605046632451+1605044832451+50+100
4+382+30,920994018554687+[0,053;0,052;0,055;0,052]+0,053+0,5013888888888891+0,07950894398148149+8+1800+1+780+1605046640451+1605044840451+50+100
4+399+39,981753997802734+[0,055;0,057;0,057;0,053]+0,0555+0,5019444444444443+0,0812158458333334+8+1800+1+800+1605046648451+1605044848451+50+100
4+413+35,41141400146484+[0,058;0,059;0,057;0,055]+0,057249999999999995+0,5187277777777777+0,08289921388888892+8+1800+1+820+1605046656451+1605044856451+50+100
4+427+36,419482025146486+[0,06;0,061;0,061;0,056]+0,0595+0,5249366666666662+0,08632432345679014+8+1800+1+860+1605046664451+1605044864451+50+100
4+439+34,87881201171875+[0,062;0,062;0,062;0,058]+0,061+0,5295961111111116+0,08800389753086421+8+1800+1+880+1605046672451+1605044872451+50+100
4+454+39,14521600341797+[0,064;0,064;0,064;0,059]+0,06275+0,5400000000000005+0,0897432405864197+8+1800+1+900+1605046680451+1605044880451+50+100
4+466+41,79637200927734+[0,066;0,066;0,066;0,061]+0,06475+0,5136111111111111+0,09148891481481476+8+1800+1+920+1605046688451+1605044888451+50+100
4+479+37,01955197143555+[0,068;0,067;0,067;0,064]+0,0665+0,5444444444444445+0,09490750277777776+8+1800+1+960+1605046696451+1605044896451+50+100
4+495+36,26067599487305+[0,071;0,068;0,069;0,066]+0,0685+0,5528555555555555+0,09676377978395058+8+1800+1+980+1605046704451+1605044904451+50+100
4+506+40,540977020263675+[0,073;0,069;0,072;0,067]+0,07025+0,5351155555555557+0,09859873070987656+8+1800+1+1000+1605046712451+1605044912451+50+100
4+519+34,25317300415039+[0,074;0,073;0,073;0,068]+0,072+0,5574888888888887+0,10232201604938275+8+1800+1+1040+1605046720451+1605044920451+50+100
4+537+39,313936981201174+[0,077;0,075;0,074;0,072]+0,0745+0,5611111111111116+0,1041699558641975+8+1800+1+1060+1605046728451+1605044928451+50+100
