NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+0+22,154720001220703+[0;0;0;0]+0+0,5453205555555554+8+1800+1+20+1604873715974+1604871915974
4+10+26,078148010253905+[0,001;0,004;0,001;0]+0,0015+0,5539561111111111+8+1800+1+40+1604873723974+1604871923974
4+24+21,78216000366211+[0,004;0,006;0,004;0]+0,0035+0,4911111111111114+8+1800+1+80+1604873731974+1604871931974
4+37+25,6975830078125+[0,006;0,006;0,006;0,002]+0,005000000000000001+0,498333333333333+8+1800+1+100+1604873739974+1604871939974
4+52+24,22705700683594+[0,007;0,008;0,008;0,006]+0,0072499999999999995+0,5141666666666668+8+1800+1+120+1604873747974+1604871947974
4+71+26,407961990356444+[0,01;0,011;0,011;0,007]+0,00975+0,49333333333333357+8+1800+1+160+1604873755974+1604871955974
4+86+22,724988998413085+[0,013;0,012;0,013;0,009]+0,01175+0,4844208333333333+8+1800+1+180+1604873763974+1604871963974
4+93+22,878996002197265+[0,014;0,012;0,014;0,011]+0,012750000000000001+0,486438888888889+8+1800+1+200+1604873771974+1604871971974
4+113+22,10146600341797+[0,017;0,017;0,016;0,014]+0,016+0,5333333333333333+8+1800+1+240+1604873779974+1604871979974
4+123+25,55712300109863+[0,018;0,019;0,016;0,015]+0,017+0,5369444444444441+8+1800+1+260+1604873787974+1604871987974
4+137+25,74597900390625+[0,022;0,02;0,018;0,016]+0,019+0,5622222222222222+8+1800+1+280+1604873795974+1604871995974
4+154+23,954990997314454+[0,024;0,021;0,023;0,018]+0,021500000000000002+0,5138888888888888+8+1800+1+320+1604873803974+1604872003974
4+164+34,10444999694824+[0,024;0,024;0,023;0,02]+0,022750000000000003+0,5206811111111114+8+1800+1+340+1604873811974+1604872011974
4+178+28,9514880065918+[0,026;0,028;0,023;0,022]+0,02475+0,5516666666666665+8+1800+1+360+1604873819974+1604872019974
4+194+26,300478988647463+[0,028;0,028;0,026;0,025]+0,026750000000000003+0,511675+8+1800+1+400+1604873827974+1604872027974
4+211+28,344001998901366+[0,031;0,029;0,03;0,027]+0,029249999999999998+0,5255555555555559+8+1800+1+420+1604873835974+1604872035974
4+222+30,116386993408202+[0,032;0,032;0,031;0,029]+0,031+0,5433333333333331+8+1800+1+440+1604873843974+1604872043974
4+236+28,398862991333008+[0,034;0,034;0,032;0,03]+0,0325+0,5477530555555555+8+1800+1+480+1604873851974+1604872051974
4+245+28,847020004272462+[0,035;0,037;0,034;0,031]+0,03425+0,5120922222222218+8+1800+1+500+1604873859974+1604872059974
4+264+28,19442500305176+[0,037;0,039;0,037;0,033]+0,0365+0,5498638888888886+8+1800+1+520+1604873867974+1604872067974
4+278+27,48075199890137+[0,039;0,039;0,039;0,037]+0,0385+0,4944444444444447+8+1800+1+560+1604873875974+1604872075974
4+291+27,135940994262697+[0,042;0,04;0,042;0,038]+0,0405+0,4777777777777777+8+1800+1+580+1604873883974+1604872083974
4+304+32,358837005615236+[0,043;0,042;0,042;0,041]+0,042+0,4686111111111111+8+1800+1+600+1604873891974+1604872091974
4+316+33,966459991455075+[0,044;0,046;0,042;0,043]+0,04375+0,5458333333333336+8+1800+1+640+1604873899974+1604872099974
4+332+35,13123100280762+[0,047;0,048;0,045;0,045]+0,04625+0,5475433333333338+8+1800+1+660+1604873907974+1604872107974
4+342+36,454286987304684+[0,048;0,049;0,047;0,045]+0,04725+0,5518005555555555+8+1800+1+680+1604873915974+1604872115974
4+357+36,45149700927735+[0,05;0,051;0,051;0,046]+0,0495+0,4922222222222226+8+1800+1+720+1604873923974+1604872123974
4+373+31,948643005371093+[0,053;0,053;0,053;0,048]+0,051750000000000004+0,4850000000000001+8+1800+1+740+1604873931974+1604872131974
4+382+30,675092987060548+[0,053;0,053;0,055;0,051]+0,053+0,4913888888888888+8+1800+1+760+1604873939974+1604872139974
4+399+35,50603698730469+[0,055;0,057;0,057;0,053]+0,0555+0,501944444444444+8+1800+1+800+1604873947974+1604872147974
4+413+36,67236799621582+[0,058;0,06;0,057;0,054]+0,057249999999999995+0,5229827777777781+8+1800+1+820+1604873955974+1604872155974
4+427+34,68280200195313+[0,06;0,061;0,061;0,056]+0,0595+0,5166499999999998+8+1800+1+840+1604873963974+1604872163974
4+439+37,72366200256348+[0,062;0,063;0,062;0,057]+0,061+0,5336111111111109+8+1800+1+880+1604873971974+1604872171974
4+454+37,903460006713864+[0,064;0,065;0,064;0,059]+0,063+0,5305555555555558+8+1800+1+900+1604873979974+1604872179974
4+466+42,543735000610354+[0,066;0,067;0,066;0,061]+0,065+0,5136111111111116+8+1800+1+920+1604873987974+1604872187974
4+479+36,817790008544925+[0,068;0,067;0,067;0,063]+0,06625+0,5449869444444443+8+1800+1+960+1604873995974+1604872195974
4+495+46,402297988891604+[0,071;0,069;0,069;0,066]+0,06875+0,5541533333333336+8+1800+1+980+1604874003974+1604872203974
4+506+33,05602099609375+[0,073;0,07;0,072;0,066]+0,07025+0,5385805555555552+8+1800+1+1000+1604874011974+1604872211974
4+519+38,88221099853516+[0,074;0,074;0,073;0,067]+0,072+0,5583333333333333+8+1800+1+1040+1604874019974+1604872219974
4+537+38,34377699279785+[0,077;0,076;0,074;0,071]+0,0745+0,5611111111111113+8+1800+1+1060+1604874027974+1604872227974
4+547+38,36995700073242+[0,079;0,076;0,077;0,072]+0,076+0,5297222222222221+8+1800+1+1080+1604874035974+1604872235974
4+563+39,717357986450196+[0,081;0,078;0,079;0,076]+0,0785+0,554916666666667+8+1800+1+1120+1604874043974+1604872243974
4+578+40,35223699951172+[0,082;0,081;0,082;0,077]+0,0805+0,5111013888888882+8+1800+1+1140+1604874051974+1604872251974
4+592+37,99373300170898+[0,083;0,084;0,084;0,078]+0,08225+0,4907783333333335+8+1800+1+1160+1604874059974+1604872259974
4+606+41,31236898803711+[0,087;0,084;0,085;0,081]+0,08425+0,5274352777777772+8+1800+1+1200+1604874067974+1604872267974
4+623+39,610399993896486+[0,088;0,086;0,088;0,084]+0,08650000000000001+0,47249999999999986+8+1800+1+1220+1604874075974+1604872275974
4+631+47,07507299804688+[0,089;0,087;0,09;0,084]+0,08750000000000001+0,4866666666666664+8+1800+1+1240+1604874083974+1604872283974
4+647+37,8346190032959+[0,091;0,09;0,091;0,088]+0,09+0,48722+8+1800+1+1280+1604874091974+1604872291974
4+658+41,95956298828125+[0,092;0,091;0,093;0,089]+0,09125+0,5167961111111112+8+1800+1+1300+1604874099974+1604872299974
4+669+45,680566009521485+[0,094;0,092;0,095;0,091]+0,093+0,5246555555555553+8+1800+1+1320+1604874107974+1604872307974
4+684+44,6553090057373+[0,097;0,094;0,098;0,092]+0,09525+0,5077266666666664+8+1800+1+1360+1604874115974+1604872315974
4+692+42,94381700134277+[0,098;0,096;0,099;0,092]+0,09625+0,5380555555555556+8+1800+1+1380+1604874123974+1604872323974
4+711+41,97543800354004+[0,1;0,098;0,102;0,095]+0,09875+0,5277777777777778+8+1800+1+1400+1604874131974+1604872331974
4+722+47,880637008666994+[0,102;0,101;0,103;0,096]+0,1005+0,5133333333333336+8+1800+1+1440+1604874139974+1604872339974
4+739+45,75261199951172+[0,104;0,103;0,105;0,098]+0,10250000000000001+0,5118666666666666+8+1800+1+1460+1604874147974+1604872347974
4+751+43,62864100646973+[0,106;0,103;0,108;0,101]+0,10450000000000001+0,534761111111111+8+1800+1+1480+1604874155974+1604872355974
4+767+43,94247200012207+[0,107;0,107;0,11;0,102]+0,1065+0,5724777777777773+8+1800+1+1520+1604874163974+1604872363974
4+778+46,066240005493164+[0,109;0,109;0,111;0,103]+0,108+0,5927777777777778+8+1800+1+1540+1604874171974+1604872371974
4+794+51,80919200134277+[0,111;0,111;0,114;0,104]+0,11+0,5900000000000001+8+1800+1+1560+1604874179974+1604872379974
4+807+45,940118988037106+[0,113;0,112;0,118;0,106]+0,11224999999999999+0,5764333333333334+8+1800+1+1600+1604874187974+1604872387974
4+823+48,88524899291992+[0,116;0,113;0,119;0,109]+0,11424999999999999+0,5777500000000004+8+1800+1+1620+1604874195974+1604872395974
4+839+47,8188990020752+[0,118;0,115;0,121;0,112]+0,11649999999999999+0,566036666666667+8+1800+1+1640+1604874203974+1604872403974
4+857+51,66351600646973+[0,119;0,118;0,124;0,114]+0,11875+0,5522422222222217+8+1800+1+1680+1604874211974+1604872411974
4+873+50,963567001342774+[0,122;0,12;0,126;0,117]+0,12125+0,5147222222222222+8+1800+1+1700+1604874219974+1604872419974
4+886+58,362572006225584+[0,123;0,121;0,129;0,119]+0,123+0,496388888888889+8+1800+1+1720+1604874227974+1604872427974
4+901+54,29709599304199+[0,123;0,123;0,132;0,123]+0,12525+0,5623722222222222+8+1800+1+1760+1604874235974+1604872435974
4+916+51,349427001953124+[0,126;0,124;0,133;0,126]+0,12725+0,6283611111111113+8+1800+1+1780+1604874243974+1604872443974
4+930+51,04672499084473+[0,129;0,125;0,134;0,128]+0,129+0,6787174999999999+8+1800+1+1800+1604874251974+1604872451974
4+941+49,53487600708008+[0,131;0,126;0,136;0,131]+0,131+0,9012066666666664+8+1800+1+1840+1604874259974+1604872459974
4+957+51,243065002441405+[0,134;0,129;0,137;0,132]+0,133+1,011651111111111+8+1800+1+1860+1604874267974+1604872467974
4+975+51,03800801086426+[0,139;0,132;0,137;0,133]+0,13525+1,1383466666666666+8+1800+1+1880+1604874275974+1604872475974
4+996+55,18544100952148+[0,146;0,136;0,138;0,134]+0,1385+1,331825833333333+8+1800+1+1920+1604874283974+1604872483974
4+1027+52,45124501037598+[0,154;0,14;0,142;0,135]+0,14275000000000002+1,399897777777778+8+1800+1+1940+1604874291974+1604872491974
4+1058+55,142703002929686+[0,159;0,147;0,146;0,136]+0,147+1,4566769444444447+8+1800+1+1960+1604874299974+1604872499974
4+1082+53,98289599609375+[0,164;0,151;0,148;0,137]+0,15+1,5280641666666663+8+1800+1+2000+1604874307974+1604872507974
4+1124+54,0800419921875+[0,172;0,157;0,153;0,142]+0,156+1,5719488888888888+8+1800+1+2020+1604874315974+1604872515974
4+1162+60,77417199707031+[0,179;0,164;0,158;0,144]+0,16125+1,5573347222222236+8+1800+1+2040+1604874323974+1604872523974
4+1190+51,751397994995116+[0,184;0,168;0,161;0,148]+0,16525+1,5847233333333326+8+1800+1+2080+1604874331974+1604872531974
4+1237+54,9761669921875+[0,191;0,174;0,167;0,155]+0,17175+1,6085538888888888+8+1800+1+2100+1604874339974+1604872539974
4+1280+53,51156300354004+[0,196;0,181;0,174;0,159]+0,1775+1,605941666666667+8+1800+1+2120+1604874347974+1604872547974
4+1316+56,72752600097656+[0,2;0,187;0,181;0,163]+0,18275000000000002+1,5413136111111105+8+1800+1+2160+1604874355974+1604872555974
4+1364+61,43788400268555+[0,207;0,194;0,188;0,169]+0,1895+1,5615666666666657+8+1800+1+2180+1604874363974+1604872563974
4+1407+58,64071299743652+[0,214;0,198;0,193;0,177]+0,1955+1,532483333333333+8+1800+1+2200+1604874371974+1604872571974
4+1450+56,76777101135254+[0,219;0,202;0,2;0,184]+0,20124999999999998+1,5641555555555555+8+1800+1+2240+1604874379974+1604872579974
4+1490+55,35709298706055+[0,226;0,207;0,205;0,19]+0,20700000000000002+1,5503333333333327+8+1800+1+2260+1604874387974+1604872587974
